"Player","Team","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Passing Att","Passing Com","Passing X-Com","Passing Int","Passing X-Int","Passing Yds","Passing X-Yds","Passing TD","Passing X-TD","Scrambles Yds","Scrambles X-Yds","Scrambles TD","Scrambles X-TD","Designed Runs Yds","Designed Runs X-Yds","Designed Runs TD","Designed Runs X-TD"
"Jordan Love","GB","18.7","20.2","-1.5","18.7","20.2","-1.5","1","36","23","22.66","2","1.07","246","260.6","1","2.41","0","0","0","0","9","3.234","1","0.15"
"Lamar Jackson","BLT","30.1","19","11.100000000000001","30.1","19","11.1","1","19","15","12.21","0","0.37","186","124.01","2","1.1","7","19.6974","0","0","20","18.3652","2","1.03"
"Baker Mayfield","TB","23.9","20.6","3.299999999999997","23.9","20.6","3.3","1","32","25","20.83","1","0.51","246","195.38","3","2.5","34","35.7864","0","0.0095","-3","-3","0","0"
"Aidan O'Connell","LV","14.8","27.1","-12.3","14.8","27.1","-12.3","1","39","24","26.87","1","0.84","238","265.46","0","2.72","0","0","0","0","3","5.332","1","0.99"
"Brock Purdy","SF","21.3","15.4","5.9","21.3","15.4","5.9","1","21","20","15.04","0","0.49","283","172.62","1","1.5","0","0","0","0","0","0","1","0.49"
"Drew Lock","SEA","3.6","2.3","1.3000000000000003","3.6","2.3","1.3","1","6","2","3.4","0","0.11","63","47.66","0","0.01","0","0","0","0","11","4.655","0","0"
"Zach Wilson","NYJ","19.2","20.6","-1.4000000000000021","19.2","20.6","-1.4","1","39","28","25.74","0","0.82","245","289.1","2","2.14","14","7.5702","0","0","0","4.7726","0","0.01"
"Tua Tagovailoa","MIA","15","17.3","-2.3000000000000007","15","17.3","-2.3","1","35","25","21.81","1","0.72","282","230.89","1","1.57","7","20.3484","0","0.0855","0","0","0","0"
"Bailey Zappe","NE","2.3","2.8","-0.5","2.3","2.8","-0.5","1","9","4","5.2","0","0.3","57","78.53","0","0","0","0","0","0","0","0","0","0"
"Dorian Thompson-Robinson","CLV","4.2","14.8","-10.600000000000001","4.2","14.8","-10.6","1","36","19","21.55","3","0.91","121","253.83","0","0.68","25","29.016","0","0","-1","-1","0","0"
"Geno Smith","SEA","8.4","6.6","1.8000000000000007","8.4","6.6","1.8","1","20","13","11.61","0","0.31","110","123.77","1","0.5","0","0","0","0","0","0","0","0"
"Tyler Huntley","BLT","0.8","1.3","-0.5","0.8","1.3","-0.5","1","0","0","0","0","0","0","0","0","0","6","7.8678","0","0","2","5.1058","0","0"
"Anthony Richardson","IND","27.6","19.9","7.700000000000003","27.6","19.9","7.7","1","25","11","13.81","0","0.82","200","198.25","2","1.11","21","29.4252","0","0","35","23.226","1","0.51"
"Trevor Lawrence","JAX","16.5","12.7","3.8000000000000007","16.5","12.7","3.8","1","30","23","20.98","0","0.54","207","203.28","1","0.55","39","27.3327","0","0.0095","3","0.7534","0","0.01"
"Kyle Allen","BUF","-0.3","-0.3","0","-0.3","-0.3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-3","-3","0","0"
"Ryan Tannehill","TEN","13.7","18.1","-4.400000000000002","13.7","18.1","-4.4","1","25","18","16.5","1","0.72","240","222.27","1","1.65","11","22.5246","0","0.0095","0","7.967","0","0.03"
"Kenny Pickett","PIT","4.5","10.1","-5.6","4.5","10.1","-5.6","1","23","15","15.94","1","0.36","114","156.44","0","0.77","8","6.9471","0","0","1","4.0572","0","0"
"Joshua Dobbs","ARZ","23.4","27.3","-3.900000000000002","23.4","27.3","-3.9","1","41","28","28.33","0","0.87","265","305.59","2","2.32","33","33.9543","0","0.019","15","28.5082","0","0.05"
