"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Sam LaPorta (DET)","86","120","889","10.3","48","15","10","1","4","0","0","17","239.3","14.1","98.9%"
"2","Evan Engram (JAC)","114","143","963","8.4","34","10","4","0","0","0","2","17","230.3","13.5","97.0%"
"3","Travis Kelce (KC)","93","121","984","10.6","53","17","5","0","0","0","1","15","219.4","14.6","99.9%"
"4","T.J. Hockenson (MIN)","95","127","960","10.1","29","13","5","0","0","0","1","15","219.0","14.6","79.8%"
"5","George Kittle (SF)","65","90","1,020","15.7","66","31","6","1","2","0","0","16","203.2","12.7","96.3%"
"6","David Njoku (CLE)","81","123","882","10.9","43","21","6","0","0","0","2","16","201.2","12.6","93.0%"
"7","Trey McBride (ARI)","81","106","825","10.2","38","11","3","0","0","0","0","17","181.5","10.7","88.6%"
"8","Cole Kmet (CHI)","73","90","719","9.8","53","14","6","3","2","0","0","17","181.1","10.7","72.1%"
"9","Jake Ferguson (DAL)","71","102","761","10.7","40","12","5","0","0","0","0","17","177.1","10.4","88.0%"
"10","Dalton Schultz (HOU)","59","88","635","10.8","31","8","5","0","0","0","1","15","150.5","10.0","76.9%"
"11","Dalton Kincaid (BUF)","73","91","673","9.2","51","8","2","0","0","0","1","16","150.3","9.4","83.6%"
"12","Taysom Hill (NO)","33","40","291","8.8","36","3","2","81","401","4","1","16","143.5","9.0","39.3%"
"13","Kyle Pitts (ATL)","53","90","667","12.6","39","10","3","1","-4","0","0","17","137.3","8.1","85.8%"
"14","Dallas Goedert (PHI)","59","83","592","10.0","49","8","3","1","1","0","0","14","136.3","9.7","87.6%"
"15","Mark Andrews (BAL)","45","61","544","12.1","38","11","6","1","0","0","0","10","135.4","13.5","73.3%"
"16","Logan Thomas (FA)","55","78","496","9.0","29","3","4","1","2","0","2","16","126.8","7.9","19.3%"
"17","Jonnu Smith (MIA)","50","70","582","11.6","60","11","3","1","0","0","1","17","124.2","7.3","8.4%"
"18","Tyler Conklin (NYJ)","61","87","621","10.2","37","9","0","1","0","0","0","17","123.1","7.2","22.0%"
"19","Hunter Henry (NE)","42","61","419","10.0","24","2","6","0","0","0","0","14","119.9","8.6","15.5%"
"20","Cade Otton (TB)","47","67","455","9.7","27","6","4","0","0","0","1","17","116.5","6.9","16.9%"
"21","Chigoziem Okonkwo (TEN)","54","77","528","9.8","39","7","1","2","6","0","0","17","113.4","6.7","23.6%"
"22","Darren Waller (NYG)","52","74","552","10.6","29","8","1","0","0","0","0","12","113.2","9.4","72.3%"
"23","Gerald Everett (CHI)","51","70","411","8.1","31","5","3","3","10","0","0","15","111.1","7.4","23.6%"
"24","Tyler Higbee (LAR)","47","70","495","10.5","33","8","2","0","0","0","0","15","108.5","7.2","19.9%"
"25","Isaiah Likely (BAL)","30","40","411","13.7","54","11","5","0","0","0","0","17","101.1","5.9","37.5%"
"26","Juwan Johnson (NO)","37","59","368","9.9","32","8","4","0","0","0","0","13","97.8","7.5","9.9%"
"27","Tanner Hudson (CIN)","39","50","352","9.0","26","3","1","0","0","0","0","12","80.2","6.7","2.8%"
"28","Donald Parham Jr. (LAC)","27","41","285","10.6","24","2","4","0","0","0","0","14","79.5","5.7","1.2%"
"29","Tucker Kraft (GB)","31","40","355","11.5","43","8","2","0","0","0","0","17","78.5","4.6","11.9%"
"30","Pat Freiermuth (PIT)","32","47","308","9.6","29","3","2","0","0","0","0","12","76.8","6.4","59.0%"
"31","Luke Musgrave (GB)","34","46","352","10.4","37","7","1","0","0","0","0","11","75.2","6.8","8.3%"
"32","Noah Fant (SEA)","32","43","414","12.9","51","11","0","0","0","0","0","17","73.4","4.3","2.0%"
