"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Justin Fields","CHI","1","32","21","14","0","82.4","153","0","9.5","1","0","0","1","4","1","1","0","4.8","4.8","17","85","1","0","1","2","1","11.8","1","1","5.9","0","0","23.6","0.74"
"Zach Wilson","NYJ","1","29","22","9","1","52.6","77","0","9.7","0","0","0","0","4","0","0","0","0","0","3","26","0","0","0","0","0","0","0","0","0","0","0","5.7","0.2"
"Brock Purdy","SF","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0.3",""
"Kenny Pickett","PIT","1","44","42","25","1","70.3","265","0","9.7","1","0","0","0","2","1","0","0","2.4","0","2","14","0","0","0","0","0","0","0","0","0","0","0","16","0.36"
"Mac Jones","NE","1","33","27","23","0","85.2","246","0","4.6","0","0","0","0","6","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","10.1","0.31"
"Davis Mills","HST","1","40","33","19","1","64.5","169","0","8.2","0","0","0","2","5","2","0","0","6.1","0","5","10","1","0","0","3","1","60","2","1","40","0","0","11.8","0.3"
"Josh Allen","BUF","1","30","27","18","2","80","197","0","8.3","1","0","0","0","2","2","1","0","7.4","3.7","3","7","0","0","0","0","0","0","0","0","0","0","0","12.6","0.42"
"Baker Mayfield","CAR","1","39","33","21","3","80","196","0","5.6","0","0","0","2","4","0","0","0","0","0","2","12","0","0","0","1","0","50","0","0","0","0","0","7","0.18"
"Lamar Jackson","BLT","1","37","33","24","4","90.3","209","0","4.8","0","0","0","1","4","1","0","0","3","0","10","32","1","0","0","1","1","10","1","1","10","0","0","16.6","0.45"
"Jalen Hurts","PHI","1","30","25","18","0","78.3","190","0","8.4","1","0","0","0","3","2","0","0","8","0","16","86","1","0","3","6","1","37.5","2","0","12.5","0","0","26.2","0.87"
"Daniel Jones","NYG","1","48","44","27","4","83.8","341","1","9.2","1","0","0","2","2","0","0","0","0","0","7","50","1","0","0","3","1","42.9","1","1","14.3","0","1","26.6","0.55"
"Bryce Perkins","LA","1","16","10","5","1","75","64","0","7.6","0","0","0","0","3","0","0","0","0","0","5","39","0","0","0","1","0","20","0","0","0","0","0","6.5","0.41"
"Trace McSorley","ARZ","1","10","10","6","0","66.7","59","0","10.2","0","0","0","1","0","2","0","1","20","0","1","6","0","0","0","0","0","0","0","0","0","0","0","2","0.2"
"Justin Herbert","LAC","1","38","30","23","0","82.1","280","0","9.1","2","1","1","1","5","3","1","0","10","3.3","5","17","0","0","0","0","0","0","0","0","0","0","0","19.9","0.52"
"Joe Burrow","CIN","1","42","39","24","0","72.7","355","1","8.4","4","0","0","2","2","1","1","0","2.6","2.6","4","5","0","0","0","1","0","25","0","0","0","0","0","28.7","0.68"
"Cooper Rush","DAL","1","5","5","4","0","100","31","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2","0.24"
