"Player","Team","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Passing Att","Passing Com","Passing X-Com","Passing Int","Passing X-Int","Passing Yds","Passing X-Yds","Passing TD","Passing X-TD","Scrambles Yds","Scrambles X-Yds","Scrambles TD","Scrambles X-TD","Designed Runs Yds","Designed Runs X-Yds","Designed Runs TD","Designed Runs X-TD"
"Jordan Love","GB","13.8","10","3.8000000000000007","13.8","10","3.8","1","26","20","17.6","0","0.54","228","189","1","0.53","8","6.9564","0","0","-1","1.9886","0","0"
"Lamar Jackson","BLT","13.4","17.4","-3.9999999999999982","13.4","17.4","-4","1","26","21","18.17","0","0.67","187","213.26","0","0.92","32","28.5696","0","0","27","22.0206","0","0.14"
"Tommy DeVito","NYG","10.7","11","-0.3000000000000007","10.7","11","-0.3","1","20","15","14.33","2","0.47","175","156.17","1","0.59","17","29.0625","0","0","0","0","0","0"
"Baker Mayfield","TB","19","25.6","-6.600000000000001","19","25.6","-6.6","1","30","21","20.39","0","0.61","266","213.4","2","3.22","6","13.0665","0","0","-2","5.6256","0","0.49"
"Aidan O'Connell","LV","8.4","11.4","-3","8.4","11.4","-3","1","25","16","16.89","0","0.46","209","180.4","0","1.15","0","0","0","0","0","0","0","0"
"Zach Wilson","NYJ","11.2","19.3","-8.100000000000001","11.2","19.3","-8.1","1","49","33","33.74","0","1.08","263","369.4","0","1.1","7","7.3935","0","0","0","4.214","0","0"
"Taylor Heinicke","ATL","15.7","15.9","-0.20000000000000107","15.7","15.9","-0.2","1","38","21","24.46","1","1","268","289","1","0.77","20","22.1433","0","0.0095","0","0","0","0"
"Brett Rypien","LA","6.1","10.1","-4","6.1","10.1","-4","1","28","13","16.45","1","0.78","130","194.83","0","0.23","19","21.1296","0","0.0095","0","0","0","0"
"Will Levis","TEN","9.7","22.2","-12.5","9.7","22.2","-12.5","1","39","22","25.03","1","1.15","262","321.55","0","1.71","2","3.7107","0","0.551","0","0","0","0"
"Tua Tagovailoa","MIA","14.7","15.3","-0.6000000000000014","14.7","15.3","-0.6","1","34","21","23.97","0","0.79","251","300.24","1","0.7","7","7.626","0","0","0","4.4492","0","0.01"
"Geno Smith","SEA","5.7","10.7","-4.999999999999999","5.7","10.7","-5","1","28","13","13.31","1","0.68","157","155","0","1.11","5","7.533","0","0.0095","-1","-1","0","0"
"Tyler Huntley","BLT","6.3","6.9","-0.6000000000000005","6.3","6.9","-0.6","1","7","5","4.82","0","0.15","38","33.73","1","1.04","0","0","0","0","8","5.448","0","0.16"
