Player,ADP
Calvin Johnson,5.3
Roddy White,33
Hakeem Nicks,38.7
Jordy Nelson,40.7
Percy Harvin,43
Dez Bryant,45
Marques Colston,46.7
Steve Smith,51.7
Mike Wallace,53.3
Antonio Brown,57.3
Jeremy Maclin,59.7
Julio Jones,18.7
Demaryius Thomas,61.7
Miles Austin,63.7
Brandon Lloyd,65.3
Vincent Jackson,67.7
Dwayne Bowe,68
Eric Decker,69
DeSean Jackson,69.7
Torrey Smith,71.3
Steve Johnson,73.3
Reggie Wayne,84.7
Larry Fitzgerald,19.3
Kenny Britt,85.3
Pierre Garcon,85.7
Robert Meachem,100
Justin Blackmon,101.7
Malcom Floyd,103
Titus Young,105
Darrius Heyward-Bey,105
Denarius Moore,110.3
Anquan Boldin,110.3
Santonio Holmes,115.3
Andre Johnson,27.7
Nate Washington,116
Michael Crabtree,117.7
Sidney Rice,119
Lance Moore,121
Greg Little,124.3
Mike Williams,132.3
Danny Amendola,142.7
Randall Cobb,149
Kendall Wright,127.5
Randy Moss,158.7
Wes Welker,29.3
Austin Collie,163
Brandon LaFell,166.7
Doug Baldwin,155
Santana Moss,174.3
Michael Floyd,156
Mario Manningham,158
Alshon Jeffery,177
Laurent Robinson,164.5
Brian Quick,169
Jon Baldwin,179.5
A.J. Green,29.3
Jerome Simpson,190.5
Vincent Brown,172
Davone Bess,192.5
Rueben Randle,194.5
David Nelson,213
Terrell Owens,192
Nate Burleson,203.5
Braylon Edwards,216
Stephen Hill,204.5
Brandon Marshall,29.3
Steve Smith,197
Emmanuel Sanders,198
Leonard Hankerson,199
Jacoby Ford,224.5
Josh Gordon,206
Mohamed Sanu Sr.,225
James Jones,230
Ryan Broyles,232
Rod Streater,236
Greg Jennings,30.7
Chad Johnson,237
Devery Henderson,239
Victor Cruz,31
