"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"LeSean McCoy",FA,"RB1","1","10","2.1","1.9","0"
"2",1,"Jamaal Charles",FA,"RB2","1","21","3.6","3.9","0"
"3",1,"Matt Forte",FA,"RB3","1","17","4.5","3.3","+4"
"4",1,"Adrian Peterson",FA,"RB4","1","18","5.0","3.2","-1"
"5",1,"Calvin Johnson",FA,"WR1","3","32","5.3","4.2","0"
"6",2,"Demaryius Thomas",FA,"WR2","3","21","7.2","2.5","+2"
"7",2,"Jimmy Graham",NO,"TE1","5","29","7.7","4.6","-1"
"8",2,"Dez Bryant",FA,"WR3","4","18","8.4","2.7","+1"
"9",2,"Eddie Lacy",FA,"RB5","1","38","10.3","5.4","-5"
"10",2,"Montee Ball",FA,"RB6","4","24","12.2","4.0","0"
"11",3,"A.J. Green",FA,"WR4","7","28","13.0","4.3","+1"
"12",3,"DeMarco Murray",FA,"RB7","5","46","13.4","6.0","+2"
"13",3,"Brandon Marshall",FA,"WR5","8","25","15.1","4.4","+2"
"14",3,"Julio Jones",PHI,"WR6","7","57","15.8","6.9","-1"
"15",3,"Giovani Bernard",FA,"RB8","4","27","16.4","5.4","+2"
"16",3,"Marshawn Lynch",FA,"RB9","5","40","16.6","5.6","0"
"17",3,"Antonio Brown",FA,"WR7","11","35","19.2","5.3","+1"
"18",3,"Andre Ellington",FA,"RB10","9","45","19.6","6.6","+6"
"19",3,"Jordy Nelson",FA,"WR8","12","50","20.9","5.6","0"
"20",3,"Doug Martin",FA,"RB11","9","60","22.0","9.3","+1"
"21",4,"Alshon Jeffery",FA,"WR9","12","57","23.9","7.6","+1"
"22",4,"Arian Foster",FA,"RB12","3","78","24.1","11.9","+4"
"23",4,"Le'Veon Bell",FA,"RB13","9","43","24.6","8.4","+6"
"24",4,"Randall Cobb",NYJ,"WR10","16","54","27.7","6.6","+1"
"25",4,"Reggie Bush",FA,"RB14","15","53","27.8","8.5","+9"
"26",4,"Zac Stacy",FA,"RB15","13","54","30.8","10.3","+7"
