"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Tom Kennedy","DET","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Elijah Moore","NYJ","1","WR","6","1","0","13","0","0","0","0","16.7","11","2.17","13","15","0","0","0","0","0","0","0","0","0","0","0","1","0","19","0","1","0","19","1","0","0","0","1","1","100","100","0","0","0","0","0","0","9.7","0.26","4.85"
"Rashod Bateman","BLT","1","WR","5","3","0","80","0","0","0","0","60","13.8","16","26.67","11.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.5","0.21","3.17"
"Ja'Marr Chase","CIN","1","WR","10","8","1","201","1","1","1","0","80","12.4","20.1","25.13","14.25","2","1","0","20","12.5","0","1","0","10","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","30.1","0.57","3.76"
"Brandon Aiyuk","SF","1","WR","1","1","0","6","0","0","0","0","100","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4","0.03","0.7"
"Jaelon Darden","TB","1","WR","1","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","11","0","0","0","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1","0.08","1.1"
"Nico Collins","HST","1","WR","5","2","0","28","0","0","0","1","40","13.2","5.6","14","4.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.8","0.11","1.9"
"Keelan Cole Sr.","NYJ","1","WR","2","1","0","6","0","0","0","0","50","5","3","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1","0.04","1.1"
"N'Keal Harry","NE","1","WR","2","1","0","28","0","0","0","0","50","17","14","28","2","1","1","0","50","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.3","0.11","3.3"
"Calvin Ridley","ATL","1","WR","9","4","0","26","0","1","0","1","44.4","5.22","2.89","6.5","2.5","3","2","1","33.3","50","100","1","1","11.1","25","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.6","0.23","2.65"
"Terry McLaurin","WAS","1","WR","11","7","1","122","1","1","1","1","63.6","13.55","11.09","17.43","5.71","4","1","1","36.4","14.3","100","2","1","18.2","14.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.7","0.33","3.1"
"Miles Boykin","BLT","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Auden Tate","CIN","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Courtland Sutton","DEN","1","WR","5","5","0","68","0","0","0","0","100","12.4","13.6","13.6","1.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.3","0.2","1.86"
"Jauan Jennings","SF","1","WR","2","0","0","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Trent Sherfield","SF","1","WR","2","1","0","9","0","0","0","0","50","14.5","4.5","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4","0.09","1.4"
