Player,Age,GS,TD%,Int%,Lng,AY/A,Y/C,Y/G,QBR,NY/A,ANY/A,4QC,GWD,Player-additional
Johnny Hekker,26,0,0.0,0.0,4,2.0,4.0,0.3,,2.00,2.00,,,HekkJo00
Cameron Meredith,24,10,100.0,0.0,2,22.0,2.0,0.1,100.0,2.00,22.00,,,MereCa00
Dontari Poe,26,16,100.0,0.0,2,22.0,2.0,0.1,100.0,2.00,22.00,,,PoexDo00
Cole Beasley,27,6,0.0,0.0,0,0.0,,0.0,0.4,0.00,0.00,,,BeasCo00
Le'Veon Bell,24,12,0.0,0.0,0,0.0,,0.0,0.7,0.00,0.00,,,BellLe00
Travis Benjamin,27,8,0.0,0.0,0,0.0,,0.0,1.9,0.00,0.00,,,BenjTr00
Kellen Clemens,33,0,0.0,0.0,0,0.0,,0.0,0.1,0.00,0.00,,,ClemKe00
Pharoh Cooper,21,3,0.0,100.0,0,-45.0,,0.0,0.0,0.00,-45.00,,,CoopPh00
Larry Fitzgerald,33,16,0.0,0.0,0,0.0,,0.0,10.1,0.00,0.00,,,FitzLa00
Josh Huff,25,2,0.0,0.0,0,0.0,,0.0,0.1,0.00,0.00,,,HuffJo00
Duke Johnson,23,1,0.0,0.0,0,0.0,,0.0,0.2,0.00,0.00,,,JohnDu00
Jarvis Landry,24,16,0.0,0.0,0,0.0,,0.0,1.4,0.00,0.00,,,LandJa00
Jeremy Maclin,28,12,0.0,0.0,0,0.0,,0.0,6.3,0.00,0.00,,,MaclJe00
Jerick McKinnon,24,7,0.0,0.0,0,0.0,,0.0,38.7,0.00,0.00,,,McKiJe00
Antonio Morrison,22,4,0.0,0.0,0,0.0,,0.0,,0.00,0.00,,,MorrAn01
Jon Ryan,35,0,0.0,0.0,0,0.0,,0.0,4.4,0.00,0.00,,,RyanJo21
Justin Tucker,27,0,0.0,0.0,0,0.0,,0.0,,0.00,0.00,,,TuckJu00
Jonathan Williams,22,0,0.0,0.0,0,0.0,,0.0,,0.00,0.00,,,WillJo07
