Player,Team,"Year
Signed",Years,,Value,APY,Guaranteed,,"APY as % Of
Cap At Signing",,"Inflated
Value","Inflated
APY","Inflated
Guaranteed"
Mike Wallace,Eagles,2018,1,,"$1,915,000","$1,915,000","$1,915,000",,1.1%,,"$2,760,107","$2,760,107","$2,760,107"
Andre Roberts,Falcons,2017,1,,"$1,800,000","$1,800,000","$750,000",,1.1%,,"$2,752,814","$2,752,814","$1,147,006"
Andre Holmes,Raiders,2015,1,,"$1,542,000","$1,542,000",$0,,1.1%,,"$2,748,652","$2,748,652",$0
Terrelle Pryor,Browns,2016,1,,"$1,671,000","$1,671,000",$0,,1.1%,,"$2,748,589","$2,748,589",$0
Russell Shepard,Buccaneers,2016,1,,"$1,671,000","$1,671,000",$0,,1.1%,,"$2,748,589","$2,748,589",$0
Jaron Brown,Cardinals,2016,1,,"$1,671,000","$1,671,000",$0,,1.1%,,"$2,748,589","$2,748,589",$0
Kenbrell Thompkins,Jets,2016,1,,"$1,671,000","$1,671,000",$0,,1.1%,,"$2,748,589","$2,748,589",$0
David Moore,Seahawks,2020,1,,"$2,133,000","$2,133,000",$0,,1.1%,,"$2,748,578","$2,748,578",$0
Josh Bellamy,Bears,2018,1,,"$1,907,000","$1,907,000",$0,,1.1%,,"$2,748,577","$2,748,577",$0
Cameron Meredith,Bears,2018,1,,"$1,907,000","$1,907,000",$0,,1.1%,,"$2,748,577","$2,748,577",$0
Willie Snead,Saints,2018,1,,"$1,907,000","$1,907,000",$0,,1.1%,,"$2,748,577","$2,748,577",$0
T.J. Jones,Lions,2018,1,,"$1,907,000","$1,907,000",$0,,1.1%,,"$2,748,577","$2,748,577",$0
Martavis Bryant,Raiders,2018,1,,"$1,907,000","$1,907,000",$0,,1.1%,,"$2,748,577","$2,748,577",$0
Albert Wilson,Chiefs,2017,1,,"$1,797,000","$1,797,000",$0,,1.1%,,"$2,748,226","$2,748,226",$0
Josh Gordon,NE/SEA,2019,1,,"$2,025,000","$2,025,000",$0,,1.1%,,"$2,748,061","$2,748,061",$0
Rashard Higgins,Browns,2019,1,,"$2,025,000","$2,025,000",$0,,1.1%,,"$2,748,061","$2,748,061",$0
Seth Roberts,Ravens,2019,1,,"$2,000,000","$2,000,000","$1,000,000",,1.1%,,"$2,714,134","$2,714,134","$1,357,067"
Jordan Matthews,49ers,2019,1,,"$2,000,000","$2,000,000","$500,000",,1.1%,,"$2,714,134","$2,714,134","$678,533"
Isaiah McKenzie,Bills,2022,2,,"$4,400,000","$2,200,000","$1,250,000",,1.1%,,"$5,397,502","$2,698,751","$1,533,381"
Kenny Britt,Rams,2014,1,,"$1,400,000","$1,400,000","$550,000",,1.1%,,"$2,688,421","$2,688,421","$1,056,165"
Sidney Rice,Seahawks,2014,1,,"$1,400,000","$1,400,000","$150,000",,1.1%,,"$2,688,421","$2,688,421","$288,045"
Harry Douglas,Titans,2017,1,,"$1,750,000","$1,750,000","$250,000",,1.0%,,"$2,676,347","$2,676,347","$382,335"
Matt Willis,Broncos,2012,1,,"$1,260,000","$1,260,000",$0,,1.0%,,"$2,668,358","$2,668,358",$0
Andre Holmes,DEN/BUF,2017,3,,"$5,150,000","$1,716,667","$2,450,000",,1.0%,,"$7,876,108","$2,625,370","$3,746,886"
Devin Smith,Jets,2015,4,,"$5,872,420","$1,468,105","$3,667,780",,1.0%,,"$10,467,728","$2,616,932","$6,537,905"
Devin Aromashodu,Colts,2007,1,,"$1,115,000","$1,115,000",$0,,1.0%,,"$2,612,578","$2,612,578",$0
Deebo Samuel,49ers,2019,4,,"$7,697,356","$1,924,339","$5,226,791",,1.0%,,"$10,445,827","$2,611,457","$7,093,105"
Mack Hollins,Bills,2024,1,,"$2,600,000","$2,600,000","$1,100,000",,1.0%,,"$2,600,000","$2,600,000","$1,100,000"
Danny Amendola,Patriots,2017,1,,"$1,700,000","$1,700,000","$1,350,000",,1.0%,,"$2,599,880","$2,599,880","$2,064,611"
Deonte Thompson,Cowboys,2018,1,,"$1,800,000","$1,800,000","$1,000,000",,1.0%,,"$2,594,357","$2,594,357","$1,441,309"
Donnie Avery,Rams,2008,4,,"$4,712,500","$1,178,125","$2,775,000",,1.0%,,"$10,375,625","$2,593,906","$6,109,784"
Zay Jones,BUF/LV,2017,4,,"$6,779,798","$1,694,950","$4,308,933",,1.0%,,"$10,368,625","$2,592,157","$6,589,829"
Greg Jennings,Packers,2006,4,,"$3,095,000","$1,031,667","$1,485,000",,1.0%,,"$7,749,637","$2,583,213","$3,718,324"
Terrance Copper,Saints,2007,1,,"$1,100,000","$1,100,000","$350,000",,1.0%,,"$2,577,431","$2,577,431","$820,092"
Cody Core,Giants,2020,2,,"$4,000,000","$2,000,000","$1,000,000",,1.0%,,"$5,154,390","$2,577,195","$1,288,597"
Gunner Olszewski,Steelers,2022,2,,"$4,200,000","$2,100,000","$1,235,000",,1.0%,,"$5,152,161","$2,576,081","$1,514,981"
Dexter McCluster,Chiefs,2010,4,,"$5,195,000","$1,298,750","$3,150,000",,1.0%,,"$10,285,295","$2,571,324","$6,236,512"
Zach Pascal,Cardinals,2023,2,,"$4,500,000","$2,250,000","$1,500,000",,1.0%,,"$5,112,544","$2,556,272","$1,704,181"
Jordy Nelson,Packers,2008,4,,"$4,635,250","$1,158,813","$3,385,000",,1.0%,,"$10,205,542","$2,551,387","$7,452,836"
Dane Sanzenbacher,Bears,2011,1,,"$1,200,000","$1,200,000",$0,,1.0%,,"$2,546,044","$2,546,044",$0
Robert Woods,Bills,2013,4,,"$4,866,769","$1,216,692","$2,900,685",,1.0%,,"$10,105,470","$2,526,367","$6,023,048"
Brandon LaFell,Raiders,2018,1,,"$1,750,000","$1,750,000","$835,000",,1.0%,,"$2,522,291","$2,522,291","$1,203,493"
Danny Amendola,Texans,2021,1,,"$1,800,000","$1,800,000","$250,000",,1.0%,,"$2,519,014","$2,519,014","$349,863"
Devin Funchess,Packers,2021,1,,"$1,800,000","$1,800,000","$300,000",,1.0%,,"$2,519,014","$2,519,014","$419,836"
Keon Coleman,Bills,2024,4,,"$10,074,258","$2,518,565","$9,640,495",,1.0%,,"$10,074,258","$2,518,565","$9,640,495"
Jonathan Mingo,Panthers,2023,4,,"$8,856,606","$2,214,152","$6,898,887",,1.0%,,"$10,062,176","$2,515,545","$7,837,970"
Wan'Dale Robinson,Giants,2022,4,,"$8,185,166","$2,046,292","$5,791,409",,1.0%,,"$10,040,785","$2,510,197","$7,104,351"
Ray-Ray McCloud,Falcons,2024,2,,"$5,000,000","$2,500,000","$2,125,000",,1.0%,,"$5,000,000","$2,500,000","$2,125,000"
Ladd McConkey,Chargers,2024,4,,"$9,995,186","$2,498,797","$9,185,943",,1.0%,,"$9,995,186","$2,498,797","$9,185,943"
Dorial Green-Beckham,PHI/TEN,2015,4,,"$5,603,602","$1,400,901","$3,460,057",,1.0%,,"$9,988,554","$2,497,139","$6,167,634"
Hakeem Nicks,Titans,2015,1,,"$1,400,000","$1,400,000","$100,000",,1.0%,,"$2,495,533","$2,495,533","$178,252"
Stephen Hill,Jets,2012,4,,"$4,712,348","$1,178,086","$2,861,361",,1.0%,,"$9,979,550","$2,494,885","$6,059,632"
Marqise Lee,Jaguars,2014,4,,"$5,174,022","$1,293,506","$3,158,107",,1.0%,,"$9,935,678","$2,483,921","$6,064,515"
Laviska Shenault,CAR/JAX,2020,4,,"$7,696,066","$1,924,017","$4,726,961",,1.0%,,"$9,917,130","$2,479,283","$6,091,150"
John Metchie III,Texans,2022,4,,"$8,070,176","$2,017,544","$5,626,046",,1.0%,,"$9,899,726","$2,474,931","$6,901,499"
Curtis Samuel,Panthers,2017,4,,"$6,453,660","$1,613,415","$4,056,920",,1.0%,,"$9,869,849","$2,467,462","$6,204,415"
Keshawn Martin,Patriots,2016,2,,"$3,000,000","$1,500,000","$600,000",,1.0%,,"$4,934,630","$2,467,315","$986,926"
Jaron Brown,Cardinals,2016,1,,"$1,500,000","$1,500,000","$935,118",,1.0%,,"$2,467,315","$2,467,315","$1,538,154"
Courtland Sutton,Broncos,2018,4,,"$6,841,930","$1,710,483","$4,326,945",,1.0%,,"$9,861,337","$2,465,335","$6,236,466"
Devin Funchess,Panthers,2015,4,,"$5,520,892","$1,380,223","$3,396,142",,1.0%,,"$9,841,121","$2,460,280","$6,053,704"
Ray-Ray McCloud,49ers,2022,2,,"$4,000,000","$2,000,000","$3,615,000",,1.0%,,"$4,906,820","$2,453,410","$4,434,539"
Jamison Crowder,Bills,2022,1,,"$2,000,000","$2,000,000","$1,870,000",,1.0%,,"$2,453,410","$2,453,410","$2,293,939"
Chris Conley,Texans,2022,1,,"$2,000,000","$2,000,000","$750,000",,1.0%,,"$2,453,410","$2,453,410","$920,029"
Mack Hollins,Raiders,2022,1,,"$2,000,000","$2,000,000","$700,000",,1.0%,,"$2,453,410","$2,453,410","$858,694"
Josh Reynolds,DET/TEN,2021,1,,"$1,750,000","$1,750,000","$1,750,000",,1.0%,,"$2,449,041","$2,449,041","$2,449,041"
Sterling Shepard,Giants,2016,4,,"$5,944,572","$1,486,143",$0,,1.0%,,"$9,778,088","$2,444,522",$0
Ja'Lynn Polk,Patriots,2024,4,,"$9,694,744","$2,423,686","$8,214,275",,0.9%,,"$9,694,744","$2,423,686","$8,214,275"
Rondale Moore,ARI/ATL,2021,4,,"$6,924,254","$1,731,064","$4,030,559",,0.9%,,"$9,690,161","$2,422,541","$5,640,574"
Titus Young,Lions,2011,4,,"$4,561,321","$1,140,330","$2,500,324",,0.9%,,"$9,677,769","$2,419,442","$5,304,945"
Alshon Jeffery,Bears,2012,4,,"$4,547,830","$1,136,958","$2,344,235",,0.9%,,"$9,631,142","$2,407,787","$4,964,491"
Tyler Boyd,Titans,2024,1,,"$2,400,000","$2,400,000","$1,200,000",,0.9%,,"$2,400,000","$2,400,000","$1,200,000"
Arrelious Benn,Buccaneers,2010,4,,"$4,840,000","$1,210,000","$2,850,000",,0.9%,,"$9,582,450","$2,395,612","$5,642,558"
Jordan Matthews,BUF/PHI,2014,4,,"$4,949,270","$1,237,318","$2,984,435",,0.9%,,"$9,504,087","$2,376,023","$5,731,013"
Tavon Austin,Cowboys,2019,1,,"$1,750,000","$1,750,000","$500,000",,0.9%,,"$2,374,867","$2,374,867","$678,533"
Jerry Rice,Broncos,2005,1,,"$790,000","$790,000","$25,000",,0.9%,,"$2,359,836","$2,359,836","$74,678"
Dante Pettis,NYG/SF,2018,4,,"$6,400,562","$1,600,141","$3,985,887",,0.9%,,"$9,225,189","$2,306,298","$5,744,896"
K.J. Hamler,Broncos,2020,4,,"$7,137,134","$1,784,284","$4,295,059",,0.9%,,"$9,196,892","$2,299,224","$5,534,602"
Charles Johnson,Panthers,2017,1,,"$1,500,000","$1,500,000","$350,000",,0.9%,,"$2,294,012","$2,294,012","$535,269"
Ted Ginn,Panthers,2013,1,,"$1,100,000","$1,100,000","$300,000",,0.9%,,"$2,284,065","$2,284,065","$622,927"
Sammy Watkins,BAL/GB,2022,1,,"$1,850,000","$1,850,000","$350,000",,0.9%,,"$2,269,404","$2,269,404","$429,347"
Paul Richardson,Seahawks,2014,4,,"$4,712,836","$1,178,209","$2,381,736",,0.9%,,"$9,050,063","$2,262,516","$4,573,649"
Marquez Valdes-Scantling,Bills,2024,1,,"$2,250,000","$2,250,000","$2,250,000",,0.9%,,"$2,250,000","$2,250,000","$2,250,000"
Zay Jones,Cardinals,2024,1,,"$2,250,000","$2,250,000","$1,150,000",,0.9%,,"$2,250,000","$2,250,000","$1,150,000"
Terrance Copper,Saints,2008,2,,"$2,012,500","$1,006,250",$0,,0.9%,,"$4,430,970","$2,215,485",$0
Anquan Boldin,Cardinals,2003,4,,"$2,580,000","$645,000","$1,210,000",,0.9%,,"$8,784,940","$2,196,235","$4,120,069"
Eddie Royal,Broncos,2008,4,,"$3,949,830","$987,458","$2,244,830",,0.9%,,"$8,696,436","$2,174,110","$4,942,496"
Sidney Rice,Vikings,2007,4,,"$3,707,500","$926,875","$2,042,500",,0.9%,,"$8,687,115","$2,171,779","$4,785,821"
Dwayne Harris,Raiders,2019,1,,"$1,600,000","$1,600,000","$275,000",,0.9%,,"$2,171,307","$2,171,307","$373,193"
Tyquan Thornton,Patriots,2022,4,,"$7,053,860","$1,763,465","$4,040,710",,0.8%,,"$8,653,006","$2,163,251","$4,956,760"
Eric Decker,Patriots,2018,1,,"$1,500,000","$1,500,000","$75,000",,0.8%,,"$2,161,964","$2,161,964","$108,098"
Charles Johnson,Jets,2018,1,,"$1,500,000","$1,500,000","$250,000",,0.8%,,"$2,161,964","$2,161,964","$360,327"
Michael Floyd,Vikings,2017,1,,"$1,410,000","$1,410,000",$0,,0.8%,,"$2,156,371","$2,156,371",$0
Chris Moore,Ravens,2020,1,,"$1,672,500","$1,672,500","$275,000",,0.8%,,"$2,155,179","$2,155,179","$354,364"
Braxton Berrios,Dolphins,2024,1,,"$2,150,000","$2,150,000","$1,200,000",,0.8%,,"$2,150,000","$2,150,000","$1,200,000"
Antonio Brown,Buccaneers,2020,1,,"$1,666,666","$1,666,666",$0,,0.8%,,"$2,147,661","$2,147,661",$0
Andre Roberts,Panthers,2022,1,,"$1,750,000","$1,750,000","$900,000",,0.8%,,"$2,146,734","$2,146,734","$1,104,035"
Chris Conley,Texans,2022,1,,"$1,750,000","$1,750,000",$0,,0.8%,,"$2,146,734","$2,146,734",$0
Chase Claypool,PIT/MIA/CHI,2020,4,,"$6,616,636","$1,654,159","$3,892,856",,0.8%,,"$8,526,180","$2,131,545","$5,016,324"
Christian Kirk,Cardinals,2018,4,,"$5,894,874","$1,473,719","$3,595,129",,0.8%,,"$8,496,336","$2,124,085","$5,181,693"
Ted Ginn,49ers,2011,1,,"$1,000,000","$1,000,000",$0,,0.8%,,"$2,121,703","$2,121,703",$0
Michael Thomas,Saints,2016,4,,"$5,118,974","$1,279,744","$3,055,569",,0.8%,,"$8,420,081","$2,105,021","$5,026,034"
Odell Beckham Jr.,Rams,2021,1,,"$2,000,000","$1,500,000","$500,000",,0.8%,,"$2,798,904","$2,099,178","$699,726"
Chris Conley,Texans,2021,1,,"$1,500,000","$1,500,000","$1,500,000",,0.8%,,"$2,099,178","$2,099,178","$2,099,178"
Chris Moore,Texans,2021,1,,"$1,500,000","$1,500,000","$500,000",,0.8%,,"$2,099,178","$2,099,178","$699,726"
Brandon Stokley,Ravens,2013,1,,"$1,005,000","$1,005,000",$0,,0.8%,,"$2,086,805","$2,086,805",$0
Wes Welker,Rams,2015,1,,"$1,170,000","$1,170,000",$0,,0.8%,,"$2,085,553","$2,085,553",$0
Darrius Heyward-Bey,Steelers,2016,3,,"$3,800,000","$1,266,667","$400,000",,0.8%,,"$6,250,531","$2,083,511","$657,951"
D'Wayne Eskridge,Seahawks,2021,4,,"$5,953,512","$1,488,378","$3,280,442",,0.8%,,"$8,331,655","$2,082,914","$4,590,821"
George Pickens,Steelers,2022,4,,"$6,752,188","$1,688,047","$3,867,506",,0.8%,,"$8,282,943","$2,070,736","$4,744,289"
Tutu Atwell,Rams,2021,4,,"$5,908,698","$1,477,175","$3,245,813",,0.8%,,"$8,268,940","$2,067,236","$4,542,360"
Damiere Byrd,Patriots,2020,1,,"$1,600,000","$1,600,000","$600,000",,0.8%,,"$2,061,756","$2,061,756","$773,158"
Jayden Reed,Packers,2023,4,,"$7,180,778","$1,795,195","$4,048,783",,0.8%,,"$8,158,233","$2,039,559","$4,599,907"
Cody Latimer,Giants,2019,1,,"$1,500,000","$1,500,000","$400,000",,0.8%,,"$2,035,600","$2,035,600","$542,827"
Russell Shepard,Giants,2019,1,,"$1,500,000","$1,500,000","$700,000",,0.8%,,"$2,035,600","$2,035,600","$949,947"
Jaron Brown,Seahawks,2019,1,,"$1,500,000","$1,500,000",$0,,0.8%,,"$2,035,600","$2,035,600",$0
Dontrelle Inman,Patriots,2019,1,,"$1,500,000","$1,500,000","$300,000",,0.8%,,"$2,035,600","$2,035,600","$407,120"
Kevin White,Cardinals,2019,1,,"$1,500,000","$1,500,000","$400,000",,0.8%,,"$2,035,600","$2,035,600","$542,827"
Alec Pierce,Colts,2022,4,,"$6,601,342","$1,650,336","$3,691,037",,0.8%,,"$8,097,900","$2,024,476","$4,527,814"
Brandon Stokley,Ravens,2002,1,,"$563,000","$563,000",$0,,0.8%,,"$2,022,337","$2,022,337",$0
Keshawn Martin,49ers,2016,2,,"$2,450,000","$1,225,000","$550,000",,0.8%,,"$4,029,948","$2,014,974","$904,682"
Trent Sherfield,Bills,2023,1,,"$1,770,000","$1,770,000","$750,000",,0.8%,,"$2,010,934","$2,010,934","$852,091"
Phillip Dorsett,Patriots,2018,1,,"$1,394,373","$1,394,373","$150,000",,0.8%,,"$2,009,723","$2,009,723","$216,196"
Terrace Marshall Jr.,Panthers,2021,4,,"$5,729,482","$1,432,371","$3,107,327",,0.8%,,"$8,018,135","$2,004,535","$4,348,555"
Chris Moore,Cardinals,2024,1,,"$2,000,000","$2,000,000","$750,000",,0.8%,,"$2,000,000","$2,000,000","$750,000"
Brandon Powell,Vikings,2024,1,,"$2,000,000","$2,000,000","$625,000",,0.8%,,"$2,000,000","$2,000,000","$625,000"
Nick Westbrook-Ikhine,Titans,2024,1,,"$2,000,000","$2,000,000","$750,000",,0.8%,,"$2,000,000","$2,000,000","$750,000"
Jerome Simpson,Bengals,2008,4,,"$3,617,000","$904,250","$1,912,000",,0.8%,,"$7,963,636","$1,990,909","$4,209,697"
T.J. Houshmandzadeh,Bengals,2004,1,,"$628,000","$628,000",$0,,0.8%,,"$1,990,410","$1,990,410",$0
Eric Weems,Titans,2017,2,,"$2,600,000","$1,300,000","$275,000",,0.8%,,"$3,976,287","$1,988,144","$420,569"
Skyy Moore,Chiefs,2022,4,,"$6,450,506","$1,612,627","$3,574,481",,0.8%,,"$7,912,869","$1,978,218","$4,384,834"
Vincent Jackson,Chargers,2005,5,,"$3,305,000","$661,000","$1,375,000",,0.8%,,"$9,872,480","$1,974,496","$4,107,310"
Eric Weems,Titans,2017,2,,"$2,575,000","$1,287,500",$0,,0.8%,,"$3,938,054","$1,969,027",$0
Chris Hogan,Panthers,2019,1,,"$1,450,000","$1,450,000","$300,000",,0.8%,,"$1,967,747","$1,967,747","$407,120"
Chad Johnson,Dolphins,2012,1,,"$925,000","$925,000",$0,,0.8%,,"$1,958,914","$1,958,914",$0
Brandon Stokley,Broncos,2012,1,,"$925,000","$925,000",$0,,0.8%,,"$1,958,914","$1,958,914",$0
Santana Moss,Commanders,2014,1,,"$1,020,000","$1,020,000","$65,000",,0.8%,,"$1,958,707","$1,958,707","$124,820"
Nate Burleson,Browns,2014,1,,"$1,020,000","$1,020,000","$350,000",,0.8%,,"$1,958,707","$1,958,707","$672,105"
Brandon Stokley,Ravens,2013,1,,"$940,000","$940,000",$0,,0.8%,,"$1,951,837","$1,951,837",$0
Ryan Broyles,Lions,2012,4,,"$3,678,500","$919,625","$1,422,477",,0.8%,,"$7,790,124","$1,947,531","$3,012,443"
Hines Ward,Steelers,2001,1,,"$512,000","$512,000",$0,,0.8%,,"$1,939,987","$1,939,987",$0
Keary Colbert,Panthers,2004,4,,"$2,445,000","$611,250","$290,000",,0.8%,,"$7,749,286","$1,937,322","$919,138"
Justin Hardee,Saints,2020,1,,"$1,500,000","$1,500,000","$365,000",,0.8%,,"$1,932,896","$1,932,896","$470,338"
Justin Watson,Chiefs,2023,2,,"$3,400,000","$1,700,000","$1,800,000",,0.8%,,"$3,862,811","$1,931,406","$2,045,018"
Marquise Goodwin,Browns,2023,1,,"$1,700,000","$1,700,000","$400,000",,0.8%,,"$1,931,406","$1,931,406","$454,448"
Brandon Stokley,Giants,2011,1,,"$910,000","$910,000",$0,,0.8%,,"$1,930,750","$1,930,750",$0
T.J. Houshmandzadeh,Raiders,2011,1,,"$910,000","$910,000",$0,,0.8%,,"$1,930,750","$1,930,750",$0
Anthony Miller,HOU/CHI,2018,4,,"$5,353,700","$1,338,425","$3,176,950",,0.8%,,"$7,716,337","$1,929,084","$4,578,967"
Jerome Simpson,Vikings,2014,1,,"$1,000,000","$1,000,000",$0,,0.8%,,"$1,920,301","$1,920,301",$0
A.J. Brown,Titans,2019,4,,"$5,652,368","$1,413,092","$3,377,738",,0.8%,,"$7,670,642","$1,917,660","$4,583,817"
DeSean Jackson,Eagles,2008,4,,"$3,469,335","$867,334","$1,353,000",,0.7%,,"$7,638,519","$1,909,630","$2,978,933"
Vincent Brown,Raiders,2014,1,,"$988,339","$988,339","$25,000",,0.7%,,"$1,897,908","$1,897,908","$48,008"
Joey Galloway,Commanders,2010,1,,"$955,000","$955,000",$0,,0.7%,,"$1,890,752","$1,890,752",$0
Davante Adams,Packers,2014,4,,"$3,933,402","$983,351","$1,779,447",,0.7%,,"$7,553,315","$1,888,330","$3,417,073"
Braylon Edwards,SEA/NYJ,2012,1,,"$890,000","$890,000","$270,000",,0.7%,,"$1,884,793","$1,884,793","$571,791"
Brice Butler,Cardinals,2018,2,,"$2,600,000","$1,300,000","$500,000",,0.7%,,"$3,747,404","$1,873,702","$720,655"
Lance Moore,Lions,2015,1,,"$1,050,000","$1,050,000","$40,000",,0.7%,,"$1,871,650","$1,871,650","$71,301"
Adonai Mitchell,Colts,2024,4,,"$7,386,086","$1,846,522","$4,817,431",,0.7%,,"$7,386,086","$1,846,522","$4,817,431"
Rashee Rice,Chiefs,2023,4,,"$6,495,218","$1,623,805","$3,519,033",,0.7%,,"$7,379,354","$1,844,839","$3,998,047"
Donald Driver,Packers,2002,1,,"$513,000","$513,000",$0,,0.7%,,"$1,842,734","$1,842,734",$0
Zach Pascal,Eagles,2022,1,,"$1,500,000","$1,500,000","$1,500,000",,0.7%,,"$1,840,058","$1,840,058","$1,840,058"
Dez Bryant,Saints,2018,1,,"$1,275,000","$1,275,000",$0,,0.7%,,"$1,837,669","$1,837,669",$0
Kenny Britt,Patriots,2017,2,,"$2,400,000","$1,200,000",$0,,0.7%,,"$3,670,419","$1,835,210",$0
Michael Campanaro,Ravens,2017,1,,"$1,200,000","$1,200,000","$250,000",,0.7%,,"$1,835,210","$1,835,210","$382,335"
Jermaine Kearse,Lions,2019,1,,"$1,350,000","$1,350,000","$350,000",,0.7%,,"$1,832,040","$1,832,040","$474,973"
Preston Williams,Dolphins,2022,1,,"$1,490,000","$1,490,000","$275,000",,0.7%,,"$1,827,791","$1,827,791","$337,344"
Austin Pettis,Rams,2014,1,,"$950,000","$950,000","$250,000",,0.7%,,"$1,824,286","$1,824,286","$480,075"
Devin Hester,Ravens,2016,1,,"$1,100,000","$1,100,000","$100,000",,0.7%,,"$1,809,364","$1,809,364","$164,488"
Van Jefferson,LAR/ATL,2020,4,,"$5,611,140","$1,402,785","$3,115,880",,0.7%,,"$7,230,500","$1,807,625","$4,015,115"
Russell Shepard,Giants,2018,1,,"$1,250,000","$1,250,000","$250,000",,0.7%,,"$1,801,637","$1,801,637","$360,327"
Bruce Ellington,Texans,2018,1,,"$1,250,000","$1,250,000","$200,000",,0.7%,,"$1,801,637","$1,801,637","$288,262"
Jeff Janis,Browns,2018,1,,"$1,250,000","$1,250,000",$0,,0.7%,,"$1,801,637","$1,801,637",$0
Devin Hester,Bears,2006,4,,"$2,873,500","$718,375","$1,263,500",,0.7%,,"$7,195,019","$1,798,755","$3,163,705"
Torrey Smith,Ravens,2011,4,,"$3,389,232","$847,308","$964,896",,0.7%,,"$7,190,944","$1,797,736","$2,047,223"
Trent Sherfield,Vikings,2024,1,,"$1,790,000","$1,790,000","$1,000,000",,0.7%,,"$1,790,000","$1,790,000","$1,000,000"
Leonard Hankerson,NE/ATL,2015,1,,"$1,000,000","$1,000,000","$255,000",,0.7%,,"$1,782,524","$1,782,524","$454,544"
Nate Washington,Texans,2015,1,,"$1,000,000","$1,000,000","$30,000",,0.7%,,"$1,782,524","$1,782,524","$53,476"
Leonard Hankerson,Bills,2015,1,,"$1,000,000","$1,000,000","$255,000",,0.7%,,"$1,782,524","$1,782,524","$454,544"
Cody Latimer,Broncos,2014,4,,"$3,708,650","$927,163","$2,025,755",,0.7%,,"$7,121,723","$1,780,432","$3,890,059"
Julio Jones,Eagles,2023,1,,"$1,567,000","$1,567,000",$0,,0.7%,,"$1,780,302","$1,780,302",$0
Aaron Dobson,Patriots,2013,4,,"$3,428,370","$857,093","$1,173,360",,0.7%,,"$7,118,746","$1,779,687","$2,436,391"
Michael Jenkins,Patriots,2013,1,,"$855,000","$855,000",$0,,0.7%,,"$1,775,341","$1,775,341",$0
Greg Little,LV/CLE,2011,4,,"$3,327,500","$831,875",$0,,0.7%,,"$7,059,967","$1,764,992",$0
Steve Smith Sr.,Panthers,2001,3,,"$1,396,000","$465,333","$500,000",,0.7%,,"$5,289,495","$1,763,164","$1,894,518"
Josh Palmer,Chargers,2021,4,,"$5,032,056","$1,258,014","$1,019,676",,0.7%,,"$7,042,121","$1,760,530","$1,426,988"
Joey Galloway,Steelers,2009,1,,"$845,000","$845,000",$0,,0.7%,,"$1,754,577","$1,754,577",$0
Nate Washington,Patriots,2016,1,,"$1,065,000","$1,065,000","$60,000",,0.7%,,"$1,751,794","$1,751,794","$98,693"
Tyler Boyd,Bengals,2016,4,,"$4,258,972","$1,064,743",$0,,0.7%,,"$7,005,484","$1,751,371",$0
Denzel Mims,NYJ/DET,2020,4,,"$5,433,696","$1,358,424","$2,978,766",,0.7%,,"$7,001,846","$1,750,462","$3,838,430"
Michael Gallup,Raiders,2024,1,,"$1,750,000","$1,750,000","$827,500",,0.7%,,"$1,750,000","$1,750,000","$827,500"
Rueben Randle,Giants,2012,4,,"$3,291,930","$822,983","$1,007,132",,0.7%,,"$6,971,467","$1,742,868","$2,132,848"
Dyami Brown,Commanders,2021,4,,"$4,943,998","$1,236,000","$955,636",,0.7%,,"$6,918,888","$1,729,723","$1,337,367"
Cecil Shorts,Buccaneers,2016,1,,"$1,050,000","$1,050,000",$0,,0.7%,,"$1,727,120","$1,727,120",$0
Marvin Mims,Broncos,2023,4,,"$6,068,634","$1,517,159","$3,189,399",,0.7%,,"$6,894,703","$1,723,676","$3,623,543"
Jakeem Grant,Browns,2023,1,,"$1,512,500","$1,512,500",$0,,0.7%,,"$1,718,383","$1,718,383",$0
Amari Rodgers,HOU/GB,2021,4,,"$4,899,902","$1,224,976","$923,564",,0.7%,,"$6,857,178","$1,714,295","$1,292,484"
Nico Collins,Texans,2021,4,,"$4,871,516","$1,217,879","$902,920",,0.7%,,"$6,817,453","$1,704,363","$1,263,593"
Steven Sims,Texans,2023,1,,"$1,500,000","$1,500,000","$500,000",,0.7%,,"$1,704,181","$1,704,181","$568,060"
DeAndre Carter,Raiders,2023,1,,"$1,500,000","$1,500,000","$1,255,000",,0.7%,,"$1,704,181","$1,704,181","$1,425,832"
Randall Cobb,Packers,2011,4,,"$3,209,421","$802,355","$1,000,500",,0.7%,,"$6,809,438","$1,702,359","$2,122,764"
Anthony Schwartz,Browns,2021,4,,"$4,863,026","$1,215,757","$896,744",,0.7%,,"$6,805,572","$1,701,394","$1,254,950"
Marquise Goodwin,Bears,2021,1,,"$1,212,500","$1,212,500","$350,000",,0.7%,,"$1,696,836","$1,696,836","$489,808"
Mecole Hardman,Chiefs,2019,4,,"$4,995,052","$1,248,763","$2,869,812",,0.7%,,"$6,778,620","$1,694,655","$3,894,527"
Devin Aromashodu,Vikings,2012,1,,"$800,000","$800,000","$50,000",,0.7%,,"$1,694,196","$1,694,196","$105,887"
James Jones,Giants,2015,1,,"$950,000","$950,000","$30,000",,0.7%,,"$1,693,398","$1,693,398","$53,476"
Marlon Moore,Browns,2015,3,,"$2,850,000","$950,000","$200,000",,0.7%,,"$5,080,193","$1,693,398","$356,505"
