Player,Team,"Year
Signed",Years,,Value,APY,Guaranteed,,"APY as % Of
Cap At Signing",,"Inflated
Value","Inflated
APY","Inflated
Guaranteed"
Rashod Bateman,Ravens,2024,2,,"$12,871,897","$6,435,949","$8,250,000",,2.5%,,"$12,871,897","$6,435,949","$8,250,000"
James Jones,Raiders,2014,3,,"$10,000,000","$3,333,333","$3,650,000",,2.5%,,"$19,203,008","$6,401,002","$7,009,098"
Joey Galloway,Buccaneers,2004,1,,"$2,000,000","$2,000,000",$0,,2.5%,,"$6,338,885","$6,338,885",$0
Garrett Wilson,Jets,2022,4,,"$20,554,006","$5,138,502","$20,554,006",,2.5%,,"$25,213,704","$6,303,427","$25,213,704"
DeSean Jackson,Rams,2021,1,,"$4,500,000","$4,500,000","$2,750,000",,2.5%,,"$6,297,534","$6,297,534","$3,848,493"
Jerry Rice,Raiders,2002,4,,"$7,000,000","$1,750,000","$900,000",,2.5%,,"$25,144,513","$6,286,128","$3,232,866"
Miles Austin,Cowboys,2010,1,,"$3,168,000","$3,168,000",$0,,2.5%,,"$6,272,149","$6,272,149",$0
Malcom Floyd,Chargers,2010,1,,"$3,168,000","$3,168,000",$0,,2.5%,,"$6,272,149","$6,272,149",$0
Dwayne Harris,Giants,2015,5,,"$17,500,000","$3,500,000","$7,100,000",,2.4%,,"$31,194,165","$6,238,833","$12,655,918"
Steve Johnson,Chargers,2015,3,,"$10,500,000","$3,500,000","$3,870,000",,2.4%,,"$18,716,499","$6,238,833","$6,898,367"
Marques Colston,Saints,2015,2,,"$7,000,000","$3,500,000","$2,305,000",,2.4%,,"$12,477,666","$6,238,833","$4,108,717"
Darius Slayton,Giants,2024,1,,"$6,200,000","$6,200,000",$0,,2.4%,,"$6,200,000","$6,200,000",$0
Kelvin Benjamin,Bills,2014,4,,"$16,123,250","$3,224,650","$6,199,125",,2.4%,,"$30,961,489","$6,192,298","$11,904,184"
Michael Jenkins,Vikings,2011,3,,"$8,750,000","$2,916,667","$2,000,000",,2.4%,,"$18,564,901","$6,188,301","$4,243,406"
DeVante Parker,Patriots,2023,2,,"$10,800,000","$5,400,000","$9,100,000",,2.4%,,"$12,270,107","$6,135,053","$10,338,701"
Eric Decker,Titans,2017,1,,"$4,000,000","$4,000,000","$2,500,000",,2.4%,,"$6,117,365","$6,117,365","$3,823,353"
Donte Moncrief,Steelers,2019,2,,"$9,000,000","$4,500,000","$3,500,000",,2.4%,,"$12,213,603","$6,106,801","$4,749,734"
Danny Amendola,Lions,2019,1,,"$4,500,000","$4,500,000","$4,250,000",,2.4%,,"$6,106,801","$6,106,801","$5,767,535"
Donte Moncrief,Panthers,2019,2,,"$9,000,000","$4,500,000","$3,500,000",,2.4%,,"$12,213,603","$6,106,801","$4,749,734"
Davone Bess,Browns,2013,3,,"$8,817,000","$2,939,000","$5,750,334",,2.4%,,"$18,307,820","$6,102,607","$11,940,124"
Cole Beasley,Cowboys,2015,4,,"$13,606,000","$3,401,500","$7,000,000",,2.4%,,"$24,253,018","$6,063,254","$12,477,666"
Demaryius Thomas,Broncos,2010,5,,"$12,155,500","$3,038,875","$9,351,750",,2.4%,,"$24,066,005","$6,016,501","$18,515,015"
Victor Cruz,Giants,2013,1,,"$2,879,000","$2,879,000",$0,,2.3%,,"$5,978,021","$5,978,021",$0
Kalif Raymond,Lions,2023,2,,"$10,500,000","$5,250,000","$8,150,000",,2.3%,,"$11,929,270","$5,964,635","$9,259,386"
Davone Bess,Dolphins,2010,3,,"$9,030,000","$3,010,000","$3,000,000",,2.3%,,"$17,878,000","$5,959,333","$5,939,535"
