"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"16","Pierre Thomas (FA)","147","549","3.7","18","0","2","77","84","513","6.7","3","1","16","211.2","13.2","0.0%"
"17","Ryan Mathews (FA)","285","1,255","4.4","51","7","6","26","33","189","7.3","1","1","16","210.4","13.2","0.0%"
"18","Frank Gore (FA)","276","1,128","4.1","51","9","9","16","26","141","8.8","0","3","16","190.9","11.9","12.1%"
"19","Maurice Jones-Drew (FA)","234","803","3.4","48","5","5","43","60","314","7.3","0","1","15","187.0","12.5","0.0%"
"20","Zac Stacy (FA)","250","973","3.9","40","5","7","26","35","141","5.4","1","1","14","183.4","13.1","0.0%"
"21","Alfred Morris (FA)","276","1,275","4.6","45","10","7","9","12","78","8.7","0","4","16","178.3","11.1","0.0%"
"22","Ray Rice (FA)","214","660","3.1","47","1","4","58","73","321","5.5","0","2","15","178.1","11.9","0.0%"
"23","Rashad Jennings (FA)","163","733","4.5","80","4","6","36","47","292","8.1","0","0","15","174.5","11.6","0.0%"
"24","Darren Sproles (FA)","53","220","4.2","38","1","2","71","89","604","8.5","2","2","15","173.4","11.6","0.1%"
"25","Andre Ellington (FA)","118","652","5.5","80","8","3","39","57","371","9.5","1","0","15","165.3","11.0","0.1%"
"26","DeAngelo Williams (FA)","201","843","4.2","43","6","3","26","36","333","12.8","1","2","15","163.6","10.9","0.1%"
"27","C.J. Spiller (FA)","202","933","4.6","77","9","2","33","40","185","5.6","0","1","15","154.8","10.3","0.1%"
"28","Donald Brown (FA)","102","537","5.3","51","4","6","27","35","214","7.9","2","0","16","150.1","9.4","0.0%"
"29","Steven Jackson (FA)","157","543","3.5","50","3","6","33","49","191","5.8","1","0","12","148.4","12.4","0.0%"
"30","Ben Tate (FA)","181","771","4.3","60","3","4","34","49","140","4.1","0","2","14","145.1","10.4","0.0%"
"31","Trent Richardson (FA)","188","563","3.0","22","1","3","35","52","316","9.0","1","1","16","144.9","9.1","0.0%"
"32","Rashard Mendenhall (FA)","217","687","3.2","28","1","8","18","21","134","7.4","0","3","15","144.1","9.6","0.0%"
"33","Jacquizz Rodgers (FA)","96","332","3.5","19","0","2","52","62","341","6.6","2","1","15","141.3","9.4","0.0%"
"34","Bilal Powell (FA)","176","697","4.0","39","3","1","36","57","272","7.6","0","0","16","140.1","8.8","0.0%"
"35","Shane Vereen (FA)","44","208","4.7","21","2","1","47","69","427","9.1","3","0","8","134.5","16.8","0.0%"
"36","Stevan Ridley (FA)","178","773","4.3","29","3","7","10","12","62","6.2","0","4","14","127.5","9.1","0.0%"
"37","Lamar Miller (FA)","177","709","4.0","49","4","2","26","35","170","6.5","0","1","16","123.9","7.7","0.0%"
"38","Mike Tolbert (FA)","101","361","3.6","22","2","5","27","32","184","6.8","2","0","16","123.5","7.7","0.0%"
"39","LeGarrette Blount (FA)","153","772","5.0","47","5","7","2","5","38","19.0","0","2","16","121.0","7.6","0.1%"
"40","BenJarvus Green-Ellis (FA)","220","756","3.4","25","1","7","4","8","22","5.5","0","2","16","119.8","7.5","0.0%"
"41","Dexter McCluster (FA)","8","5","0.6","5","0","0","53","83","511","9.6","2","0","15","116.6","7.8","0.0%"
"42","Chris Ogbonnaya (FA)","49","240","4.9","43","2","0","48","75","343","7.1","2","2","16","114.3","7.1","0.0%"
"43","Marcel Reece (FA)","46","218","4.7","63","1","2","32","54","331","10.3","2","0","16","111.8","7.0","0.0%"
"44","Bobby Rainey (FA)","150","566","3.8","80","3","5","15","19","46","3.1","1","1","15","110.2","7.3","0.0%"
"45","Arian Foster (FA)","121","542","4.5","23","2","1","22","35","183","8.3","1","0","8","108.5","13.6","0.0%"
"46","Montee Ball (FA)","120","559","4.7","45","3","4","20","27","145","7.3","0","3","16","108.4","6.8","0.0%"
"47","Roy Helu (FA)","62","274","4.4","24","2","4","31","42","251","8.1","0","0","16","107.5","6.7","0.0%"
"48","Chris Ivory (FA)","182","833","4.6","69","8","3","2","7","10","5.0","0","0","15","104.3","7.0","0.0%"
"49","Darren McFadden (FA)","114","379","3.3","30","4","5","17","25","108","6.4","0","1","10","98.3","9.8","7.0%"
"50","Daniel Thomas (FA)","109","406","3.7","55","1","4","15","17","63","4.2","2","0","15","97.9","6.5","0.0%"
