"Player","Team","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Passing Att","Passing Com","Passing X-Com","Passing Int","Passing X-Int","Passing Yds","Passing X-Yds","Passing TD","Passing X-TD","Scrambles Yds","Scrambles X-Yds","Scrambles TD","Scrambles X-TD","Designed Runs Yds","Designed Runs X-Yds","Designed Runs TD","Designed Runs X-TD"
"Jordan Love","GB","16.3","17.4","-1.0999999999999979","16.3","17.4","-1.1","1","31","21","21.04","1","0.56","180","213.66","2","1.87","11","12.5829","0","0.0095","10","3.8808","0","0.04"
"Lamar Jackson","BLT","35.9","26.3","9.599999999999998","35.9","26.3","9.6","1","27","21","19.19","0","0.72","357","216.56","3","2.61","21","26.0586","0","0.494","15","9.4076","1","0.24"
"Baker Mayfield","TB","17.2","17.9","-0.6999999999999993","17.2","17.9","-0.7","1","42","27","28.63","1","0.78","276","305.5","1","1.35","31","7.44","0","0","1","2.7436","0","0.01"
"Aidan O'Connell","LV","6","6.4","-0.40000000000000036","6","6.4","-0.4","1","13","10","9.61","1","0.28","75","98.08","1","0.7","0","0","0","0","0","0","0","0"
"Brock Purdy","SF","14.8","12","2.8000000000000007","14.8","12","2.8","1","30","21","19.44","2","0.92","272","235.5","1","0.33","18","14.8335","0","0","1","6.8988","0","0"
"Tua Tagovailoa","MIA","11.3","15.4","-4.1","11.3","15.4","-4.1","1","32","23","21.4","1","0.81","216","241.8","1","1.5","0","0","0","0","-3","4.263","0","0.02"
"Geno Smith","SEA","16.8","16.8","0","16.8","16.8","0","1","24","18","15.54","1","0.61","219","184.63","2","1.22","10","10.3044","0","0.4275","0","5.1932","0","0.18"
"Tyler Huntley","BLT","0","0.4","-0.4","0","0.4","-0.4","1","1","0","0.43","0","0.06","0","12.62","0","0","0","0","0","0","0","0","0","0"
"Nathan Peterman","CHI","-0.4","-0.2","-0.2","-0.4","-0.2","-0.2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-4","-2","0","0"
"Trevor Lawrence","JAX","18.1","13.3","4.800000000000001","18.1","13.3","4.8","1","29","20","20.33","0","0.47","205","211.38","1","0.5","63","35.9445","0","0.0095","-4","-3","0","0"
"Gardner Minshew","IND","34.1","16.2","17.900000000000002","34.1","16.2","17.9","1","23","15","14.58","1","0.54","305","192.07","2","0.64","29","27.8256","2","0.627","0","0","0","0"
"Kenny Pickett","PIT","15.2","13.4","1.799999999999999","15.2","13.4","1.8","1","25","17","16.12","0","0.64","230","183.13","0","0.63","2","7.5237","0","0","-2","4.7028","1","0.49"
"Tyrod Taylor","NYG","21.7","18.2","3.5","21.7","18.2","3.5","1","29","18","17.83","0","0.78","279","224.44","2","0.87","10","29.6019","0","0.4845","15","5.6828","0","0.01"
"Joshua Dobbs","ARZ","16.1","14.2","1.9000000000000021","16.1","14.2","1.9","1","33","19","21.82","0","0.69","146","225.09","0","0.35","5","13.6338","0","0.0095","38","27.1558","1","0.06"
"Matthew Stafford","LA","13","11.4","1.5999999999999996","13","11.4","1.6","1","29","14","18.4","1","0.69","231","203.2","1","0.67","8","13.0851","0","0","0","0","0","0"
"Tyson Bagent","CHI","12.9","13.5","-0.5999999999999996","12.9","13.5","-0.6","1","29","21","19.95","0","0.35","162","148.44","1","1.49","22","14.1453","0","0.0285","2","4.018","0","0"
"Kirk Cousins","MIN","22","24.1","-2.1000000000000014","22","24.1","-2.1","1","45","35","30.96","1","0.94","378","321.1","2","2.32","0","0","0","0","-1","0","0","0.49"
"Mac Jones","NE","20","17","3","20","17","3","1","30","25","22.57","0","0.55","272","200.16","2","1.96","9","13.4664","0","0","2","4.0474","0","0"
"Russell Wilson","DEN","13.9","11.9","2","13.9","11.9","2","1","29","20","17.65","0","0.46","194","178.3","1","0.92","21","15.2427","0","0","0","0","0","0"
"Jalen Hurts","PHI","26.3","20.9","5.400000000000002","26.3","20.9","5.4","1","31","23","20.54","1","0.56","279","230.86","2","1.07","17","13.9872","0","0","4","15.9144","1","0.82"
