"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Seattle Seahawks (SEA)","44","28","11","14","4","2","0","16","196.0","12.3","15.2%"
"2","Carolina Panthers (CAR)","60","20","10","11","4","0","0","16","190.0","11.9","3.0%"
"3","Kansas City Chiefs (KC)","47","21","15","12","7","0","4","16","180.0","11.3","82.9%"
"4","Arizona Cardinals (ARI)","47","20","10","11","5","2","0","16","168.0","10.5","0.9%"
"5","Cincinnati Bengals (CIN)","43","20","11","13","6","0","1","16","167.0","10.4","37.3%"
"6","San Francisco 49ers (SF)","38","18","11","11","5","1","0","16","163.0","10.2","96.7%"
"7","Los Angeles Rams (LAR)","53","14","15","18","5","1","1","16","154.0","9.6","21.3%"
"8","New England Patriots (NE)","48","17","12","11","3","0","0","16","145.0","9.1","14.1%"
"9","Buffalo Bills (BUF)","57","23","6","12","3","0","0","16","143.0","8.9","58.7%"
"10","Indianapolis Colts (IND)","42","15","12","15","1","2","1","16","135.0","8.4","31.1%"
"11","Tampa Bay Buccaneers (TB)","35","21","10","13","3","1","0","16","126.0","7.9","20.1%"
"12","Philadelphia Eagles (PHI)","37","19","12","11","2","2","0","16","122.0","7.6","52.2%"
"13","Miami Dolphins (MIA)","42","18","6","8","2","1","0","16","121.0","7.6","68.5%"
"14","New York Giants (NYG)","34","17","12","13","2","0","1","16","120.0","7.5","2.0%"
"15","Tennessee Titans (TEN)","36","13","12","13","3","0","0","16","116.0","7.3","3.6%"
"16","Dallas Cowboys (DAL)","34","15","13","13","5","0","1","16","116.0","7.3","90.4%"
"17","Denver Broncos (DEN)","41","17","9","14","2","0","3","16","115.0","7.2","34.5%"
"18","Baltimore Ravens (BAL)","40","16","7","14","1","0","2","16","111.0","6.9","82.2%"
"19","Chicago Bears (CHI)","31","19","9","17","6","0","1","16","111.0","6.9","41.7%"
"20","Cleveland Browns (CLE)","40","14","7","7","4","0","1","16","111.0","6.9","94.3%"
"21","Pittsburgh Steelers (PIT)","34","10","10","14","3","1","1","16","110.0","6.9","72.8%"
"22","New Orleans Saints (NO)","49","12","7","10","0","0","0","16","109.0","6.8","65.3%"
"23","Las Vegas Raiders (LV)","38","9","13","17","3","0","0","16","104.0","6.5","33.5%"
"24","Washington Commanders (WAS)","36","16","9","12","5","0","0","16","103.0","6.4","8.1%"
"25","Green Bay Packers (GB)","44","11","11","13","3","0","1","16","100.0","6.3","27.2%"
"26","Detroit Lions (DET)","33","15","7","8","2","2","2","16","100.0","6.3","31.0%"
"27","New York Jets (NYJ)","41","13","2","9","1","1","0","16","97.0","6.1","77.8%"
"28","Los Angeles Chargers (LAC)","35","11","6","9","1","0","0","16","91.0","5.7","12.4%"
"29","Jacksonville Jaguars (JAC)","31","11","10","14","2","3","0","16","86.0","5.4","43.2%"
"30","Atlanta Falcons (ATL)","32","10","11","13","3","0","0","16","84.0","5.3","16.8%"
"31","Minnesota Vikings (MIN)","41","12","8","11","1","0","3","16","72.0","4.5","9.9%"
"32","Houston Texans (HOU)","32","7","4","8","1","1","1","16","64.0","4.0","39.0%"
""
""
