"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Rob Gronkowski (FA)","82","131","1,124","13.7","46","19","12","0","0","0","0","15","266.4","17.8","1.5%"
"2","Jimmy Graham (NO)","85","124","889","10.5","29","8","10","0","0","0","2","16","229.9","14.4","0.0%"
"3","Antonio Gates (FA)","69","98","821","11.9","34","12","12","0","0","0","0","16","223.1","13.9","0.2%"
"4","Martellus Bennett (FA)","90","128","916","10.2","37","11","6","0","0","0","0","16","221.6","13.9","23.0%"
"5","Greg Olsen (FA)","84","123","1,008","12.0","38","9","6","0","0","0","0","16","220.8","13.8","7.0%"
"6","Travis Kelce (KC)","67","87","862","12.9","34","15","5","0","0","0","3","16","177.2","11.1","99.9%"
"7","Coby Fleener (FA)","51","92","774","15.2","73","16","8","0","0","0","0","16","176.4","11.0","0.0%"
"8","Delanie Walker (FA)","63","106","890","14.1","68","13","4","0","0","0","0","15","176.0","11.7","0.1%"
"9","Jason Witten (FA)","64","90","703","11.0","34","7","5","0","0","0","0","16","164.3","10.3","0.0%"
"10","Julius Thomas (FA)","43","62","489","11.4","35","7","12","0","0","0","0","13","163.9","12.6","0.0%"
"11","Heath Miller (FA)","66","91","761","11.5","49","8","3","0","0","0","1","16","160.1","10.0","0.0%"
"12","Larry Donnell (FA)","63","92","623","9.9","32","5","6","0","0","0","4","16","153.3","9.6","0.0%"
"13","Zach Ertz (WAS)","58","89","702","12.1","35","9","3","0","0","0","1","16","144.2","9.0","4.2%"
"14","Jermaine Gresham (FA)","62","79","460","7.4","23","2","5","0","0","0","0","15","138.0","9.2","0.0%"
"15","Charles Clay (FA)","58","84","605","10.4","41","9","3","0","0","0","0","14","136.5","9.8","0.0%"
"16","Mychal Rivera (FA)","58","99","534","9.2","33","6","4","0","0","0","1","16","133.4","8.3","0.2%"
"17","Jared Cook (FA)","52","99","634","12.2","59","7","3","1","0","0","0","16","133.4","8.3","0.0%"
"18","Owen Daniels (FA)","48","79","527","11.0","39","5","4","0","0","0","0","15","124.7","8.3","0.0%"
"19","Dwayne Allen (FA)","29","50","395","13.6","41","6","8","0","0","0","0","13","116.5","9.0","0.0%"
"20","Scott Chandler (FA)","47","70","497","10.6","37","9","3","0","0","0","0","16","114.7","7.2","0.0%"
"21","Jordan Reed (FA)","50","65","465","9.3","30","4","0","0","0","0","1","11","94.5","8.6","19.0%"
