"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Adrian Peterson (FA)","348","2,097","6.0","82","27","12","40","51","217","5.4","1","2","16","347.4","21.7","2.4%"
"2","Doug Martin (FA)","319","1,454","4.6","70","11","11","49","70","472","9.6","1","1","16","311.6","19.5","0.0%"
"3","Arian Foster (FA)","351","1,424","4.1","46","9","15","40","58","217","5.4","2","2","16","302.1","18.9","0.0%"
"4","Ray Rice (FA)","257","1,143","4.4","46","5","9","61","83","478","7.8","1","0","16","283.1","17.7","0.0%"
"5","Marshawn Lynch (FA)","315","1,590","5.0","77","9","11","23","30","196","8.5","1","2","16","269.6","16.9","0.3%"
"6","C.J. Spiller (FA)","207","1,244","6.0","62","12","6","43","57","459","10.7","2","3","16","255.3","16.0","0.1%"
"7","Trent Richardson (FA)","267","950","3.6","32","2","11","51","70","367","7.2","1","0","15","254.7","17.0","0.0%"
"8","Alfred Morris (FA)","335","1,613","4.8","39","9","13","11","16","77","7.0","0","3","16","252.0","15.8","0.0%"
"9","Jamaal Charles (FA)","285","1,509","5.3","91","11","5","35","48","236","6.7","1","3","16","239.5","15.0","0.1%"
"10","Frank Gore (FA)","258","1,214","4.7","37","7","8","28","36","234","8.4","1","1","16","224.8","14.1","12.1%"
"11","Matt Forte (FA)","248","1,094","4.4","46","6","5","44","60","340","7.7","1","1","15","221.4","14.8","19.1%"
"12","Darren Sproles (FA)","48","244","5.1","47","2","1","75","104","667","8.9","7","0","13","216.1","16.6","0.1%"
"13","Chris Johnson (FA)","276","1,243","4.5","94","8","6","36","49","232","6.4","0","4","16","211.5","13.2","0.6%"
"14","Reggie Bush (FA)","227","986","4.3","65","6","6","35","51","292","8.3","2","2","16","206.8","12.9","0.0%"
"15","Stevan Ridley (FA)","290","1,263","4.4","41","6","12","6","14","51","8.5","0","2","16","205.4","12.8","0.0%"
"16","Steven Jackson (FA)","258","1,045","4.1","46","5","4","38","53","321","8.4","0","0","16","200.6","12.5","0.0%"
"17","LeSean McCoy (FA)","200","840","4.2","34","7","2","54","67","373","6.9","3","3","12","199.3","16.6","2.0%"
"18","Shonn Greene (FA)","276","1,063","3.9","36","2","8","19","31","151","7.9","0","1","16","186.4","11.7","0.0%"
"19","Mikel Leshoure (FA)","215","798","3.7","16","0","9","34","48","214","6.3","0","3","14","183.2","13.1","0.0%"
"20","Ahmad Bradshaw (FA)","221","1,015","4.6","37","4","6","23","31","245","10.7","0","3","14","179.0","12.8","0.0%"
"21","Michael Turner (FA)","222","800","3.6","43","4","10","19","30","128","6.7","1","1","16","175.8","11.0","0.0%"
"22","BenJarvus Green-Ellis (FA)","278","1,094","3.9","48","7","6","22","29","104","4.7","0","2","15","173.8","11.6","0.0%"
"23","Danny Woodhead (FA)","76","301","4.0","19","0","4","40","55","446","11.2","3","0","16","156.7","9.8","20.6%"
"24","Joique Bell (FA)","82","414","5.0","67","3","3","52","69","485","9.3","0","2","16","155.9","9.7","0.2%"
"25","Darren McFadden (FA)","216","707","3.3","64","4","2","42","62","258","6.1","1","2","12","152.5","12.7","7.0%"
"26","DeMarco Murray (FA)","161","663","4.1","48","5","4","35","42","251","7.2","0","2","10","146.4","14.6","0.1%"
"27","DeAngelo Williams (FA)","173","737","4.3","65","5","5","13","20","187","14.4","2","2","16","143.4","9.0","0.1%"
"28","Jacquizz Rodgers (FA)","94","362","3.9","43","2","1","53","59","402","7.6","1","0","16","141.4","8.8","0.0%"
"29","Willis McGahee (FA)","167","731","4.4","31","2","4","26","33","221","8.5","0","4","10","139.2","13.9","0.0%"
"30","Ryan Mathews (FA)","184","707","3.8","31","1","1","39","57","252","6.5","0","2","12","136.9","11.4","0.0%"
"31","Marcel Reece (FA)","59","271","4.6","17","0","0","52","73","496","9.5","1","0","16","134.7","8.4","0.0%"
"32","Pierre Thomas (FA)","105","473","4.5","48","2","1","39","53","354","9.1","1","0","15","133.7","8.9","0.0%"
"33","Vick Ballard (FA)","211","814","3.9","26","4","2","17","27","152","8.9","1","0","16","131.6","8.2","0.0%"
"34","Felix Jones (FA)","111","402","3.6","22","1","3","25","36","262","10.5","2","2","16","117.4","7.3","0.0%"
"35","Fred Jackson (FA)","115","437","3.8","15","0","3","34","42","217","6.4","1","4","10","115.4","11.5","0.0%"
"36","Mike Tolbert (FA)","54","183","3.4","13","0","7","27","39","268","9.9","0","0","16","114.1","7.1","0.0%"
"37","Knowshon Moreno (FA)","138","525","3.8","20","1","4","21","26","167","8.0","0","1","8","112.2","14.0","0.0%"
"38","Andre Brown (FA)","73","385","5.3","31","3","8","12","17","86","7.2","0","0","10","109.1","10.9","0.0%"
"39","Ronnie Brown (FA)","46","220","4.8","21","1","0","49","60","371","7.6","0","0","14","108.1","7.7","0.0%"
"40","Dexter McCluster (FA)","12","70","5.8","19","0","0","52","76","452","8.7","1","2","16","106.2","6.6","0.0%"
"41","Mark Ingram II (FA)","156","602","3.9","31","4","5","6","10","29","4.8","0","0","16","99.1","6.2","0.1%"
"42","Jonathan Dwyer (FA)","156","623","4.0","34","3","2","18","25","106","5.9","0","2","13","98.9","7.6","0.0%"
"43","Bilal Powell (FA)","110","437","4.0","18","0","4","17","36","140","8.2","0","0","14","98.7","7.1","0.0%"
"44","Bryce Brown (FA)","115","564","4.9","65","6","4","13","19","56","4.3","0","3","16","93.0","5.8","0.0%"
"45","Isaac Redman (FA)","110","410","3.7","28","3","2","19","23","244","12.8","0","3","14","90.4","6.5","0.0%"
"46","LaRod Stephens-Howling (FA)","110","356","3.2","52","3","4","17","30","106","6.2","0","0","14","87.2","6.2","0.0%"
"47","Michael Bush (FA)","114","411","3.6","20","2","5","9","11","83","9.2","0","1","13","86.4","6.6","0.0%"
"48","Daryl Richardson (FA)","98","475","4.8","53","4","0","24","36","163","6.8","0","2","16","85.8","5.4","0.0%"
"49","Daniel Thomas (FA)","91","325","3.6","20","2","4","15","22","156","10.4","0","2","12","83.1","6.9","0.0%"
"50","Jackie Battle (FA)","95","311","3.3","52","2","3","15","15","108","7.2","1","0","16","80.9","5.1","0.0%"
"51","Jonathan Stewart (FA)","93","336","3.6","21","2","1","17","23","157","9.2","1","0","9","78.3","8.7","0.0%"
"52","Alex Green (FA)","135","464","3.4","41","2","0","18","29","125","6.9","0","0","12","76.9","6.4","0.0%"
"53","Maurice Jones-Drew (FA)","86","414","4.8","59","3","1","14","18","86","6.1","1","0","6","76.0","12.7","0.0%"
"54","Shaun Draughn (FA)","59","233","3.9","25","1","2","24","30","158","6.6","0","1","16","73.1","4.6","0.0%"
"55","Robert Turbin (FA)","80","354","4.4","26","2","0","19","23","181","9.5","0","0","16","72.5","4.5","0.0%"
"56","Rashad Jennings (FA)","101","283","2.8","21","1","2","19","26","130","6.8","0","1","10","72.3","7.2","0.0%"
"57","David Wilson (FA)","71","358","5.0","52","5","4","4","9","34","8.5","1","1","16","71.2","4.5","0.0%"
"58","Bernard Pierce (FA)","108","532","4.9","78","3","1","7","11","47","6.7","0","0","16","70.9","4.4","0.0%"
"59","Shane Vereen (FA)","62","251","4.0","16","0","3","8","13","149","18.6","1","1","13","70.0","5.4","0.0%"
"60","Donald Brown (FA)","108","417","3.9","19","0","1","9","13","93","10.3","0","0","10","68.0","6.8","0.0%"
"61","Mike Goodson (FA)","35","221","6.3","43","3","0","16","16","195","12.2","1","0","12","63.6","5.3","0.0%"
"62","Kendall Hunter (FA)","72","371","5.2","26","2","2","9","12","60","6.7","0","1","11","62.1","5.6","0.0%"
"63","Jason Snelling (FA)","18","63","3.5","11","0","0","31","35","203","6.5","1","1","16","61.6","3.9","0.0%"
"64","Beanie Wells (FA)","88","234","2.7","31","1","5","1","1","24","24.0","0","1","8","54.8","6.9","0.0%"
"65","Cedric Benson (FA)","71","248","3.5","11","0","1","14","15","97","6.9","0","0","5","54.5","10.9","0.0%"
"66","Toby Gerhart (FA)","50","169","3.4","22","1","1","20","27","155","7.8","0","2","16","54.4","3.4","0.0%"
"67","William Powell (FA)","60","217","3.6","17","0","0","19","25","132","6.9","0","0","13","53.9","4.1","0.0%"
"68","Ben Tate (FA)","65","279","4.3","25","2","2","11","11","49","4.5","0","1","11","53.8","4.9","0.0%"
