Player,ADP
Julius Thomas,90.8
Gary Barnidge,84.8
Zach Ertz,80.5
Coby Fleener,66
Delanie Walker,61.8
Travis Kelce,57.5
Greg Olsen,44.5
Will Tye,239.3
Vance McDonald,218.7
Kyle Rudolph,206.3
Jordan Cameron,203
Jesse James,202.7
Clive Walford,186.3
Ladarius Green,175.3
Austin Seferian-Jenkins,163.7
Charles Clay,162
Jordan Reed,33.5
Virgil Green,180
Zach Miller,150.5
Jared Cook,141
Eric Ebron,139.5
Jason Witten,136
Jimmy Graham,129.5
Dwayne Allen,120
Tyler Eifert,117.5
Martellus Bennett,113.3
Antonio Gates,94.5
Rob Gronkowski,11.5
