Player,Age,GS,TD%,Int%,Lng,AY/A,Y/C,Y/G,QBR,NY/A,ANY/A,4QC,GWD,Player-additional
Drew Brees*,33,16,6.4,2.8,80,7.7,12.3,323.6,68.7,7.17,7.17,1,2,BreeDr00
Matthew Stafford,24,16,2.8,2.3,57,6.3,11.4,310.4,56.1,6.29,5.81,3,3,StafMa00
Tony Romo,32,16,4.3,2.9,85,7.1,11.5,306.4,65.4,6.78,6.35,5,5,RomoTo00
Tom Brady*,35,16,5.3,1.3,83,8.1,12.0,301.7,76.1,7.00,7.48,1,2,BradTo00
Matt Ryan*,27,16,5.2,2.3,80,7.7,11.2,294.9,71.6,7.01,7.03,4,6,RyanMa00
Peyton Manning*+,36,16,6.3,1.9,71,8.4,11.6,291.2,79.6,7.49,7.89,3,3,MannPe00
Andrew Luck*,23,16,3.7,2.9,70,6.4,12.9,273.4,65.6,6.18,5.66,4,7,LuckAn00
Aaron Rodgers*,29,16,7.1,1.4,73,8.5,11.6,268.4,71.2,6.64,7.33,2,3,RodgAa00
Josh Freeman,24,16,4.8,3.0,95,6.9,13.3,254.1,49.4,6.68,6.30,1,1,FreeJo00
Carson Palmer,33,15,3.9,2.5,64,6.8,11.6,267.9,46.6,6.46,6.14,2,2,PalmCa00
Matt Schaub*,31,16,4.0,2.2,60,7.2,11.5,250.5,61.3,6.64,6.47,2,2,SchaMa00
Eli Manning*,31,16,4.9,2.8,80,7.1,12.3,246.8,67.0,6.87,6.59,3,3,MannEl00
Cam Newton,23,16,3.9,2.5,82,7.6,13.8,241.8,58.3,6.96,6.65,1,1,NewtCa00
Joe Flacco,27,16,4.1,1.9,61,7.2,12.0,238.6,51.1,6.34,6.33,3,3,FlacJo00
Sam Bradford,25,16,3.8,2.4,80,6.4,11.3,231.4,51.6,5.92,5.64,4,3,BradSa00
Andy Dalton,25,16,5.1,3.0,59,6.6,11.2,229.3,47.7,5.99,5.68,1,3,DaltAn00
Philip Rivers,31,16,4.9,2.8,80,6.5,10.7,225.4,42.6,5.72,5.45,,,RivePh00
Ryan Fitzpatrick,30,16,4.8,3.2,68,6.3,11.1,212.5,43.8,6.05,5.61,0,1,FitzRy00
Brandon Weeden,29,15,2.7,3.3,71,5.6,11.4,225.7,33.9,5.87,4.98,1,1,WeedBr00
Ryan Tannehill,24,16,2.5,2.7,80,6.1,11.7,205.9,48.4,5.90,5.23,1,1,TannRy00
Ben Roethlisberger,30,13,5.8,1.8,82,7.6,11.5,251.2,71.3,6.44,6.77,2,3,RoetBe00
Robert Griffin III*,22,15,5.1,1.3,88,8.6,12.4,213.3,69.4,7.05,7.47,3,2,GrifRo01
Russell Wilson*,24,16,6.6,2.5,67,8.1,12.4,194.9,72.7,6.84,7.01,3,4,WilsRu00
Jay Cutler,29,15,4.4,3.2,60,6.4,11.9,202.2,48.1,5.90,5.37,1,1,CutlJa00
Christian Ponder,24,16,3.7,2.5,65,5.7,9.8,183.4,52.1,5.34,4.99,1,2,PondCh00
Mark Sanchez,26,15,2.9,4.0,66,5.2,11.7,192.2,27.1,5.49,4.36,1,1,SancMa00
Michael Vick,32,10,3.4,2.8,77,6.1,11.6,236.2,47.0,5.83,5.27,3,3,VickMi00
Jake Locker,24,11,3.2,3.5,71,6.0,12.3,197.8,42.0,5.97,5.10,0,1,LockJa00
Chad Henne,27,6,3.6,3.6,81,5.9,12.6,208.4,27.7,5.70,4.88,,,HennCh01
Colin Kaepernick,25,7,4.6,1.4,57,8.6,13.3,139.5,71.8,7.27,7.55,1,1,KaepCo00
Matt Cassel,30,8,2.2,4.3,46,5.0,11.2,199.6,26.3,5.73,4.31,1,1,CassMa00
Alex Smith,28,9,6.0,2.3,55,8.1,11.4,173.7,65.1,6.61,6.76,,,SmitAl03
Nick Foles,23,6,2.3,1.9,46,6.0,10.6,242.7,51.2,5.50,5.13,1,1,FoleNi00
Blaine Gabbert,23,10,3.2,2.2,80,5.7,10.3,166.2,36.1,5.01,4.71,1,1,GabbBl00
Matt Hasselbeck,37,5,3.2,2.3,37,5.8,9.9,170.9,45.0,5.38,5.02,2,2,HassMa00
Kevin Kolb,28,5,4.4,1.6,46,6.5,10.7,194.8,42.7,4.81,4.93,2,2,KolbKe00
Brady Quinn,28,8,1.0,4.1,57,4.2,10.2,114.1,26.0,4.67,3.20,,,QuinBr00
John Skelton,24,6,1.0,4.5,40,3.8,10.4,161.7,18.3,4.79,3.10,1,1,SkelJo00
Ryan Lindley,23,4,0.0,4.1,28,2.6,8.4,125.3,9.2,3.61,1.89,,,LindRy00
Charlie Batch,38,2,1.4,5.7,43,4.5,10.6,237.5,35.9,6.34,4.15,1,1,BatcCh00
Kirk Cousins,24,1,8.3,6.3,77,8.6,14.1,155.3,77.7,8.61,7.53,1,1,CousKi00
Brian Hoyer,27,1,1.9,3.8,53,4.9,11.0,165.0,28.7,5.26,4.04,,,HoyeBr00
Byron Leftwich,32,1,0.0,1.9,37,4.3,10.9,136.0,28.8,4.43,3.63,0,0,LeftBy00
Jason Campbell,31,1,3.9,3.9,45,4.2,8.3,44.2,9.2,3.79,2.91,,,CampJa00
Greg McElroy,24,1,3.2,3.2,30,6.1,11.3,107.0,16.6,3.40,2.81,1,1,McElGr00
Thaddeus Lewis,27,1,3.1,3.1,23,5.6,9.3,204.0,54.5,5.43,4.71,,,LewiTh01
Tyrod Taylor,23,0,0.0,3.4,25,4.6,10.5,25.6,52.3,4.66,3.25,,,TaylTy00
Shaun Hill,32,0,15.4,0.0,46,16.3,17.2,172.0,44.2,13.23,16.31,,,HillSh00
Terrelle Pryor,23,1,6.7,3.3,38,5.0,11.1,51.7,53.8,5.17,5.00,,,PryoTe00
Matt Moore,28,0,5.3,0.0,37,7.9,11.9,65.5,62.0,5.81,6.76,,,MoorMa01
Matt Leinart,29,0,0.0,3.0,20,2.1,7.2,57.5,24.0,3.12,1.79,,,LeinMa00
Kyle Orton,30,0,10.0,0.0,21,10.9,9.9,89.0,99.5,8.90,10.90,,,OrtoKy00
Colt McCoy,26,0,5.9,0.0,21,5.8,8.8,26.3,17.8,2.57,3.52,,,McCoCo00
Mohamed Sanu,23,3,100.0,0.0,73,93.0,73.0,8.1,100.0,73.00,93.00,,,SanuMo00
Matt Flynn,27,0,0.0,0.0,27,7.6,13.6,22.7,23.1,7.56,7.56,,,FlynMa00
Bruce Gradkowski,29,0,0.0,0.0,44,5.9,13.0,32.5,33.6,5.91,5.91,1,1,GradBr00
Derek Anderson,29,0,0.0,0.0,23,14.5,14.5,29.0,90.9,14.50,14.50,,,AndeDe00
Dan Orlovsky,29,0,0.0,0.0,24,7.3,12.8,51.0,56.8,7.29,7.29,,,OrloDa00
Johnny Hekker,22,0,33.3,0.0,21,20.7,14.0,2.6,100.0,14.00,20.67,,,HekkJo00
Jeremy Kerley,24,7,0.0,0.0,42,42.0,42.0,2.6,91.8,42.00,42.00,,,KerlJe00
Kellen Clemens,29,0,0.0,33.3,39,-2.0,39.0,19.5,5.2,13.00,-2.00,,,ClemKe00
Tim Tebow,25,2,0.0,0.0,23,4.9,6.5,3.3,25.4,3.20,3.20,,,TeboTi00
T.J. Yates,25,0,0.0,10.0,19,-0.7,9.5,9.5,44.8,3.45,-0.64,,,YateT.00
Rusty Smith,25,0,0.0,0.0,17,6.8,11.3,34.0,37.2,6.80,6.80,,,SmitRu01
Tyler Thigpen,28,0,0.0,0.0,12,6.0,10.0,7.5,35.9,6.00,6.00,,,ThigTy00
Mike Williams,25,16,0.0,0.0,28,28.0,28.0,1.8,100.0,28.00,28.00,,,WillMi04
