Player,ADP
Cooper Kupp,4
Keenan Allen,28.3
A.J. Brown,30.8
Michael Pittman,33.5
Tee Higgins,33.8
Terry McLaurin,41
DJ Moore,43.8
Diontae Johnson,43.8
Mike Williams,46
Jaylen Waddle,47.3
DK Metcalf,48.3
Justin Jefferson,5.5
Brandin Cooks,56
Courtland Sutton,58
Marquise Brown,61.5
Chris Godwin,61.8
Allen Robinson,62.8
Amon-Ra St. Brown,63.5
Jerry Jeudy,65.8
Gabe Davis,67.3
Amari Cooper,67.8
Adam Thielen,73.3
Ja'Marr Chase,8.3
Darnell Mooney,73.5
JuJu Smith-Schuster,74.3
Michael Thomas,80
Hunter Renfrow,83.3
DeAndre Hopkins,83.3
Rashod Bateman,88.5
Elijah Moore,90
DeVonta Smith,90.3
Tyler Lockett,96.5
Brandon Aiyuk,98
Davante Adams,12.3
Drake London,98.5
Christian Kirk,100.3
Robert Woods,103
Allen Lazard,104.5
Chris Olave,110.8
Chase Claypool,116.3
Kadarius Toney,119
George Pickens,127.8
Treylon Burks,131.8
Tyler Boyd,137.8
Stefon Diggs,12.5
Garrett Wilson,138
Michael Gallup,139.3
Skyy Moore,142.8
Julio Jones,143.8
Russell Gage,145.5
DJ Chark,147.5
Marquez Valdes-Scantling,148.8
Jarvis Landry,157.3
DeVante Parker,161.5
Jakobi Meyers,162.3
Deebo Samuel,17
Mecole Hardman,168.8
Jahan Dotson,174.8
Romeo Doubs,176.3
Isaiah McKenzie,176.3
Rondale Moore,186.3
Odell Beckham,202
Joshua Palmer,202.3
Robbie Anderson,208.5
Jalen Tolbert,210.3
Kenny Golladay,210.5
CeeDee Lamb,19.5
Christian Watson,188.3
Marvin Jones,212.3
Nico Collins,213.8
Sammy Watkins,217
Jameson Williams,202.7
Alec Pierce,211.3
Van Jefferson,217.3
Wan'Dale Robinson,224.7
K.J. Osborn,226.7
Corey Davis,211.5
Tyreek Hill,19.8
Parris Campbell,212
A.J. Green,212
Randall Cobb,224.5
KJ Hamler,229
Kendrick Bourne,235
Mike Evans,26.8
