Player,Team,Position,Value,APY,Guaranteed,"APY% Of
Cap","Inflated
Value","Inflated
APY","Inflated
Guaranteed",Contract Years,Year Signed,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Year End
Khalil Herbert,Bears,RB,3610704,902676,130704,0.50,4447596,1111899,160999,4,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2025
Jake Funk,Rams,RB,3588228,897057,108228,0.50,4419910,1104978,133313,4,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2025
Gerrid Doaks,Dolphins,RB,3576100,894025,96100,0.50,4404971,1101243,118374,4,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2025
Kylin Hill,Packers,RB,3559064,889766,79064,0.50,4383987,1095997,97390,4,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2025
Jermar Jefferson,Lions,RB,3558324,889581,78324,0.50,4383075,1095769,96478,4,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2025
Jason Huntley,Eagles,RB,2580000,860000,25000,0.50,3177995,1059332,30795,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
Taquan Mizzell,Giants,RB,853500,853500,3500,0.50,1051325,1051325,4311,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Devine Ozigbo,Saints,RB,850000,850000,0,0.50,1047014,1047014,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Dexter Williams,Packers,RB,850000,850000,0,0.50,1047014,1047014,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Dare Ogunbowale,Jaguars,RB,850000,850000,0,0.50,1047014,1047014,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Ryan Nall,Bears,RB,850000,850000,0,0.50,1047014,1047014,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Qadree Ollison,Falcons,RB,850000,850000,0,0.50,1047014,1047014,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Dexter Williams,Browns,RB,850000,850000,0,0.50,1047014,1047014,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Darius Jackson,Texans,RB,850000,850000,0,0.50,1047014,1047014,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Craig Reynolds,Lions,RB,850000,850000,0,0.50,1047014,1047014,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Devine Ozigbo,Jaguars,RB,850000,850000,0,0.50,1047014,1047014,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Bo Scarbrough,Raiders,RB,850000,850000,0,0.50,1047014,1047014,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Darius Jackson,Raiders,RB,850000,850000,0,0.50,1047014,1047014,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Patrick Laird,Dolphins,RB,850000,850000,0,0.50,1047014,1047014,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Elijah McGuire,Chiefs,RB,850000,850000,0,0.50,1047014,1047014,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
John Kelly,Browns,RB,850000,850000,0,0.50,1047014,1047014,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Jeremy Cox,Broncos,RB,1675000,837500,0,0.50,2063233,1031616,0,2,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2023
Jordan Scarlett,Dolphins,RB,1675000,837500,0,0.50,2063233,1031616,0,2,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2023
Austin Walter,Jets,RB,1675000,837500,0,0.50,2063233,1031616,0,2,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2023
Deon Jackson,Colts,RB,2470000,823333,45000,0.50,3042499,1014166,55430,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
Jaret Patterson,Commanders,RB,2460000,820000,115000,0.40,3030181,1010060,141655,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
Pooka Williams Jr.,Bengals,RB,2445000,815000,20000,0.40,3011704,1003901,24636,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
Garrett Groshek,Raiders,RB,2440000,813333,65000,0.40,3005545,1001848,80066,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
Asim Rose,Vikings,RB,2440000,813333,35000,0.40,3005545,1001848,43112,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
Nate McCrary,Ravens,RB,2435000,811667,25000,0.40,2999386,999796,30795,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
Dedrick Mills,Lions,RB,2435000,811667,25000,0.40,2999386,999796,30795,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
Spencer Brown,Panthers,RB,2435000,811667,20000,0.40,2999386,999796,24636,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
Josh Johnson,Seahawks,RB,2435000,811667,10000,0.40,2999386,999796,12318,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
Nate McCrary,Broncos,RB,2435000,811667,25000,0.40,2999386,999796,30795,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
Stevie Scott III,Saints,RB,2432500,810833,7500,0.40,2996307,998769,9238,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
Caleb Huntley,Falcons,RB,2430000,810000,40000,0.40,2993227,997742,49271,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
Javian Hawkins,Falcons,RB,2430000,810000,35000,0.40,2993227,997742,43112,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
Rakeem Boyd,Lions,RB,2430000,810000,5000,0.40,2993227,997742,6159,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
Mekhi Sargent,Titans,RB,2430000,810000,15000,0.40,2993227,997742,18477,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
Trey Ragas,Raiders,RB,2430000,810000,55000,0.40,2993227,997742,67748,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
JaQuan Hardy,Cowboys,RB,2430000,810000,55000,0.40,2993227,997742,67748,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
Brenden Knox,Cowboys,RB,2430000,810000,55000,0.40,2993227,997742,67748,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
CJ Marable,Bears,RB,2428000,809333,3000,0.40,2990764,996921,3695,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
BJ Emmons,Seahawks,RB,2426000,808667,1000,0.40,2988300,996101,1232,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
Otis Anderson,Rams,RB,2425000,808333,0,0.40,2987068,995689,0,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
Tre Harbison III,Browns,RB,2425000,808333,0,0.40,2987068,995689,0,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
Corey Taylor,Browns,RB,2425000,808333,0,0.40,2987068,995689,0,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
Darius Clark,Panthers,RB,2425000,808333,0,0.40,2987068,995689,0,3,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2024
Kerrith Whyte,Bills,RB,780000,780000,0,0.40,960789,960789,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Tony Brooks-James,Falcons,RB,780000,780000,0,0.40,960789,960789,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Godwin Igwebuike,Lions,RB,780000,780000,0,0.40,960789,960789,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Tony Brooks-James,Steelers,RB,780000,780000,0,0.40,960789,960789,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Austin Walter,NYJ/SF,RB,780000,780000,0,0.40,960789,960789,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Adrian Killins,Eagles,RB,1510200,755100,25200,0.40,1860235,930118,31041,2,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2023
Damarea Crockett,Broncos,RB,1485000,742500,0,0.40,1829195,914597,0,2,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2023
Tavien Feaster,Cardinals,RB,1485000,742500,0,0.40,1829195,914597,0,2,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2023
Johnny Stanton,Browns,RB,1485000,742500,0,0.40,1829195,914597,0,2,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2023
Javian Hawkins,Titans,RB,1485000,742500,0,0.40,1829195,914597,0,2,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2023
Josh Johnson,Seahawks,RB,1485000,742500,0,0.40,1829195,914597,0,2,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2023
Darius Bradwell,Chargers,RB,1485000,742500,0,0.40,1829195,914597,0,2,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2023
Christian Wade,Bills,RB,1485000,742500,0,0.40,1829195,914597,0,2,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2023
Tony Jones,Saints,RB,1485000,742500,0,0.40,1829195,914597,0,2,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2023
Patrick Taylor,Packers,RB,1485000,742500,0,0.40,1829195,914597,0,2,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2023
Antonio Williams,Bills,RB,1485000,742500,0,0.40,1829195,914597,0,2,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2023
Elijah Holyfield,Eagles,RB,1485000,742500,0,0.40,1829195,914597,0,2,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2023
Tony Jones,Seahawks,RB,1485000,742500,0,0.40,1829195,914597,0,2,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2023
Pete Guerriero,Jets,RB,1485000,742500,0,0.40,1829195,914597,0,2,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2023
Deon Jackson,Colts,RB,1485000,742500,0,0.40,1829195,914597,0,2,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2023
Johnny Stanton,Browns,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Mike Weber,Giants,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Pete Guerriero,Steelers,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Mike Weber,Packers,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Mekhi Sargent,Jaguars,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Mikey Daniel,Panthers,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Tavien Feaster,Cardinals,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Michael Warren,Lions,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Derrick Gore,Chiefs,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Benny LeMay,Colts,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Cameron Scarlett,Seahawks,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Jordan Chunn,Giants,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Mekhi Sargent,Rams,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Tyler Gaffney,Patriots,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Jacques Patrick,Bengals,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Ty Williams,Ravens,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Stevie Scott III,Broncos,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Javon Leake,Commanders,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Darius Anderson,Colts,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Michael Warren,Commanders,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Sandro Platzgummer,Giants,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Javon Leake,Lions,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Trey Ragas,Raiders,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Jacques Patrick,49ers,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Adrian Killins,Broncos,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
BJ Emmons,Raiders,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Khalfani Muhammad,Cardinals,RB,660000,660000,0,0.40,812975,812975,0,1,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2022
Christian McCaffrey,CAR/SF,RB,64063412,16015853,36346412,8.10,72661226,18165307,41224387,4,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2024
Alvin Kamara,Saints,RB,75000000,15000000,34333333,7.60,85065590,17013118,38941137,5,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2025
Dalvin Cook,Vikings,RB,63000000,12600000,28131361,6.40,71455096,14291019,31906811,5,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2025
Derrick Henry,Titans,RB,50000000,12500000,25500000,6.30,56710394,14177598,28922301,4,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2024
Joe Mixon,Bengals,RB,48000000,12000000,10000000,6.10,54441978,13610494,11342079,4,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2024
Derrick Henry,Titans,RB,10278000,10278000,10278000,5.20,11657388,11657388,11657388,1,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2021
Kenyan Drake,Cardinals,RB,8483000,8483000,8483000,4.30,9621485,9621485,9621485,1,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2021
Melvin Gordon,Broncos,RB,16000000,8000000,13500000,4.00,18147326,9073663,15311806,2,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2022
Austin Ekeler,Chargers,RB,24500000,6125000,15000000,3.10,27788093,6947023,17013118,4,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2024
Kareem Hunt,Browns,RB,12000000,6000000,6809000,3.00,13610494,6805247,7722821,2,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2022
Tarik Cohen,Bears,RB,17250000,5750000,12033000,2.90,19565086,6521695,13647923,3,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2023
Todd Gurley,Falcons,RB,5500000,5500000,5500000,2.80,6238143,6238143,6238143,1,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2021
Jordan Howard,Dolphins,RB,9750000,4875000,4750000,2.50,11058527,5529263,5387487,2,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2022
Jalen Richard,Raiders,RB,7000000,3500000,4500000,1.80,7939455,3969728,5103935,2,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2022
Matt Breida,SF/MIA,RB,3259000,3259000,0,1.60,3696383,3696383,0,1,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2021
Kareem Hunt,Browns,RB,3259000,3259000,0,1.60,3696383,3696383,0,1,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2021
Carlos Hyde,Seahawks,RB,2750000,2750000,0,1.40,3119072,3119072,0,1,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2021
Clyde Edwards-Helaire,Chiefs,RB,10821576,2705394,9955850,1.40,12273917,3068479,11292003,4,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2024
D'Andre Swift,Lions,RB,8538918,2134730,6306374,1.10,9684908,2421228,7152739,4,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2024
Brian Hill,Falcons,RB,2133000,2133000,0,1.10,2419265,2419265,0,1,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2021
Rex Burkhead,Patriots,RB,2000000,2000000,550000,1.00,2268416,2268416,623814,1,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2021
Leonard Fournette,Buccaneers,RB,2000000,2000000,0,1.00,2268416,2268416,0,1,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2021
Jonathan Taylor,Colts,RB,7829154,1957289,4829799,1.00,8879888,2219973,5477996,4,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2024
Taiwan Jones,Bills,RB,1750000,1750000,700000,0.90,1984864,1984864,793946,1,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2021
J.D. McKissic,Commanders,RB,3270000,1635000,1000000,0.80,3708860,1854430,1134208,2,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2022
Dion Lewis,Giants,RB,1550000,1550000,0,0.80,1758022,1758022,0,1,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2021
Cam Akers,Rams,RB,6173042,1543261,3550077,0.80,7001513,1750379,4026525,4,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2024
Peyton Barber,Commanders,RB,3000000,1500000,600000,0.80,3402624,1701312,680525,2,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2022
J.K. Dobbins,Ravens,RB,5729438,1432360,3207293,0.70,6498374,1624594,3637737,4,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2024
Chris Thompson,Jaguars,RB,1400000,1400000,250000,0.70,1587891,1587891,283552,1,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2021
Devonta Freeman,Giants,RB,1350000,1350000,300000,0.70,1531181,1531181,340262,1,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2021
A.J. Dillon,Packers,RB,5285830,1321458,2760240,0.70,5995230,1498808,3130686,4,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2024
Antonio Gibson,Commanders,RB,4932638,1233160,1147372,0.60,5594637,1398660,1301358,4,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2024
