Player,Team,Position,Value,APY,Guaranteed,"APY% Of
Cap","Inflated
Value","Inflated
APY","Inflated
Guaranteed",Contract Years,Year Signed,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Year End
Adrian Peterson,Vikings,RB,85280000,14213333,36000000,11.80,159260179,26543362,67229907,6,2011,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
DeAngelo Williams,Panthers,RB,43000000,8600000,21000000,7.10,80302388,16060478,39217445,5,2011,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
James Casey,Eagles,RB,12000000,4000000,6015000,3.30,21931707,7310569,10993268,3,2013,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Steven Jackson,Falcons,RB,12000000,4000000,4000000,3.30,21931707,7310569,7310569,3,2013,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Reggie Bush,Lions,RB,16000000,4000000,4000000,3.30,29242276,7310569,7310569,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Shonn Greene,Titans,RB,10000000,3333333,4500000,2.70,18276423,6092140,8224390,3,2013,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
DeAngelo Williams,Panthers,RB,10000000,3333333,4000000,2.70,18276423,6092140,7310569,3,2013,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Chris Ivory,Jets,RB,6000000,2000000,2250000,1.60,10965854,3655285,4112195,3,2013,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Giovani Bernard,Bengals,RB,5253340,1313335,3249400,1.10,9601226,2400307,5938741,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Le'Veon Bell,Steelers,RB,4120600,1030150,1376800,0.80,7530983,1882746,2516298,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Montee Ball,Broncos,RB,3464326,866082,1629512,0.70,6331549,1582888,2978165,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Eddie Lacy,Packers,RB,3392412,848103,1042208,0.70,6200116,1550029,1904783,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Christine Michael,DAL/SEA,RB,3374430,843608,1014132,0.70,6167251,1541814,1853471,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Knile Davis,NYJ/GB/KC,RB,2741016,685254,506016,0.60,5009597,1252399,924816,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Johnathan Franklin,Packers,RB,2565468,641367,405468,0.50,4688758,1172189,741050,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Marcus Lattimore,49ers,RB,2460584,615146,300584,0.50,4497067,1124267,549360,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Stepfan Taylor,Cardinals,RB,2360500,590125,200500,0.50,4314150,1078537,366442,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Joseph Randle,Cowboys,RB,2348880,587220,0,0.50,4292912,1073228,0,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Chris Thompson,Commanders,RB,2345000,586250,185000,0.50,4285821,1071455,338114,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Zac Stacy,NYJ/LAR,RB,2336500,584125,176500,0.50,4270286,1067572,322579,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Mike Gillislee,Dolphins,RB,2322800,580700,162800,0.50,4245247,1061312,297540,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Kenjon Barner,CAR/PHI,RB,2265800,566450,105800,0.50,4141072,1035268,193365,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Andre Ellington,Cardinals,RB,2263864,565966,103864,0.50,4137534,1034383,189826,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Mike James,Buccaneers,RB,2263152,565788,103152,0.50,4136232,1034058,188525,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Rex Burkhead,Bengals,RB,2262200,565550,102200,0.50,4134492,1033623,186785,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Spencer Ware,Seahawks,RB,2257432,564358,97432,0.50,4125778,1031445,178071,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Theo Riddick,Lions,RB,2251000,562750,91000,0.50,4114023,1028506,166315,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Jawan Jamison,Commanders,RB,2210880,552720,50880,0.40,4040698,1010174,92990,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Kerwynn Williams,Colts,RB,2209824,552456,49824,0.40,4038768,1009692,91060,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Michael Cox,Giants,RB,2205896,551474,45896,0.40,4031589,1007897,83881,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Latavius Murray,Raiders,RB,2191200,547800,106200,0.40,4004730,1001182,194096,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Kerwynn Williams,Colts,RB,2160000,540000,0,0.40,3947707,986927,0,4,2013,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
C.J. Anderson,Broncos,RB,1497500,499167,12500,0.40,2736894,912299,22846,3,2013,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Jawan Jamison,Commanders,RB,1485000,495000,0,0.40,2714049,904683,0,3,2013,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Jamaal Charles,Chiefs,RB,28000000,7000000,2950000,5.30,47326316,11831579,4986165,4,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
