"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"133",9,"Matt Jones",FA,"RB47","70","195","127.1","29.0","+11"
"134",9,"Seattle Seahawks",SEA,"DST1","106","173","130.4","11.9","-32"
"135",9,"Alfred Blue",FA,"RB48","75","196","132.5","26.4","-35"
"136",10,"Charles Clay",FA,"TE20","93","196","137.8","20.7","+69"
"137",10,"Vernon Davis",FA,"TE21","92","187","141.6","21.0","+23"
"138",10,"Terrance Williams",FA,"WR52","90","181","138.3","21.0","-22"
"139",10,"Buffalo Bills",BUF,"DST2","115","196","137.8","12.2","-22"
"140",10,"Michael Crabtree",FA,"WR53","71","202","136.9","26.4","-1"
"141",10,"Los Angeles Rams",LAR,"DST3","119","166","141.8","10.1","-19"
"142",10,"Colin Kaepernick",FA,"QB17","84","197","144.5","22.6","-4"
"143",10,"Charles Sims",FA,"RB49","88","179","131.7","23.1","-10"
"144",10,"Houston Texans",HOU,"DST4","113","183","142.0","11.5","-24"
"145",10,"Carson Palmer",FA,"QB18","100","193","147.1","18.0","-5"
"146",10,"Marvin Jones Jr.",FA,"WR54","95","200","143.7","23.4","+13"
"147",10,"Coby Fleener",FA,"TE22","109","198","147.8","18.0","+32"
"148",10,"Knile Davis",FA,"RB50","86","221","151.9","22.0","-20"
"149",10,"Eric Ebron",FA,"TE23","105","189","146.1","18.4","+42"
"150",10,"Josh Hill",FA,"TE24","102","203","142.7","20.2","+11"
"151",10,"Kenny Stills",FA,"WR55","81","225","145.0","27.6","-9"
"152",10,"Brandon LaFell",FA,"WR56","63","267","131.5","39.6","-23"
"153",10,"Joe Flacco",FA,"QB19","105","200","154.6","19.4","-18"
"154",10,"Breshad Perriman",FA,"WR57","95","239","146.1","29.3","-30"
"155",10,"Doug Baldwin",FA,"WR58","96","194","151.8","20.4","0"
"156",10,"Andre Williams",FA,"RB51","110","215","154.2","22.5","-8"
"157",10,"Jay Cutler",FA,"QB20","130","200","161.3","16.3","-5"
"158",10,"Ronnie Hillman",FA,"RB52","89","213","151.7","28.1","-1"
"159",10,"Brandon Coleman",FA,"WR59","71","232","151.0","28.0","+5"
"160",10,"Andy Dalton",CAR,"QB21","99","197","161.5","20.6","+26"
"161",10,"Ladarius Green",FA,"TE25","117","206","157.9","18.9","+49"
"162",10,"Richard Rodgers",FA,"TE26","108","200","153.8","22.2","+13"
"163",10,"Percy Harvin",FA,"WR60","91","197","154.5","27.2","-7"
"164",10,"Arizona Cardinals",ARI,"DST5","121","191","161.3","13.0","-11"
"165",10,"Denver Broncos",DEN,"DST6","121","199","164.6","16.6","-2"
