Player,ADP
Mark Ingram,24.3
Jamaal Charles,21.8
Cameron Artis-Payne,238.7
Ronnie Hillman,231.7
Karlos Williams,229
Kenjon Barner,227.7
Keith Marshall,225
Tim Hightower,224.3
Robert Kelley,218.7
Devonta Freeman,17.5
Paul Perkins,218.7
Darren McFadden,218.3
Tyler Gaffney,217.3
Shaun Draughn,215.7
Wendell Smallwood,209
C.J. Spiller,208
Josh Ferguson,206.3
Jordan Howard,197
Charcandrick West,185.7
Javorius Allen,172.7
Le'Veon Bell,12.5
C.J. Prosise,164.7
Chris Thompson,161.7
Kenneth Dixon,185.5
Chris Johnson,176
Terrance West,168.5
James Starks,160.3
Alfred Morris,153
DeAndre Washington,152.3
Christine Michael,148.8
Jerick McKinnon,147.8
Lamar Miller,11.8
Devontae Booker,147.5
Shane Vereen,145.3
Spencer Ware,143
Dion Lewis,134.5
James White,129.8
Darren Sproles,125.5
Justin Forsett,122
Jay Ajayi,118
Tevin Coleman,118
Isaiah Crowell,111.3
Adrian Peterson,10.8
Bilal Powell,110.3
LeGarrette Blount,108.3
Theo Riddick,100
Chris Ivory,93.5
T.J. Yeldon,93.3
Derrick Henry,92.5
Charles Sims,91
Rashad Jennings,87.3
Ameer Abdullah,84.8
DeAngelo Williams,84.5
Ezekiel Elliott,9.8
Frank Gore,78.5
Matt Jones,76.3
Jonathan Stewart,70
Arian Foster,66.5
Ryan Mathews,64.8
Duke Johnson,64.8
Melvin Gordon,64.5
Giovani Bernard,62
Jeremy Hill,59.8
Danny Woodhead,55.8
David Johnson,6
Jeremy Langford,49.5
DeMarco Murray,45
Carlos Hyde,43.3
Thomas Rawls,42.5
Latavius Murray,41
Matt Forte,40.5
C.J. Anderson,35.3
Doug Martin,29.5
LeSean McCoy,26.3
Eddie Lacy,25.8
Todd Gurley,4.8
