id,player,team,opponent,position,salary,ownership
96051-72731,Josh Jacobs,LV,MIA,RB,7300,26.5
96051-103064,Breece Hall,NYJ,BUF,RB,7100,24.8
96051-91626,James Cook,BUF,NYJ,RB,6200,19.6
96051-40687,James Conner,ARI,HOU,RB,6800,19.3
96051-12547,Pittsburgh Steelers,PIT,CLE,D,4000,18.8
96051-90573,Jaylen Waddle,MIA,LV,WR,7100,15.8
96051-129291,Tank Dell,HOU,ARI,WR,7000,15.6
96051-12549,San Francisco 49ers,SF,TB,D,4000,14.9
96051-103564,Garrett Wilson,NYJ,BUF,WR,7000,14.6
96051-60858,Christian Kirk,JAC,TEN,WR,6900,14.3
96051-56250,Terry McLaurin,WAS,NYG,WR,6800,14.2
96051-53681,Tyreek Hill,MIA,LV,WR,9800,14.1
96051-87467,Chuba Hubbard,CAR,DAL,RB,6000,14.1
96051-145558,Dalton Kincaid,BUF,NYJ,TE,5800,13.8
96051-169776,Christian Watson,GB,LAC,WR,5700,13.3
96051-40442,Aaron Jones,GB,LAC,RB,7000,12.9
96051-73048,DK Metcalf,SEA,LAR,WR,7200,12.8
96051-86631,CeeDee Lamb,DAL,CAR,WR,9200,12.8
96051-105646,Sam LaPorta,DET,CHI,TE,6700,12.7
96051-64555,Calvin Ridley,JAC,TEN,WR,6500,12.6
96051-38435,Jared Goff,DET,CHI,QB,7900,12.5
96051-27050,Tyler Lockett,SEA,LAR,WR,6900,12.5
96051-91750,Trey McBride,ARI,HOU,TE,5900,12.0
96051-89956,Travis Etienne Jr.,JAC,TEN,RB,8300,11.8
96051-31716,Dak Prescott,DAL,CAR,QB,8500,11.6
96051-12539,Miami Dolphins,MIA,LV,D,4200,11.6
96051-63759,Tony Pollard,DAL,CAR,RB,6900,11.2
96051-63043,D.J. Moore,CHI,DET,WR,6800,11.0
96051-55050,Christian McCaffrey,SF,TB,RB,10000,10.8
96051-129368,Jahmyr Gibbs,DET,CHI,RB,8400,10.6
96051-93408,Rondale Moore,ARI,HOU,WR,4900,10.2
96051-86997,Amon-Ra St. Brown,DET,CHI,WR,8900,10.1
96051-85607,Brock Purdy,SF,TB,QB,7500,9.7
96051-103342,Kenneth Walker III,SEA,LAR,RB,7400,9.5
96051-70603,Devin Singletary,HOU,ARI,RB,6500,9.5
96051-80001,Austin Ekeler,LAC,GB,RB,8800,9.3
96051-29253,Keenan Allen,LAC,GB,WR,9300,8.8
96051-90572,Tua Tagovailoa,MIA,LV,QB,8400,8.7
96051-56018,Deebo Samuel,SF,TB,WR,7100,8.7
96051-39793,George Kittle,SF,TB,TE,7000,8.4
96051-79970,Cooper Kupp,LAR,SEA,WR,8200,8.4
96051-103020,Puka Nacua,LAR,SEA,WR,7500,8.2
96051-64843,Jalen Guyton,LAC,GB,WR,5600,8.2
96051-64401,Saquon Barkley,NYG,WAS,RB,7600,7.9
96051-91591,Justin Fields,CHI,DET,QB,7400,7.9
96051-137902,Rachaad White,TB,SF,RB,6600,7.8
96051-90562,Brian Robinson Jr.,WAS,NYG,RB,7200,7.8
96051-70157,Darrell Henderson Jr.,LAR,SEA,RB,6100,7.7
96051-32384,Mike Evans,TB,SF,WR,7700,7.6
96051-91419,Nico Collins,HOU,ARI,WR,7200,7.0
96051-90533,Jerome Ford,CLE,PIT,RB,6700,7.0
96051-63484,Kyler Murray,ARI,HOU,QB,7600,6.9
96051-69189,Justin Herbert,LAC,GB,QB,8800,6.7
96051-85798,Brandon Aiyuk,SF,TB,WR,7800,6.5
96051-55042,Dalton Schultz,HOU,ARI,TE,6800,6.5
96051-45889,Davante Adams,LV,MIA,WR,7600,6.4
96051-26483,Geno Smith,SEA,LAR,QB,6900,6.0
96051-12529,Cleveland Browns,CLE,PIT,D,4500,6.0
96051-86687,Marquise Brown,ARI,HOU,WR,6600,5.9
96051-86244,Pat Freiermuth,PIT,CLE,TE,5000,5.7
96051-62239,Josh Allen,BUF,NYJ,QB,9000,5.4
96051-86229,Jahan Dotson,WAS,NYG,WR,5800,5.3
96051-89680,Jake Ferguson,DAL,CAR,TE,6000,5.3
96051-12554,Jacksonville Jaguars,JAC,TEN,D,4300,5.2
96051-12552,Washington Commanders,WAS,NYG,D,4700,5.1
96051-90575,Najee Harris,PIT,CLE,RB,6700,5.0
96051-16606,DeAndre Hopkins,TEN,JAC,WR,6700,4.8
96051-12551,Tampa Bay Buccaneers,TB,SF,D,3900,4.4
96051-89951,Trevor Lawrence,JAC,TEN,QB,7000,4.4
96051-53097,Josh Reynolds,DET,CHI,WR,5700,4.3
96051-73273,David Montgomery,DET,CHI,RB,7700,4.2
96051-138820,Devon Achane,MIA,LV,RB,8000,4.2
96051-112057,Jaylen Warren,PIT,CLE,RB,6300,4.1
96051-41872,Evan Engram,JAC,TEN,TE,5700,4.0
96051-91047,Cole Kmet,CHI,DET,TE,5600,4.0
96051-25079,Stefon Diggs,BUF,NYJ,WR,8600,3.9
96051-12530,Dallas Cowboys,DAL,CAR,D,5200,3.9
96051-12534,Tennessee Titans,TEN,JAC,D,3600,3.7
96051-104576,Sam Howell,WAS,NYG,QB,7700,3.6
96051-12526,Buffalo Bills,BUF,NYJ,D,4800,3.5
96051-129471,C.J. Stroud,HOU,ARI,QB,8000,3.4
96051-39716,Adam Thielen,CAR,DAL,WR,7000,3.4
96051-69017,Jordan Love,GB,LAC,QB,7300,3.3
96051-66008,Diontae Johnson,PIT,CLE,WR,6600,3.2
96051-12546,Arizona Cardinals,ARI,HOU,D,3400,3.1
96051-12532,Detroit Lions,DET,CHI,D,4400,3.1
96051-6654,Matthew Stafford,LAR,SEA,QB,6700,2.9
96051-12556,Houston Texans,HOU,ARI,D,4100,2.9
96051-26355,Logan Thomas,WAS,NYG,TE,5300,2.8
96051-129458,Jaxon Smith-Njigba,SEA,LAR,WR,5500,2.8
96051-39280,Derrick Henry,TEN,JAC,RB,7500,2.8
96051-12527,Chicago Bears,CHI,DET,D,3200,2.7
96051-88297,Chig Okonkwo,TEN,JAC,TE,4800,2.6
96051-60451,Tyler Conklin,NYJ,BUF,TE,4800,2.5
96051-12544,New York Jets,NYJ,BUF,D,3700,2.5
