"Player","Team","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Passing Att","Passing Com","Passing X-Com","Passing Int","Passing X-Int","Passing Yds","Passing X-Yds","Passing TD","Passing X-TD","Scrambles Yds","Scrambles X-Yds","Scrambles TD","Scrambles X-TD","Designed Runs Yds","Designed Runs X-Yds","Designed Runs TD","Designed Runs X-TD"
"Jordan Love","GB","18.6","23.7","-5.099999999999998","18.6","23.7","-5.1","1","40","21","21.87","2","1.22","288","268.94","2","3.19","11","14.415","0","0","0","0","0","0"
"Lamar Jackson","BLT","15","16.1","-1.1000000000000014","15","16.1","-1.1","1","23","13","13.12","2","0.6","223","178.78","1","1.07","23","30.3738","0","0","18","17.493","0","0.08"
"Tommy DeVito","NYG","14.5","18.6","-4.100000000000001","14.5","18.6","-4.1","1","27","14","16.36","1","0.42","86","135.7","2","2.08","41","32.4012","0","0.2755","0","3.655","0","0"
"Baker Mayfield","TB","19.3","17.8","1.5","19.3","17.8","1.5","1","29","18","16.68","1","1.03","278","230.49","2","1.79","11","20.4507","0","0","1","3.871","0","0.01"
"C.J. Beathard","JAX","0.2","0.6","-0.39999999999999997","0.2","0.6","-0.4","1","2","1","1.56","0","0.03","5","15.37","0","0","0","0","0","0","0","0","0","0"
"Aidan O'Connell","LV","9.4","10.5","-1.0999999999999996","9.4","10.5","-1.1","1","27","16","15.74","1","0.49","153","176.05","1","0.61","0","6.5937","0","0","3","8.7122","0","0"
"Brock Purdy","SF","23.8","11.1","12.700000000000001","23.8","11.1","12.7","1","26","19","15.75","0","0.6","296","177.7","3","1.15","0","0","0","0","0","0","0","0"
"Zach Wilson","NYJ","14.9","17","-2.0999999999999996","14.9","17","-2.1","1","39","23","24.32","1","0.94","263","282.54","0","0.96","54","26.1888","0","0.038","0","0","0","0"
"Taylor Heinicke","ATL","9.6","8.5","1.0999999999999996","9.6","8.5","1.1","1","15","8","9.25","0","0.16","55","81.17","1","0.61","35","20.3577","0","0.171","-1","-1","0","0"
"Will Levis","TEN","7","18.1","-11.100000000000001","7","18.1","-11.1","1","39","19","24.38","1","1.12","199","312.28","0","1.68","0","0","0","0","0","0","0","0"
"Bailey Zappe","NE","0","2","-2","0","2","-2","1","7","3","4.51","1","0.25","25","56.9","0","0","0","0","0","0","0","0","0","0"
"Geno Smith","SEA","24.1","17.4","6.700000000000003","24.1","17.4","6.7","1","47","31","30.33","0","0.74","369","323.57","2","0.92","13","14.1639","0","0.0095","0","0","0","0"
"Kyler Murray","ARZ","18.3","18.4","-0.09999999999999787","18.3","18.4","-0.1","1","32","19","19","1","0.8","249","234.25","0","0.85","20","27.2769","0","0.1615","13","9.6134","1","0.29"
"Trevor Lawrence","JAX","6.1","13.8","-7.700000000000001","6.1","13.8","-7.7","1","29","17","18.28","2","0.65","186","194.47","0","1.3","7","14.7498","0","0","0","0","0","0"
"Gardner Minshew","IND","6.7","11.4","-4.7","6.7","11.4","-4.7","1","28","18","16.54","1","0.74","194","204.05","0","0.27","0","0","0","0","-1","0","0","0.49"
