Player,ADP
Arian Foster,1
Jamaal Charles,17.7
Marshawn Lynch,19.7
Trent Richardson,22.7
Steven Jackson,24.7
Fred Jackson,26
Doug Martin,29.3
Ryan Mathews,30.3
Darren Sproles,31
Michael Turner,32
Ahmad Bradshaw,33.3
Ray Rice,2.3
Frank Gore,37.3
Reggie Bush,41.7
Willis McGahee,49.3
Shonn Greene,56
BenJarvus Green-Ellis,58.7
Chris Beanie Wells,63.7
Donald Brown,66
Isaac Redman,68.3
Peyton Hillis,69
Stevan Ridley,71.3
LeSean McCoy,3
C.J. Spiller,76.3
Jonathan Stewart,76.3
Ben Tate,78.7
Mark Ingram II,79
DeAngelo Williams,84.3
David Wilson,85.3
Cedric Benson,86
Roy Helu,87
Kevin Smith,88.3
Ryan Williams,95
Chris Johnson,5.7
Michael Bush,97
Rashad Jennings,103
Toby Gerhart,109.3
Mikel Leshoure,122.7
Pierre Thomas,125
Jacquizz Rodgers,130.3
Ronnie Hillman,130.7
Daniel Thomas,131.7
Evan Royster,134.7
Rashard Mendenhall,137.3
Darren McFadden,7.3
LeGarrette Blount,139.7
James Starks,107
Ronnie Brown,146
Jahvid Best,129
Felix Jones,157.3
Shane Vereen,160
Isaiah Pead,160
Kendall Hunter,134.5
Alfred Morris,145.5
Robert Turbin,170.3
Matt Forte,11.7
Jonathan Dwyer,171.7
Mike Goodson,175.3
Tim Hightower,157.5
Taiwan Jones,185
Lamar Miller,188
Alex Green,201.5
Bernard Scott,211
LaMichael James,201
Mike Tolbert,203
Brandon Jacobs,228.5
DeMarco Murray,13
Montario Hardesty,223
Maurice Jones-Drew,16.7
Adrian Peterson,17.3
