id,player,team,opponent,position,salary,ownership
94505-52442,Joe Mixon,CIN,ARI,RB,7000,33.4
94505-136855,Bijan Robinson,ATL,HOU,RB,8200,28.6
94505-105646,Sam LaPorta,DET,CAR,TE,6000,22.9
94505-85671,Justin Jefferson,MIN,KC,WR,9200,22.0
94505-53681,Tyreek Hill,MIA,NYG,WR,9400,20.0
94505-138820,Devon Achane,MIA,NYG,RB,7500,18.6
94505-42104,Alvin Kamara,NO,NE,RB,7100,18.6
94505-85701,Ja'Marr Chase,CIN,ARI,WR,8700,17.0
94505-16606,DeAndre Hopkins,TEN,IND,WR,6100,16.1
94505-73273,David Montgomery,DET,CAR,RB,8500,15.8
94505-12534,Tennessee Titans,TEN,IND,D,3500,15.6
94505-90573,Jaylen Waddle,MIA,NYG,WR,6800,15.2
94505-72846,A.J. Brown,PHI,LAR,WR,8200,15.0
94505-33076,Travis Kelce,KC,MIN,TE,8789,14.6
94505-111540,Rhamondre Stevenson,NE,NO,RB,6100,13.5
94505-129291,Tank Dell,HOU,ATL,WR,6000,12.8
94505-90576,DeVonta Smith,PHI,LAR,WR,7500,12.6
94505-86687,Marquise Brown,ARI,CIN,WR,6400,12.4
94505-90572,Tua Tagovailoa,MIA,NYG,QB,8000,12.2
94505-53097,Josh Reynolds,DET,CAR,WR,6300,12.0
94505-12542,New Orleans Saints,NO,NE,D,4000,11.6
94505-103064,Breece Hall,NYJ,DEN,RB,6500,11.5
94505-91598,D'Andre Swift,PHI,LAR,RB,7700,11.1
94505-69213,Michael Pittman Jr.,IND,TEN,WR,6600,10.9
94505-104433,Kyren Williams,LAR,PHI,RB,7800,10.8
94505-129210,Jordan Addison,MIN,KC,WR,5900,10.7
94505-112295,Zay Flowers,BAL,PIT,WR,5900,10.5
94505-92575,Isiah Pacheco,KC,MIN,RB,6600,10.4
94505-72776,Alexander Mattison,MIN,KC,RB,6400,10.3
94505-6654,Matthew Stafford,LAR,PHI,QB,6800,9.8
94505-79970,Cooper Kupp,LAR,PHI,WR,8500,9.7
94505-69531,Jalen Hurts,PHI,LAR,QB,8600,9.6
94505-57439,Patrick Mahomes,KC,MIN,QB,9200,9.6
94505-28744,Raheem Mostert,MIA,NYG,RB,8000,9.5
94505-83074,Dallas Goedert,PHI,LAR,TE,5500,9.3
94505-110246,George Pickens,PIT,BAL,WR,6500,9.1
94505-103564,Garrett Wilson,NYJ,DEN,WR,7400,9.1
94505-91419,Nico Collins,HOU,ATL,WR,7000,9.0
94505-12535,Indianapolis Colts,IND,TEN,D,3800,8.8
94505-111311,Rashee Rice,KC,MIN,WR,5000,8.1
94505-12556,Houston Texans,HOU,ATL,D,3600,8.1
94505-12555,Baltimore Ravens,BAL,PIT,D,5000,7.7
94505-52451,Samaje Perine,DEN,NYJ,RB,5400,7.4
94505-147051,Jaleel McLaughlin,DEN,NYJ,RB,5700,7.4
94505-63336,Joe Burrow,CIN,ARI,QB,7000,7.0
94505-40687,James Conner,ARI,CIN,RB,6500,6.9
94505-12532,Detroit Lions,DET,CAR,D,4800,6.9
94505-103539,Wan'Dale Robinson,NYG,MIA,WR,5400,6.8
