Player,ADP
Travis Kelce,15
Dawson Knox,90
Pat Freiermuth,108.5
Cole Kmet,121.8
Mike Gesicki,129
Hunter Henry,130.3
Tyler Higbee,155.3
David Njoku,161.8
Noah Fant,164.3
Albert Okwuegbunam,169.3
Irv Smith,175.8
Mark Andrews,21.8
Robert Tonyan,177.8
Gerald Everett,189.3
Evan Engram,193.8
Hayden Hurst,206
Austin Hooper,209
Taysom Hill,216.5
Logan Thomas,208.3
Isaiah Likely,221
Kyle Rudolph,237.7
Kyle Pitts,32.8
C.J. Uzomah,215
Brevin Jordan,223
George Kittle,39.8
Darren Waller,44.8
Dalton Schultz,57.3
T.J. Hockenson,65.8
Dallas Goedert,70.5
Zach Ertz,88.8
