Player,ADP
LeSean McCoy,1
Doug Martin,21
Andre Ellington,24
Arian Foster,26
Le'Veon Bell,29
Shane Vereen,31
Zac Stacy,33
Reggie Bush,34
Alfred Morris,35
Cordarrelle Patterson,38
Rashad Jennings,39
Jamaal Charles,2
C.J. Spiller,43
Toby Gerhart,44
Joique Bell,46
Ray Rice,52
Ryan Mathews,53
Pierre Thomas,56
Ben Tate,57
Frank Gore,60
Chris Johnson,61
Bishop Sankey,67
Adrian Peterson,3
Danny Woodhead,73
Maurice Jones-Drew,74
Trent Richardson,78
Darren Sproles,79
Fred Jackson,83
Knowshon Moreno,86
Steven Jackson,89
Carlos Hyde,94
Jeremy Hill,95
Lamar Miller,96
Eddie Lacy,4
Bernard Pierce,100
Stevan Ridley,101
Devonta Freeman,104
Mark Ingram II,107
Andre Williams,114
Terrance West,115
DeAngelo Williams,119
Darren McFadden,121
Ahmad Bradshaw,125
Khiry Robinson,129
Matt Forte,7
Lance Dunbar,134
Shonn Greene,139
LeGarrette Blount,141
Jonathan Stewart,143
Chris Ivory,152
Knile Davis,155
Ronnie Hillman,158
Montee Ball,10
DeMarco Murray,14
Marshawn Lynch,16
Giovani Bernard,17
