Player,ADP
Clyde Edwards-Helaire,14
Joe Mixon,12.8
Jalen Richard,221.5
Rashaad Penny,218
Josh Jacobs,12
Darrynton Evans,204
Devine Ozigbo,250.7
Jamaal Williams,174
James Robinson,245.7
Devonta Freeman,214.3
LeSean McCoy,214
Carlos Hyde,209
Bryce Love,199.7
Joshua Kelley,193.7
Jerick McKinnon,220.3
Derrick Henry,7.3
Ke'Shawn Vaughn,162.3
Benny Snell,213
Darrel Williams,174.5
Chris Thompson,174.5
Damien Harris,170.8
AJ Dillon,169.5
Adrian Peterson,168.5
Justin Jackson,168.3
Ryquell Armstead,156.8
Nyheim Hines,149.5
Alvin Kamara,5.3
Chase Edmonds,139.8
Tony Pollard,136.5
Boston Scott,135
Duke Johnson,131.5
Darrell Henderson,128.8
Alexander Mattison,121.8
Tevin Coleman,113.5
Sony Michel,112.3
Latavius Murray,107.5
Zack Moss,103.5
Dalvin Cook,4.8
Antonio Gibson,101
Matt Breida,100.5
Kerryon Johnson,99.8
Marlon Mack,99.3
Jordan Howard,91.3
Phillip Lindsay,88.8
Ronald Jones,88.5
Tarik Cohen,86.5
J.K. Dobbins,85.8
James White,80.8
Ezekiel Elliott,3
D'Andre Swift,65.8
David Montgomery,63.8
Leonard Fournette,59.3
Kareem Hunt,58
Mark Ingram,55
Cam Akers,54.8
Raheem Mostert,54.8
Devin Singletary,53.8
Jonathan Taylor,42.8
Melvin Gordon,40.5
Saquon Barkley,2
Le'Veon Bell,37.8
David Johnson,35.3
James Conner,34.8
Todd Gurley,30.8
Chris Carson,30.3
Aaron Jones,18.3
Kenyan Drake,15
Nick Chubb,15
Austin Ekeler,14.3
Miles Sanders,14
Christian McCaffrey,1
