"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"Rhamondre Stevenson","NE","RB","15.5","14.7","0.8000000000000007","15.5","14.7","0.8","1","5","4.87","24","31.32","0","0.1824","46","38.7986","1","0.7"
"Christian McCaffrey","SF","RB","12.7","11.1","1.5999999999999996","12.7","11.1","1.6","1","3","2.66","9","12.2","1","0.4224","43","45.3544","0","0.25"
"T.J. Hockenson","MIN","TE","8","8.7","-0.6999999999999993","8","8.7","-0.7","1","6","5.55","50","58.91","0","0.0096","0","0","0","0"
"Alec Pierce","IND","WR","4","7.6","-3.5999999999999996","4","7.6","-3.6","1","3","3.52","25","52.49","0","0.1056","0","0","0","0"
"Devin Singletary","HST","RB","6.7","9.6","-2.8999999999999995","6.7","9.6","-2.9","1","1","1.54","4","11.19","0","0.2496","58","49.3626","0","0.21"
"Josh Jacobs","LV","RB","10.3","19.4","-9.099999999999998","10.3","19.4","-9.1","1","2","2.5","16","23.7","0","0","77","103.4978","0","0.9"
"Trey McBride","ARZ","TE","8.2","5.3","2.8999999999999995","8.2","5.3","2.9","1","4","3.14","62","32.16","0","0.0864","0","0","0","0"
"Nico Collins","HST","WR","10","8.8","1.1999999999999993","10","8.8","1.2","1","4","4.09","80","62.03","0","0.096","0","0","0","0"
"Zamir White","LV","RB","1.9","2.7","-0.8000000000000003","1.9","2.7","-0.8","1","2","1.33","7","10.71","0","0","2","9.1434","0","0"
"Damien Harris","BUF","RB","0.1","0.4","-0.30000000000000004","0.1","0.4","-0.3","1","0","0","0","0","0","0","1","4.067","0","0"
"Chigoziem Okonkwo","TEN","TE","2.8","5.3","-2.5","2.8","5.3","-2.5","1","2","2.27","18","38.48","0","0.048","0","0","0","0"
"Samaje Perine","DEN","RB","2.6","2","0.6000000000000001","2.6","2","0.6","1","2","1.8","16","11.35","0","0","0","0","0","0"
"Andrew Ogletree","IND","TE","0","1.2","-1.2","0","1.2","-1.2","1","0","0.49","0","9.51","0","0","0","0","0","0"
