id,player,team,opponent,position,salary,ownership
94274-12526,Buffalo Bills,BUF,MIA,D,4000,2.9
94274-129210,Jordan Addison,MIN,CAR,WR,6400,2.8
94274-90573,Jaylen Waddle,MIA,BUF,WR,7400,2.8
94274-31716,Dak Prescott,DAL,NE,QB,7000,2.7
94274-69956,Michael Gallup,DAL,NE,WR,5500,2.6
94274-145558,Dalton Kincaid,BUF,MIA,TE,4800,2.6
94274-12528,Cincinnati Bengals,CIN,TEN,D,4100,2.6
94274-45565,Taysom Hill,NO,TB,TE,5500,2.6
94274-29685,Robert Woods,HOU,PIT,WR,5300,2.6
94274-40845,Hunter Henry,NE,DAL,TE,6000,2.6
94274-71143,Kylen Granson,IND,LAR,TE,4700,2.6
94274-12552,Washington Commanders,WAS,PHI,D,3500,2.4
94274-90576,DeVonta Smith,PHI,WAS,WR,7800,2.4
94274-57299,Gerald Everett,LAC,LV,TE,5000,2.3
94274-12542,New Orleans Saints,NO,TB,D,4500,2.3
94274-64808,Juwan Johnson,NO,TB,TE,4700,2.3
94274-86229,Jahan Dotson,WAS,PHI,WR,5500,2.2
94274-89680,Jake Ferguson,DAL,NE,TE,5100,2.2
94274-55042,Dalton Schultz,HOU,PIT,TE,4600,2.2
94274-52917,DJ Chark Jr.,CAR,MIN,WR,6000,2.2
94274-12547,Pittsburgh Steelers,PIT,HOU,D,4600,2.1
94274-86811,Cade Otton,TB,NO,TE,4800,2.0
94274-69777,Darnell Mooney,CHI,DEN,WR,5500,2.0
94274-12534,Tennessee Titans,TEN,CIN,D,4000,1.9
94274-40669,Tyler Boyd,CIN,TEN,WR,5600,1.9
94274-55635,Chris Godwin,TB,NO,WR,6500,1.9
94274-130270,Adam Trautman,DEN,CHI,TE,4300,1.9
94274-26355,Logan Thomas,WAS,PHI,TE,5000,1.9
94274-85672,Terrace Marshall Jr.,CAR,MIN,WR,5100,1.8
94274-55335,David Njoku,CLE,BAL,TE,5300,1.8
94274-56265,Mike Gesicki,NE,DAL,TE,4500,1.8
94274-83117,Tanner Hudson,CIN,TEN,TE,4000,1.8
94274-42046,Durham Smythe,MIA,BUF,TE,4600,1.7
94274-31001,Amari Cooper,CLE,BAL,WR,7000,1.7
94274-104278,Donald Parham,LAC,LV,TE,4900,1.6
94274-52613,Curtis Samuel,WAS,PHI,WR,5600,1.6
94274-12548,Los Angeles Chargers,LAC,LV,D,3900,1.6
94274-129471,C.J. Stroud,HOU,PIT,QB,6700,1.5
94274-64031,Hayden Hurst,CAR,MIN,TE,5400,1.5
94274-38791,Ezekiel Elliott,NE,DAL,RB,5600,1.5
94274-71521,Justice Hill,BAL,CLE,RB,5500,1.5
94274-90912,Kenneth Gainwell,PHI,WAS,RB,6000,1.5
94274-120093,Marvin Mims,DEN,CHI,WR,5400,1.5
94274-86875,Jordan Mason,SF,ARI,RB,4400,1.4
94274-45859,Derek Carr,NO,TB,QB,6500,1.3
94274-12541,New England Patriots,NE,DAL,D,3700,1.3
94274-114100,Isaiah Spiller,LAC,LV,RB,4800,1.1
94274-103187,Roschon Johnson,CHI,DEN,RB,5300,1.1
94274-107293,Tyjae Spears,TEN,CIN,RB,4800,1.1
94274-12537,Las Vegas Raiders,LV,LAC,D,3000,1.1
94274-87467,Chuba Hubbard,CAR,MIN,RB,5300,1.1
94274-88575,Elijah Moore,CLE,BAL,WR,5900,1.0
94274-70603,Devin Singletary,HOU,PIT,RB,5300,1.0
94274-90933,Antonio Gibson,WAS,PHI,RB,4900,1.0
94274-64581,Van Jefferson,LAR,IND,WR,5400,1.0
94274-91750,Trey McBride,ARI,SF,TE,4400,1.0
94274-33260,DeVante Parker,NE,DAL,WR,5300,1.0
94274-86312,Alec Pierce,IND,LAR,WR,5300,1.0
94274-12539,Miami Dolphins,MIA,BUF,D,3800,1.0
94274-40126,Austin Hooper,LV,LAC,TE,4800,1.0
