"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"351",14,"Michael Badgley",DET,"K29","9","3 out of 5 stars","-82"
"352",14,"Trey Lance",DAL,"QB36","7","5 out of 5 stars","-84"
"353",14,"Trent Sherfield",BUF,"WR122","13","2 out of 5 stars","+103"
"354",14,"Cade York",NYG,"K30","13","5 out of 5 stars","-56"
"355",14,"Jonnu Smith",ATL,"TE42","11","3 out of 5 stars","+70"
"356",14,"Kalif Raymond",DET,"WR123","9","3 out of 5 stars","-"
"357",14,"Will Levis",TEN,"QB37","7","2 out of 5 stars","-"
"358",14,"Robbie Gould",FA,"K31","-","-","-49"
"359",14,"Demario Douglas",NE,"WR124","11","5 out of 5 stars","-"
"360",14,"Sam Darnold",SF,"QB38","9","3 out of 5 stars","-"
"361",14,"Ke'Shawn Vaughn",TB,"RB99","5","3 out of 5 stars","-"
"362",14,"Ryan Succop",FA,"K32","-","-","+44"
"363",14,"Melvin Gordon III",BAL,"RB100","13","3 out of 5 stars","-"
"364",14,"Robert Tonyan",CHI,"TE43","13","3 out of 5 stars","-38"
"365",14,"Jalen Tolbert",DAL,"WR125","7","4 out of 5 stars","+59"
"366",14,"Justice Hill",BAL,"RB101","13","3 out of 5 stars","-"
"367",14,"Cole Turner",WAS,"TE44","14","4 out of 5 stars","+149"
"368",14,"Clayton Tune",ARI,"QB39","14","2 out of 5 stars","-"
"369",14,"A.T. Perry",NO,"WR126","11","3 out of 5 stars","+152"
"370",14,"KJ Hamler",IND,"WR127","11","1 out of 5 stars","-"
"371",14,"Durham Smythe",MIA,"TE45","10","3 out of 5 stars","-4"
"372",14,"Foster Moreau",NO,"TE46","11","3 out of 5 stars","-"
"373",14,"Ameer Abdullah",LV,"RB102","13","2 out of 5 stars","-"
"374",14,"Cedrick Wilson Jr.",MIA,"WR128","10","2 out of 5 stars","+83"
"375",14,"Darnell Washington",PIT,"TE47","6","2 out of 5 stars","-92"
"376",14,"Olamide Zaccheaus",PHI,"WR129","10","4 out of 5 stars","+39"
"377",14,"Chad Ryland",NE,"K33","11","3 out of 5 stars","-80"
"378",14,"Raheem Blackshear",CAR,"RB103","7","3 out of 5 stars","-"
"379",14,"Atlanta Falcons",ATL,"DST28","11","4 out of 5 stars","-85"
"380",14,"Chris Rodriguez Jr.",WAS,"RB104","14","3 out of 5 stars","-"
"381",14,"Justin Watson",KC,"WR130","10","3 out of 5 stars","-28"
"382",14,"Will Dissly",SEA,"TE48","5","4 out of 5 stars","-21"
"383",14,"Albert Okwuegbunam",PHI,"TE49","10","4 out of 5 stars","-21"
"384",14,"Xavier Hutchinson",HOU,"WR131","7","3 out of 5 stars","+173"
"385",14,"Donald Parham Jr.",LAC,"TE50","5","3 out of 5 stars","+155"
"386",14,"Tyler Scott",CHI,"WR132","13","4 out of 5 stars","+133"
"387",14,"Chris Moore",TEN,"WR133","7","2 out of 5 stars","-"
"388",14,"Blake Grupe",NO,"K34","11","4 out of 5 stars","-93"
"389",14,"Arizona Cardinals",ARI,"DST29","14","2 out of 5 stars","-116"
"390",14,"Dyami Brown",WAS,"WR134","14","3 out of 5 stars","+87"
"391",14,"Jamal Agnew",JAC,"WR135","9","3 out of 5 stars","-"
"392",14,"Robbie Chosen",MIA,"WR136","10","2 out of 5 stars","-"
"393",14,"Anders Carlson",GB,"K35","6","2 out of 5 stars","-114"
"394",14,"Gardner Minshew II",IND,"QB40","11","1 out of 5 stars","-"
"395",14,"Mason Crosby",FA,"K36","-","-","-79"
"396",14,"Tucker Kraft",GB,"TE51","6","4 out of 5 stars","-45"
"397",14,"Kylen Granson",IND,"TE52","11","3 out of 5 stars","+136"
"398",14,"Jaleel McLaughlin",DEN,"RB105","9","2 out of 5 stars","-78"
"399",14,"C.J. Uzomah",NYJ,"TE53","7","4 out of 5 stars","-51"
"400",14,"Demarcus Robinson",LAR,"WR137","10","4 out of 5 stars","+148"
"401",14,"Rodrigo Blankenship",FA,"K37","-","-","-38"
"402",14,"Taylor Heinicke",ATL,"QB41","11","3 out of 5 stars","-"
"403",14,"Chase McLaughlin",TB,"K38","5","3 out of 5 stars","-139"
"404",14,"Houston Texans",HOU,"DST30","7","4 out of 5 stars","-96"
"405",14,"Mo Alie-Cox",IND,"TE54","11","3 out of 5 stars","+49"
"406",14,"Marquez Callaway",FA,"WR138","-","-","-"
"407",14,"Chicago Bears",CHI,"DST31","13","5 out of 5 stars","-149"
"408",14,"Jamison Crowder",WAS,"WR139","14","3 out of 5 stars","-"
"409",14,"Kenny McIntosh",SEA,"RB106","5","2 out of 5 stars","+128"
"410",14,"Mike White",MIA,"QB42","10","2 out of 5 stars","+168"
"411",14,"Kenyan Drake",CLE,"RB107","5","2 out of 5 stars","-"
"412",14,"Deneric Prince",KC,"RB108","10","4 out of 5 stars","-46"
"413",15,"Zach Pascal",ARI,"WR140","14","2 out of 5 stars","-"
"414",15,"Tristan Vizcaino",FA,"K39","-","-","-79"
"415",15,"J.D. McKissic",FA,"RB109","-","-","-"
"416",15,"Kene Nwangwu",MIN,"RB110","13","3 out of 5 stars","-"
"417",15,"Deven Thompkins",TB,"WR141","5","4 out of 5 stars","-"
"418",15,"Charlie Jones",CIN,"WR142","7","3 out of 5 stars","-13"
"419",15,"Harrison Bryant",CLE,"TE55","5","2 out of 5 stars","+31"
"420",15,"Brevin Jordan",HOU,"TE56","7","2 out of 5 stars","-"
"421",15,"Jarvis Landry",FA,"WR143","-","-","-"
"422",15,"Trenton Irwin",CIN,"WR144","7","3 out of 5 stars","-38"
"423",15,"Julio Jones",PHI,"WR145","10","4 out of 5 stars","-55"
"424",15,"KhaDarel Hodge",ATL,"WR146","11","4 out of 5 stars","-"
"425",15,"Kyle Juszczyk",SF,"RB111","9","2 out of 5 stars","-144"
"426",15,"Craig Reynolds",DET,"RB112","9","3 out of 5 stars","-"
"427",15,"Samori Toure",GB,"WR147","6","3 out of 5 stars","+96"
"428",15,"Aidan O'Connell",LV,"QB43","13","4 out of 5 stars","+43"
"429",15,"Ty Montgomery II",NE,"RB113","11","4 out of 5 stars","-"
"430",15,"DeAndre Carter",LV,"WR148","13","3 out of 5 stars","+73"
"431",15,"Jameis Winston",NO,"QB44","11","4 out of 5 stars","-3"
"432",15,"Parker Washington",JAC,"WR149","9","3 out of 5 stars","-"
"433",15,"Jalen Nailor",MIN,"WR150","13","3 out of 5 stars","+154"
"434",15,"Dontayvion Wicks",GB,"WR151","6","3 out of 5 stars","+25"
"435",15,"Dontrell Hilliard",FA,"RB114","-","-","-"
"436",15,"Ty Johnson",BUF,"RB115","13","3 out of 5 stars","-"
"437",15,"Darrell Henderson Jr.",LAR,"RB116","10","3 out of 5 stars","-"
"438",15,"Tyler Huntley",BAL,"QB45","13","3 out of 5 stars","-"
"439",15,"Brandon Johnson",DEN,"WR152","9","3 out of 5 stars","+51"
"440",15,"Kevin Harris",NE,"RB117","11","4 out of 5 stars","-"
"441",15,"Marquise Goodwin",CLE,"WR153","5","3 out of 5 stars","-31"
"442",15,"Julius Chestnut",TEN,"RB118","7","4 out of 5 stars","-"
"443",15,"Colt McCoy",FA,"QB46","-","-","+115"
"444",15,"Jordan Akins",CLE,"TE57","5","2 out of 5 stars","+62"
"445",15,"Las Vegas Raiders",LV,"DST32","13","3 out of 5 stars","-184"
"446",15,"Andrei Iosivas",CIN,"WR154","7","3 out of 5 stars","-19"
"447",15,"Darrel Williams",FA,"RB119","-","-","-"
"448",15,"Scott Miller",ATL,"WR155","11","4 out of 5 stars","+44"
"449",15,"Velus Jones Jr.",CHI,"WR156","13","4 out of 5 stars","+95"
"450",15,"Tre'Quan Smith",DEN,"WR157","9","3 out of 5 stars","+133"
"451",15,"Tanner Brown",FA,"K40","-","-","-145"
"452",15,"Ronnie Rivers",LAR,"RB120","10","3 out of 5 stars","-"
"453",15,"Rex Burkhead",FA,"RB121","-","-","+58"
"454",15,"Colby Parkinson",SEA,"TE58","5","4 out of 5 stars","+12"
"455",15,"Brock Wright",DET,"TE59","9","3 out of 5 stars","-33"
"456",15,"Andy Dalton",CAR,"QB47","7","3 out of 5 stars","-7"
"457",15,"Bailey Zappe",NE,"QB48","11","4 out of 5 stars","+42"
"458",15,"Emari Demercado",ARI,"RB122","14","1 out of 5 stars","-"
"459",15,"Malik Willis",TEN,"QB49","7","2 out of 5 stars","+90"
"460",15,"Kenny Golladay",FA,"WR158","-","-","-"
"461",15,"Josh Oliver",MIN,"TE60","13","3 out of 5 stars","-84"
"462",15,"Jason Brownlee",NYJ,"WR159","7","4 out of 5 stars","-46"
"463",15,"Keaton Mitchell",BAL,"RB123","13","3 out of 5 stars","-"
"464",15,"Jeremy Ruckert",NYJ,"TE61","7","4 out of 5 stars","+11"
"465",15,"Randy Bullock",NYG,"K41","13","5 out of 5 stars","-19"
"466",15,"Mike Boone",HOU,"RB124","7","4 out of 5 stars","-"
"467",15,"Peyton Hendershot",DAL,"TE62","7","4 out of 5 stars","-77"
"468",15,"Chris Brooks",MIA,"RB125","10","3 out of 5 stars","+6"
"469",15,"Brandon Bolden",LV,"RB126","13","2 out of 5 stars","-"
"470",15,"Rakim Jarrett",TB,"WR160","5","4 out of 5 stars","-"
"471",15,"Tommy Tremble",CAR,"TE63","7","3 out of 5 stars","+100"
"472",15,"Jarrett Stidham",DEN,"QB50","9","4 out of 5 stars","-46"
"473",15,"Jimmy Graham",NO,"TE64","11","3 out of 5 stars","-186"
"474",15,"Justin Shorter",BUF,"WR161","13","2 out of 5 stars","+86"
"475",15,"Equanimeous St. Brown",CHI,"WR162","13","4 out of 5 stars","-102"
"476",15,"Brenton Strange",JAC,"TE65","9","2 out of 5 stars","-24"
"477",15,"Tre Tucker",LV,"WR163","13","3 out of 5 stars","+37"
"478",15,"Erik Ezukanma",MIA,"WR164","10","2 out of 5 stars","+1"
"479",15,"Zach Wilson",NYJ,"QB51","7","4 out of 5 stars","-125"
"480",15,"Davis Mills",HOU,"QB52","7","2 out of 5 stars","-"
"481",15,"Dare Ogunbowale",HOU,"RB127","7","4 out of 5 stars","-"
"482",15,"Elijah Dotson",LAC,"RB128","5","5 out of 5 stars","-35"
"483",15,"Tyler Davis",FA,"K42","-","-","-"
"484",15,"Alec Ingold",MIA,"RB129","10","3 out of 5 stars","-21"
"485",15,"Jalen Guyton",LAC,"WR165","5","3 out of 5 stars","+99"
"486",15,"Anthony McFarland Jr.",PIT,"RB130","6","4 out of 5 stars","-"
"487",15,"Dee Eskridge",SEA,"WR166","5","3 out of 5 stars","+67"
"488",15,"Denzel Mims",PIT,"WR167","6","1 out of 5 stars","-"
"489",15,"Teagan Quitoriano",HOU,"TE66","7","2 out of 5 stars","-"
"490",16,"Mark Ingram II",FA,"RB131","-","-","+39"
"491",16,"Danny Gray",SF,"WR168","9","3 out of 5 stars","-"
"492",16,"Brandon Powell",MIN,"WR169","13","3 out of 5 stars","+53"
"493",16,"Emanuel Wilson",GB,"RB132","6","2 out of 5 stars","-"
"494",16,"Nick Bawden",NYJ,"RB133","7","5 out of 5 stars","-"
"495",16,"Trey Sermon",IND,"RB134","11","4 out of 5 stars","-"
"496",16,"Patrick Ricard",BAL,"RB135","13","3 out of 5 stars","-65"
"497",16,"River Cracraft",MIA,"WR170","10","2 out of 5 stars","-24"
"498",16,"Shi Smith",TEN,"WR171","7","2 out of 5 stars","-"
"499",16,"Travis Homer",CHI,"RB136","13","3 out of 5 stars","+9"
"500",16,"Derius Davis",LAC,"WR172","5","3 out of 5 stars","+26"
"501",16,"Marcus Mariota",PHI,"QB53","10","3 out of 5 stars","-145"
"502",16,"Carson Wentz",LAR,"QB54","10","3 out of 5 stars","+50"
"503",16,"Corey Clement",ARI,"RB137","14","1 out of 5 stars","-"
"504",16,"Ray-Ray McCloud III",SF,"WR173","9","3 out of 5 stars","-51"
"505",16,"David Moore",TB,"WR174","5","4 out of 5 stars","-"
"506",16,"Dorian Thompson-Robinson",CLE,"QB55","5","2 out of 5 stars","-62"
"507",16,"Elijah Higgins",ARI,"TE67","14","4 out of 5 stars","-62"
"508",16,"Brian Hoyer",LV,"QB56","13","4 out of 5 stars","-"
"509",16,"Snoop Conner",JAC,"RB138","9","3 out of 5 stars","+30"
"510",16,"Stetson Bennett",LAR,"QB57","10","3 out of 5 stars","-179"
"511",16,"Mitch Trubisky",PIT,"QB58","6","2 out of 5 stars","-141"
"512",16,"Ko Kieft",TB,"TE68","5","3 out of 5 stars","-"
"513",16,"Tyler Kroft",MIA,"TE69","10","3 out of 5 stars","+15"
"514",16,"Ronnie Bell",SF,"WR175","9","3 out of 5 stars","-157"
"515",16,"Keith Kirkwood",NO,"WR176","11","3 out of 5 stars","-"
"516",16,"Charlie Kolar",BAL,"TE70","13","3 out of 5 stars","+57"
"517",16,"Ihmir Smith-Marsette",CAR,"WR177","7","3 out of 5 stars","-"
"518",16,"Byron Pringle",WAS,"WR178","14","3 out of 5 stars","-9"
"519",16,"Antoine Green",DET,"WR179","9","3 out of 5 stars","-23"
"520",16,"C.J. Ham",MIN,"RB139","13","3 out of 5 stars","-116"
"521",16,"Brycen Hopkins",LAR,"TE71","10","2 out of 5 stars","-56"
"522",16,"Jake Bobo",SEA,"WR180","5","3 out of 5 stars","-208"
"523",16,"Malik Heath",GB,"WR181","6","3 out of 5 stars","-34"
"524",16,"Hendon Hooker",DET,"QB59","9","3 out of 5 stars","-104"
"525",16,"Ian Thomas",CAR,"TE72","7","3 out of 5 stars","+21"
"526",16,"Steven Sims Jr.",HOU,"WR182","7","3 out of 5 stars","-"
"527",16,"James Mitchell",DET,"TE73","9","3 out of 5 stars","+3"
"528",16,"Gary Brightwell",NYG,"RB140","13","4 out of 5 stars","-"
"529",16,"Payne Durham",TB,"TE74","5","3 out of 5 stars","-"
"530",16,"Demetric Felton Jr.",CIN,"RB141","7","2 out of 5 stars","-"
"531",16,"John Bates",WAS,"TE75","14","4 out of 5 stars","-64"
"532",16,"Lawrence Cager",NYG,"WR183","13","4 out of 5 stars","-"
"533",16,"Tanner Conner",MIA,"TE76","10","3 out of 5 stars","-"
"534",16,"Josiah Deguara",GB,"TE77","6","4 out of 5 stars","-52"
"535",16,"Hunter Long",LAR,"TE78","10","2 out of 5 stars","-"
"536",16,"Jakob Johnson",LV,"RB142","13","2 out of 5 stars","-29"
"537",16,"N'Keal Harry",MIN,"WR184","13","3 out of 5 stars","-"
"538",16,"Jalen Brooks",DAL,"WR185","7","4 out of 5 stars","-54"
"539",16,"Andrew Ogletree",IND,"TE79","11","3 out of 5 stars","-"
"540",16,"Josh Whyle",TEN,"TE80","7","2 out of 5 stars","-"
"541",16,"Zack Kuntz",NYJ,"TE81","7","4 out of 5 stars","-204"
"542",16,"Trevon Wesco",TEN,"TE82","7","2 out of 5 stars","+32"
"543",16,"Tim Jones",JAC,"WR186","9","3 out of 5 stars","-"
