"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"80",7,"Brandin Cooks",DAL,"WR40","7","4 out of 5 stars","+12"
"81",7,"Kyle Pitts",ATL,"TE7","11","3 out of 5 stars","-22"
"82",7,"Jaxon Smith-Njigba",SEA,"WR41","5","3 out of 5 stars","+12"
"83",7,"David Montgomery",DET,"RB27","9","3 out of 5 stars","+1"
"84",7,"Jonathan Taylor",IND,"RB28","11","4 out of 5 stars","-37"
"85",7,"D'Andre Swift",PHI,"RB29","10","3 out of 5 stars","-11"
"86",7,"Zay Flowers",BAL,"WR42","13","3 out of 5 stars","+24"
"87",7,"Treylon Burks",TEN,"WR43","7","2 out of 5 stars","+21"
"88",7,"Isiah Pacheco",KC,"RB30","10","4 out of 5 stars","-16"
"89",7,"JuJu Smith-Schuster",NE,"WR44","11","5 out of 5 stars","+16"
"90",7,"Dalvin Cook",NYJ,"RB31","7","5 out of 5 stars","-29"
"91",7,"Elijah Moore",CLE,"WR45","5","3 out of 5 stars","+55"
"92",7,"Michael Thomas",NO,"WR46","11","3 out of 5 stars","+8"
"93",7,"Antonio Gibson",WAS,"RB32","14","3 out of 5 stars","+14"
"94",7,"Skyy Moore",KC,"WR47","10","3 out of 5 stars","+29"
"95",8,"Deshaun Watson",CLE,"QB9","5","2 out of 5 stars","-18"
"96",8,"Khalil Herbert",CHI,"RB33","13","3 out of 5 stars","-1"
"97",8,"Daniel Jones",NYG,"QB10","13","3 out of 5 stars","+20"
"98",8,"Dak Prescott",DAL,"QB11","7","5 out of 5 stars","-13"
"99",8,"Evan Engram",JAC,"TE8","9","2 out of 5 stars","-20"
"100",8,"Pat Freiermuth",PIT,"TE9","6","2 out of 5 stars","-7"
"101",8,"Jakobi Meyers",LV,"WR48","13","3 out of 5 stars","+44"
"102",8,"AJ Dillon",GB,"RB34","6","2 out of 5 stars","-11"
"103",8,"Tua Tagovailoa",MIA,"QB12","10","2 out of 5 stars","-14"
"104",8,"Rashod Bateman",BAL,"WR49","13","3 out of 5 stars","+43"
"105",8,"Brian Robinson Jr.",WAS,"RB35","14","3 out of 5 stars","-1"
"106",8,"Kirk Cousins",MIN,"QB13","13","5 out of 5 stars","0"
"107",8,"Geno Smith",SEA,"QB14","5","3 out of 5 stars","+12"
"108",8,"Quentin Johnston",LAC,"WR50","5","3 out of 5 stars","+12"
"109",8,"Nico Collins",HOU,"WR51","7","3 out of 5 stars","+59"
"110",8,"Samaje Perine",DEN,"RB36","9","2 out of 5 stars","+4"
"111",8,"Anthony Richardson",IND,"QB15","11","1 out of 5 stars","+4"
"112",8,"Kadarius Toney",KC,"WR52","10","3 out of 5 stars","-1"
"113",8,"David Njoku",CLE,"TE10","5","2 out of 5 stars","-30"
"114",8,"Zach Charbonnet",SEA,"RB37","5","2 out of 5 stars","-2"
"115",8,"Romeo Doubs",GB,"WR53","6","3 out of 5 stars","+58"
"116",8,"Allen Lazard",NYJ,"WR54","7","4 out of 5 stars","+25"
"117",8,"Jerick McKinnon",KC,"RB38","10","4 out of 5 stars","+4"
"118",8,"Aaron Rodgers",NYJ,"QB16","7","4 out of 5 stars","-22"
