Player,ADP
Robert Tonyan,88.4
Noah Fant,84.2
Logan Thomas,81.2
T.J. Hockenson,58.2
Mark Andrews,50.6
Kyle Pitts,47
George Kittle,26.8
O.J. Howard,254.8
Adam Trautman,207.5
Blake Jarwin,219
Eric Ebron,217.2
Anthony Firkser,215.4
Pat Freiermuth,210.4
Cole Kmet,187.4
Gerald Everett,179.6
Darren Waller,22.4
Austin Hooper,174.2
Jared Cook,165.4
Zach Ertz,165.2
Evan Engram,159.8
Hunter Henry,153.2
Rob Gronkowski,125.6
Jonnu Smith,123
Tyler Higbee,112
Mike Gesicki,109.8
Dallas Goedert,99.2
Travis Kelce,8.4
