"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"198",12,"Jermaine Gresham",FA,"TE25","170","181","176.7","4.8","-"
"199",12,"Jerome Harrison",FA,"RB68","131","131","131.0","0.0","-"
"200",12,"Shane Vereen",FA,"RB69","136","136","136.0","0.0","-"
"201",12,"David Garrard",FA,"QB26","154","184","169.0","15.0","-"
"202",12,"Justin Forsett",FA,"RB70","139","200","169.5","30.5","-"
"203",12,"Bernard Scott",FA,"RB71","142","197","169.5","27.5","-"
"204",12,"Josh Morgan",FA,"WR73","148","193","170.5","22.5","-"
"205",12,"Devin Hester",FA,"WR74","141","141","141.0","0.0","-"
"206",12,"Brian Robiskie",FA,"WR75","158","184","171.0","13.0","-"
"207",12,"Carson Palmer",FA,"QB27","143","143","143.0","0.0","-"
"208",12,"Kevin Boss",FA,"TE26","143","143","143.0","0.0","-"
"209",13,"Josh Brown",FA,"K3","149","149","149.0","0.0","-"
"210",13,"Maurice Morris",FA,"RB72","159","191","175.0","16.0","-"
"211",13,"New York Giants",NYG,"DST7","161","194","177.5","16.5","-"
"212",13,"Rashad Jennings",FA,"RB73","155","155","155.0","0.0","-"
"213",13,"Los Angeles Chargers",LAC,"DST8","169","188","178.5","9.5","-"
"214",13,"Nate Washington",FA,"WR76","157","157","157.0","0.0","-"
"215",13,"Baltimore Ravens",BAL,"DST9","173","187","180.0","7.0","-"
"216",13,"Emmanuel Sanders",FA,"WR77","161","161","161.0","0.0","-"
"217",13,"Jason Hill",FA,"WR78","162","162","162.0","0.0","-"
"218",13,"Dallas Cowboys",DAL,"DST10","163","163","163.0","0.0","-"
"219",13,"Dexter McCluster",FA,"RB74","163","163","163.0","0.0","-"
"220",13,"Ben Obomanu",FA,"WR79","164","164","164.0","0.0","-"
"221",13,"Roscoe Parrish",FA,"WR80","164","164","164.0","0.0","-"
"222",13,"Denarius Moore",FA,"WR81","166","166","166.0","0.0","-"
"223",13,"Titus Young",FA,"WR82","175","192","183.5","8.5","-"
"224",13,"Tony Moeaki",FA,"TE27","167","167","167.0","0.0","-"
"225",13,"Matt Hasselbeck",FA,"QB28","171","171","171.0","0.0","-"
"226",13,"Sebastian Janikowski",FA,"K4","177","195","186.0","9.0","-"
"227",13,"Jerheme Urban",FA,"WR83","172","172","172.0","0.0","-"
"228",13,"Jon Baldwin",FA,"WR84","173","173","173.0","0.0","-"
"229",13,"Neil Rackers",FA,"K5","174","174","174.0","0.0","-"
"230",13,"Torrey Smith",FA,"WR85","174","174","174.0","0.0","-"
"231",13,"Mason Crosby",FA,"K6","176","176","176.0","0.0","-"
"232",13,"Leonard Hankerson",FA,"WR86","177","177","177.0","0.0","-"
"233",13,"Leon Washington",FA,"RB75","178","178","178.0","0.0","-"
"234",13,"Brian Hartline",FA,"WR87","179","179","179.0","0.0","-"
"235",13,"New Orleans Saints",NO,"DST11","180","180","180.0","0.0","-"
"236",13,"Stevan Ridley",FA,"RB76","182","182","182.0","0.0","-"
"237",13,"Marcus Easley",FA,"WR88","183","183","183.0","0.0","-"
"238",13,"Chad Henne",FA,"QB29","185","199","192.0","7.0","-"
"239",13,"Andre Caldwell",FA,"WR89","184","184","184.0","0.0","-"
"240",13,"Jabar Gaffney",FA,"WR90","185","185","185.0","0.0","-"
"241",13,"Toby Gerhart",FA,"RB77","185","185","185.0","0.0","-"
"242",13,"Tarvaris Jackson",FA,"QB30","186","186","186.0","0.0","-"
"243",13,"Charlie Whitehurst",FA,"QB31","187","187","187.0","0.0","-"
"244",13,"Jamie Harper",FA,"RB78","187","187","187.0","0.0","-"
"245",13,"Joe Webb III",FA,"QB32","188","188","188.0","0.0","-"
"246",13,"Jacob Tamme",FA,"TE28","189","189","189.0","0.0","-"
"247",13,"Joe McKnight",FA,"RB79","193","193","193.0","0.0","-"
"248",13,"Rob Housler",FA,"TE29","193","193","193.0","0.0","-"
"249",13,"Tandon Doss",FA,"WR91","196","196","196.0","0.0","-"
"250",13,"Visanthe Shiancoe",FA,"TE30","198","198","198.0","0.0","-"
"251",13,"Patrick Crayton",FA,"WR92","199","199","199.0","0.0","-"
"252",13,"Nate Kaeding",FA,"K7","200","200","200.0","0.0","-"
