Player,ADP
Cam Newton,86.7
Russell Wilson,84.7
Carson Wentz,81
Drew Brees,78.5
Matt Ryan,67.3
Baker Mayfield,59.7
Eli Manning,248
Aaron Rodgers,50.5
Andy Dalton,246.6
Joe Flacco,245.2
Jacoby Brissett,233.2
Marcus Mariota,220
Nick Foles,204.6
Sam Darnold,190.3
Matthew Stafford,188.2
Derek Carr,178
Josh Allen,171.5
Jimmy Garoppolo,165.3
Deshaun Watson,44.3
Mitch Trubisky,147.5
Kirk Cousins,146.2
Philip Rivers,126.5
Jameis Winston,126.5
Dak Prescott,125.8
Lamar Jackson,118.2
Tom Brady,116.3
Kyler Murray,114.7
Ben Roethlisberger,106.7
Jared Goff,88.3
Patrick Mahomes,18.8
