Player,ADP
Mike Evans,21.2
Phillip Dorsett,293.6
Marqise Lee,404
Antonio Brown,21
Taylor Gabriel,401.4
Andy Isabella,398.6
Paul Richardson,247
Zay Jones,386.4
Nelson Agholor,386.2
DeVante Parker,365.4
Parris Campbell,360.2
DaeSean Hamilton,230.6
Devin Funchess,339.2
Ted Ginn,216.2
Tyreek Hill,15.7
Randall Cobb,216
Albert Wilson,208.8
Kenny Stills,197.8
Tre'Quan Smith,328.8
Marquise Brown,191.6
Marquise Goodwin,250.2
Adam Humphries,187.2
N'Keal Harry,163.6
Demaryius Thomas,207
Cole Beasley,201.2
JuJu Smith-Schuster,14.8
Deebo Samuel,194.3
Mohamed Sanu,177.5
Mecole Hardman,170.3
John Brown,161.2
Jamison Crowder,157.5
Anthony Miller,148.7
Keke Coutee,148.5
Tyrell Williams,147.5
DK Metcalf,144.7
Golden Tate,138
Odell Beckham,12.8
Donte Moncrief,134.3
Michael Gallup,131.2
DeSean Jackson,130.7
James Washington,123.2
Geronimo Allison,119.8
Marquez Valdes-Scantling,115
Courtland Sutton,111.7
Dante Pettis,107.5
Larry Fitzgerald,100.2
Curtis Samuel,98.7
Michael Thomas,10.7
Emmanuel Sanders,97.8
Marvin Jones,96.3
Corey Davis,94.8
Christian Kirk,92
Sterling Shepard,87.7
William Fuller,86.8
Dede Westbrook,85.5
Sammy Watkins,84.5
Robbie Anderson,78.3
Josh Gordon,74.5
Julio Jones,10.5
Allen Robinson,72.5
Alshon Jeffery,67.7
Jarvis Landry,65.2
D.J. Moore,64.7
AJ Green,64.5
Mike Williams,61.7
Calvin Ridley,58
Tyler Boyd,55.7
Cooper Kupp,49
Tyler Lockett,46.2
Davante Adams,7.5
Chris Godwin,46
Kenny Golladay,44.5
Robert Woods,41.8
T.Y. Hilton,40.7
Brandin Cooks,38.8
Julian Edelman,35.2
Stefon Diggs,32.2
Amari Cooper,31.2
Keenan Allen,25.2
Adam Thielen,25
DeAndre Hopkins,5.3
