"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"Trent Sherfield","BUF","WR","2.8","3.7","-0.9000000000000004","2.8","3.7","-0.9","1","2","2.25","18","21.32","0","0.0768","0","0","0","0"
"Hunter Renfrow","LV","WR","2.2","5.7","-3.5","2.2","5.7","-3.5","1","2","3.07","12","34.12","0","0.1248","0","0","0","0"
"Rhamondre Stevenson","NE","RB","5","11","-6","5","11","-6","1","2","2.59","10","23.51","0","0","30","61.2402","0","0.21"
"Christian McCaffrey","SF","RB","45.2","31.9","13.300000000000004","45.2","31.9","13.3","1","7","6.39","71","45.31","1","0.912","106","69.2766","3","1.97"
"T.J. Hockenson","MIN","TE","3.4","3.4","0","3.4","3.4","0","1","2","2.36","24","21.67","0","0.0096","0","0","0","0"
"Alec Pierce","IND","WR","4.3","2.6","1.6999999999999997","4.3","2.6","1.7","1","1","0.9","38","19.66","0","0.0384","0","0","0","0"
"Devin Singletary","HST","RB","4.1","5.8","-1.7000000000000002","4.1","5.8","-1.7","1","1","0.95","11","5.83","0","0.0096","25","27.097","0","0.33"
"Byron Pringle","WAS","WR","2","3.1","-1.1","2","3.1","-1.1","1","1","0.89","15","26.8","0","0","0","0","0","0"
"Josh Jacobs","LV","RB","23.9","25.7","-1.8000000000000007","23.9","25.7","-1.8","1","8","8.36","81","62.08","0","0.528","58","67.4538","1","0.9"
"Trey McBride","ARZ","TE","1","1.8","-0.8","1","1.8","-0.8","1","1","0.81","5","6.58","0","0.1152","0","0","0","0"
"Nico Collins","HST","WR","32.3","14.1","18.199999999999996","32.3","14.1","18.2","1","7","5.91","168","82.46","2","0.4896","0","0","0","0"
"Zamir White","LV","RB","1.5","1.6","-0.10000000000000009","1.5","1.6","-0.1","1","0","0","0","0","0","0","15","13.72","0","0.03"
"Chris Manhertz","DEN","TE","1.5","1.3","0.19999999999999996","1.5","1.3","0.2","1","1","0.84","10","8.82","0","0","0","0","0","0"
"Damien Harris","BUF","RB","2.9","3.1","-0.20000000000000018","2.9","3.1","-0.2","1","0","0","0","0","0","0","29","24.0786","0","0.12"
"Ameer Abdullah","LV","RB","2.4","2.3","0.10000000000000009","2.4","2.3","0.1","1","2","1.66","14","14.62","0","0","0","0","0","0"
"Chigoziem Okonkwo","TEN","TE","4.4","3.5","0.9000000000000004","4.4","3.5","0.9","1","3","2.04","29","23.89","0","0.0096","0","0","0","0"
"Samaje Perine","DEN","RB","4.5","5.9","-1.4000000000000004","4.5","5.9","-1.4","1","2","1.7","23","11.26","0","0.0288","12","23.5004","0","0.24"
"Andrew Ogletree","IND","TE","12.3","7.2","5.1000000000000005","12.3","7.2","5.1","1","3","2.78","48","32.97","1","0.4128","0","0","0","0"
"Austin Hooper","LV","TE","1.6","2.3","-0.6999999999999997","1.6","2.3","-0.7","1","1","1.62","11","14.86","0","0","0","0","0","0"
"Antonio Gibson","WAS","RB","3.1","4.4","-1.3000000000000003","3.1","4.4","-1.3","1","1","0.75","7","7.67","0","0","19","26.8324","0","0.09"
"Randall Cobb","NYJ","WR","1.8","4.2","-2.4000000000000004","1.8","4.2","-2.4","1","2","2.84","8","25.75","0","0.0384","0","0","0","0"
"David Montgomery","DET","RB","33.1","28.9","4.200000000000003","33.1","28.9","4.2","1","2","1.87","20","9.99","0","0","121","120.3738","3","2.49"
"Zach Charbonnet","SEA","RB","4.5","3.8","0.7000000000000002","4.5","3.8","0.7","1","1","1.47","9","4.12","0","0.0288","31","22.6086","0","0.03"
"Durham Smythe","MIA","TE","6.1","6.1","0","6.1","6.1","0","1","4","3.25","41","31.75","0","0.2208","0","0","0","0"
"Gabe Davis","BUF","WR","13.6","7.3","6.3","13.6","7.3","6.3","1","3","1.81","61","32.8","1","0.5184","0","0","0","0"
"De'Von Achane","MIA","RB","25.5","12.6","12.9","25.5","12.6","12.9","1","3","3.1","19","13.05","0","0.5664","101","31.9284","2","0.53"
"Ian Thomas","CAR","TE","0","2.9","-2.9","0","2.9","-2.9","1","0","0.42","0","2.52","0","0.4032","0","0","0","0"
"Jordan Mason","SF","RB","2.8","3","-0.20000000000000018","2.8","3","-0.2","1","1","0.78","13","10.08","0","0.0096","10","14.0336","0","0.02"
"Jahmyr Gibbs","DET","RB","7.1","9.1","-2","7.1","9.1","-2","1","4","4.4","11","30.29","0","0","40","34.2216","0","0.07"
"Rakim Jarrett","TB","WR","0.8","1.1","-0.30000000000000004","0.8","1.1","-0.3","1","1","0.94","3","5.57","0","0.0096","0","0","0","0"
"Clyde Edwards-Helaire","KC","RB","1.8","2.3","-0.4999999999999998","1.8","2.3","-0.5","1","1","0.97","1","3.57","0","0","12","13.0634","0","0.02"
"Deebo Samuel","SF","WR","0.6","1.4","-0.7999999999999999","0.6","1.4","-0.8","1","0","0","0","0","0","0","6","13.1516","0","0.02"
"Jaylen Warren","PIT","RB","8.5","9.9","-1.4000000000000004","8.5","9.9","-1.4","1","6","5.53","26","33.93","0","0","29","34.2608","0","0.05"
"Adam Trautman","DEN","TE","0","1.5","-1.5","0","1.5","-1.5","1","0","0.67","0","5.07","0","0.1056","0","0","0","0"
"Joshua Palmer","LAC","WR","9.2","11.8","-2.6000000000000014","9.2","11.8","-2.6","1","3","4.66","77","88.29","0","0.1056","0","0","0","0"
"Tyler Scott","CHI","WR","1.9","1","0.8999999999999999","1.9","1","0.9","1","0","0","0","0","0","0","19","9.8686","0","0.01"
"Logan Thomas","WAS","TE","5.8","4.9","0.8999999999999995","5.8","4.9","0.9","1","3","2.18","41","25.63","0","0.1344","2","4.067","0","0"
"Noah Gray","KC","TE","9.9","4.7","5.2","9.9","4.7","5.2","1","1","1.55","34","35.38","1","0.0576","0","0","0","0"
"Ronnie Bell","SF","WR","1.2","1.1","0.09999999999999987","1.2","1.1","0.1","1","1","0.93","7","6.06","0","0.0096","0","0","0","0"
"Chris Olave","NO","WR","0.9","9.3","-8.4","0.9","9.3","-8.4","1","1","2.73","4","59.07","0","0.336","0","0","0","0"
"Tim Jones","JAX","WR","0.4","1.1","-0.7000000000000001","0.4","1.1","-0.7","1","1","0.93","-1","6.18","0","0.0096","0","0","0","0"
"Puka Nacua","LA","WR","26.8","15.9","10.9","26.8","15.9","10.9","1","9","6.45","163","106.27","1","0.3456","0","0","0","0"
"Kenneth Gainwell","PHI","RB","3.1","4.2","-1.1","3.1","4.2","-1.1","1","2","1.84","7","10.49","0","0.0384","14","17.983","0","0.03"
"Rico Dowdle","DAL","RB","2.2","2.9","-0.6999999999999997","2.2","2.9","-0.7","1","1","0.85","8","9.85","0","0.0096","9","10.9172","0","0.05"
"Isaiah Spiller","LAC","RB","3.7","5.8","-2.0999999999999996","3.7","5.8","-2.1","1","2","1.72","15","10.42","0","0.1152","12","19.1198","0","0.22"
"Isaiah Hodgins","NYG","WR","3.9","3.6","0.2999999999999998","3.9","3.6","0.3","1","3","2.21","24","21.41","0","0.0576","0","0","0","0"
"Devin Duvernay","BLT","WR","1.8","2.2","-0.40000000000000013","1.8","2.2","-0.4","1","2","1.66","8","13.42","0","0","0","0","0","0"
"Rashid Shaheed","NO","WR","4.8","8.6","-3.8","4.8","8.6","-3.8","1","3","4.53","33","59.2","0","0.0768","0","0","0","0"
"Marquise Goodwin","CLV","WR","0.5","1","-0.5","0.5","1","-0.5","1","1","0.9","0","5.67","0","0","0","0","0","0"
"Jakob Johnson","LV","RB","1.7","2.4","-0.7","1.7","2.4","-0.7","1","1","1.67","12","14.96","0","0.0096","0","0","0","0"
"Justin Jefferson","MIN","WR","23.5","15","8.5","23.5","15","8.5","1","6","5.25","85","65.35","2","0.9696","0","0","0","0"
"DeVante Parker","NE","WR","4.3","5.2","-0.9000000000000004","4.3","5.2","-0.9","1","2","2.92","33","37.89","0","0","0","0","0","0"
"Jerome Ford","CLV","RB","7","10","-3","7","10","-3","1","5","4.7","19","36.11","0","0","26","40.5818","0","0"
"John Bates","WAS","TE","1.1","1.3","-0.19999999999999996","1.1","1.3","-0.2","1","1","0.84","6","8.3","0","0","0","0","0","0"
"Amon-Ra St. Brown","DET","WR","14.1","8.6","5.5","14.1","8.6","5.5","1","5","4.17","56","53.55","1","0.2016","0","0","0","0"
"Rachaad White","TB","RB","9.3","14.5","-5.199999999999999","9.3","14.5","-5.2","1","3","2.64","22","14.63","0","0.1728","56","57.8102","0","0.82"
"Jaxon Smith-Njigba","SEA","WR","2","6","-4","2","6","-4","1","3","3.84","5","39.85","0","0.0096","0","0","0","0"
"Najee Harris","PIT","RB","10.8","9.8","1","10.8","9.8","1","1","1","1.09","32","16.88","0","0","71","61.6714","0","0.24"
"Isaiah McKenzie","IND","WR","1.1","3.4","-2.3","1.1","3.4","-2.3","1","1","2.32","6","22.41","0","0","0","0","0","0"
"Jalin Hyatt","NYG","WR","2","2.4","-0.3999999999999999","2","2.4","-0.4","1","2","1.58","10","15.63","0","0","0","0","0","0"
"Skyy Moore","KC","WR","1.9","2.6","-0.7000000000000002","1.9","2.6","-0.7","1","0","0.69","0","4.97","0","0.1056","19","8.4476","0","0.04"
"Cade Otton","TB","TE","8.8","6.6","2.200000000000001","8.8","6.6","2.2","1","3","2.98","13","22.97","1","0.4608","0","0","0","0"
"Chase Brown","CIN","RB","0.2","0.8","-0.6000000000000001","0.2","0.8","-0.6","1","1","0.88","-3","3.6","0","0","0","0","0","0"
"Jakobi Meyers","LV","WR","4.3","7.7","-3.4000000000000004","4.3","7.7","-3.4","1","2","2.48","33","30.19","0","0.576","0","0","0","0"
"Luke Schoonmaker","DAL","TE","0","4.6","-4.6","0","4.6","-4.6","1","0","1.21","0","16.47","0","0.384","0","0","0","0"
"Kyle Juszczyk","SF","RB","1.2","6.4","-5.2","1.2","6.4","-5.2","1","1","0.73","4","4.16","0","0.1728","3","3.8322","0","0.7"
"Tyler Conklin","NYJ","TE","7.8","9.6","-1.7999999999999998","7.8","9.6","-1.8","1","4","4.1","58","52.47","0","0.384","0","0","0","0"
"Khalil Herbert","CHI","RB","20.2","16.1","4.099999999999998","20.2","16.1","4.1","1","4","4.05","19","26.75","1","0.48","103","77.273","0","0.14"
"Michael Carter","NYJ","RB","3.1","3.9","-0.7999999999999998","3.1","3.9","-0.8","1","2","2.47","12","22.8","0","0","9","3.969","0","0"
"Calvin Ridley","JAX","WR","10.8","2.6","8.200000000000001","10.8","2.6","8.2","1","2","0.87","38","12.9","1","0.1536","0","0","0","0"
"Tyjae Spears","TEN","RB","7.3","6.7","0.5999999999999996","7.3","6.7","0.6","1","3","3.65","18","23.36","0","0","40","23.3436","0","0.03"
"Dameon Pierce","HST","RB","11.3","15.7","-4.399999999999999","11.3","15.7","-4.4","1","1","1.42","27","3.93","0","0.0096","81","106.7416","0","0.64"
"Tyreek Hill","MIA","WR","8.7","8.2","0.5","8.7","8.2","0.5","1","3","2.78","58","52.79","0","0.1824","14","4.8608","0","0"
"Garrett Wilson","NYJ","WR","10.5","19.5","-9","10.5","19.5","-9","1","9","8.95","60","112.93","0","0.624","0","0","0","0"
