Player,Age,GS,TD%,Int%,Lng,AY/A,Y/C,Y/G,QBR,NY/A,ANY/A,4QC,GWD,Player-additional
Ben Roethlisberger,36,16,5.0,2.4,97,7.5,11.3,320.6,69.6,7.10,7.04,2,3,RoetBe00
Patrick Mahomes,23,16,8.6,2.1,89,9.6,13.3,318.6,80.3,8.13,8.89,2,2,MahoPa00
Matt Ryan,33,16,5.8,1.2,75,8.7,11.7,307.8,65.7,7.12,7.71,1,1,RyanMa00
Jared Goff,24,16,5.7,2.1,70,8.5,12.9,293.0,63.6,7.52,7.69,4,4,GoffJa00
Andrew Luck,29,16,6.1,2.3,68,7.4,10.7,287.1,69.6,6.79,6.95,3,3,LuckAn00
Aaron Rodgers,35,16,4.2,0.3,75,8.1,11.9,277.6,58.0,6.33,6.96,3,3,RodgAa00
Tom Brady,41,16,5.1,1.9,63,7.8,11.6,272.2,68.4,7.12,7.26,1,2,BradTo00
Philip Rivers,37,16,6.3,2.4,75,8.7,12.4,269.3,67.8,7.60,7.79,3,3,RivePh00
Eli Manning,37,16,3.6,1.9,58,7.3,11.3,268.7,49.1,6.33,6.21,1,2,MannEl00
Kirk Cousins,30,16,5.0,1.7,75,7.3,10.1,268.6,59.5,6.25,6.48,1,0,CousKi00
Deshaun Watson,23,16,5.1,1.8,73,8.5,12.1,260.3,61.8,6.67,6.87,5,5,WatsDe00
Derek Carr,27,16,3.4,1.8,66,7.2,10.6,253.1,46.5,6.21,6.09,3,3,CarrDe02
Drew Brees,39,15,6.5,1.0,72,9.0,11.0,266.1,79.2,7.65,8.47,6,7,BreeDr00
Case Keenum,30,16,3.1,2.6,64,6.1,10.7,243.1,44.5,5.90,5.39,3,4,KeenCa00
Dak Prescott,25,16,4.2,1.5,90,7.5,10.9,242.8,55.2,6.08,6.22,3,5,PresDa01
Matthew Stafford,30,16,3.8,2.0,67,6.7,10.3,236.1,51.3,5.92,5.79,0,1,StafMa00
Baker Mayfield,23,13,5.6,2.9,71,7.5,12.0,266.1,51.2,6.95,6.77,3,4,MayfBa00
Russell Wilson,30,16,8.2,1.6,66,9.0,12.3,215.5,63.3,6.47,7.28,2,4,WilsRu00
Cam Newton,29,14,5.1,2.8,82,7.0,10.6,242.5,53.2,6.36,6.15,2,2,NewtCa00
Mitchell Trubisky,24,14,5.5,2.8,70,7.3,11.2,230.2,71.0,6.72,6.59,1,2,TrubMi00
Carson Wentz,26,11,5.2,1.7,58,7.9,11.0,279.5,62.0,6.65,6.89,2,2,WentCa00
Jameis Winston,24,9,5.0,3.7,64,7.3,12.3,272.0,66.2,7.00,6.38,0,1,WinsJa00
Sam Darnold,21,13,4.1,3.6,76,6.1,12.0,220.4,45.9,5.99,5.24,1,1,DarnSa00
Blake Bortles,26,12,3.2,2.7,80,6.2,11.2,209.1,43.4,5.86,5.32,0,1,BortBl00
Andy Dalton,31,11,5.8,3.0,49,6.8,11.4,233.3,59.4,6.24,6.05,3,4,DaltAn00
Marcus Mariota,25,13,3.3,2.4,61,7.2,11.1,180.6,53.2,6.13,5.75,2,3,MariMa01
