Player,Position,Age,AP1,PB,St,wAV,DrAV,Games,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Tackles,Int,Sk
Tevin Coleman,RB,22,0,0,2,33,25,94,0,0,0,0,0,789,3319,25,131,1317,13,3,,
Weston Richburg,OL,23,0,0,5,33,21,79,0,0,0,0,0,0,0,0,0,0,0,,,
Trent Murphy,LB,23,0,0,4,33,11,86,0,0,0,0,0,0,0,0,0,0,0,117,1,26
Devon Kennard,DE,23,0,0,5,33,13,118,0,0,0,0,0,0,0,0,0,0,0,247,1,26.5
Shelby Harris,DE,23,0,0,4,33,1,98,0,0,0,0,0,0,0,0,0,0,0,151,1,24.5
Eric Reid,DB,21,0,1,7,33,26,99,0,0,0,0,0,0,0,0,0,0,0,404,11,6
Kiko Alonso,LB,23,0,0,4,33,10,86,0,0,0,0,0,0,0,0,0,0,0,369,10,3
CeeDee Lamb,WR,21,0,2,3,32,32,49,0,0,0,0,0,29,205,1,260,3396,20,4,,
Jonathan Taylor,RB,21,1,1,3,32,32,43,0,0,0,0,0,756,3841,33,104,802,3,,,
Quinnen Williams,DT,21,1,1,4,32,32,57,0,0,0,0,0,0,0,0,0,0,0,118,,27.5
Frank Ragnow,C,22,0,2,4,32,32,65,0,0,0,0,0,0,0,0,0,0,0,1,,
Braden Smith,G,22,0,0,5,32,32,72,0,0,0,0,0,0,0,0,0,0,0,,,
Jessie Bates III,S,21,0,0,5,32,32,79,0,0,0,0,0,0,0,0,0,0,0,327,14,
James Conner,RB,22,0,2,4,32,19,78,0,0,0,0,0,917,3836,44,207,1638,8,2,,
Davon Godchaux,DT,22,0,0,4,32,14,86,0,0,0,0,0,0,0,0,0,0,0,157,,5.5
Vonn Bell,S,21,0,0,5,32,13,109,0,0,0,0,0,0,0,0,0,0,0,435,6,9.5
Ted Karras,G,23,0,0,4,32,18,109,0,0,0,0,0,0,0,0,0,0,0,1,,
Vic Beasley,OLB,23,1,1,5,32,32,88,0,0,0,0,0,0,0,0,0,0,0,122,1,37.5
Nelson Agholor,WR,22,0,0,7,32,18,118,1,1,15,0,0,14,71,0,340,4246,31,1,,
Eddie Goldman,DT,21,0,0,4,32,32,81,0,0,0,0,0,0,0,0,0,0,0,116,,13
Markus Golden,DE,24,0,0,4,32,23,111,0,0,0,0,0,0,0,0,0,0,0,206,1,47
Deone Bucannon,DB,22,0,0,4,32,29,84,0,0,0,0,0,0,0,0,0,0,0,329,2,7
Carlos Hyde,RB,23,0,0,4,32,18,102,0,0,0,0,0,1225,4979,37,157,867,3,,,
Shamar Stephen,DT,23,0,0,4,32,25,115,0,0,0,0,0,0,0,0,0,0,0,99,,4.5
Dexter Lawrence,DT,21,0,1,3,31,31,64,0,0,0,0,0,0,0,0,0,0,0,116,,16.5
Elgton Jenkins,C,23,0,2,3,31,31,55,0,0,0,0,0,0,0,0,0,0,0,,,
Terry McLaurin,WR,23,0,1,4,31,31,63,0,0,0,0,0,10,71,0,299,4281,21,5,,
Mike McGlinchey,T,23,0,0,4,31,31,69,0,0,0,0,0,0,0,0,0,0,0,,,
Vita Vea,DT,23,0,1,3,31,31,64,0,0,0,0,0,0,0,0,1,1,1,83,,18
Rashaan Evans,ILB,22,0,0,4,31,25,76,0,0,0,0,0,0,0,0,0,0,0,282,2,5
Alex Cappa,T,23,0,0,4,31,22,68,0,0,0,0,0,0,0,0,0,0,0,,,
Corey Davis,WR,22,0,0,5,31,24,78,0,0,0,0,0,6,55,0,273,3879,17,,,
Cam Robinson,T,21,0,0,5,31,31,75,0,0,0,0,0,0,0,0,0,0,0,,,
Samson Ebukam,OLB,22,0,0,5,31,20,96,0,0,0,0,0,0,0,0,0,0,0,137,1,23.5
Jamaal Williams,RB,22,0,0,3,31,19,90,0,0,0,0,0,915,3652,30,160,1191,8,7,,
John Miller,G,22,0,0,5,31,19,87,0,0,0,0,0,0,0,0,0,0,0,,,
Steven Nelson,CB,22,0,0,6,31,12,113,0,0,0,0,0,0,0,0,0,0,0,326,9,1
Jamison Crowder,WR,22,0,0,4,31,20,100,1,2,43,1,0,17,82,0,415,4667,28,3,,
Damien Wilson,ILB,22,0,0,5,31,10,127,0,0,0,0,0,0,0,0,0,0,0,266,1,9
Tyeler Davison,DT,23,0,0,6,31,16,111,0,0,0,0,0,0,0,0,0,0,0,101,,5
Brandon Linder,OL,22,0,0,6,31,31,88,0,0,0,0,0,0,0,0,0,0,0,1,,
Jerick McKinnon,RB,22,0,0,1,31,21,104,0,1,0,0,0,639,2590,13,244,1856,16,8,,
Geno Smith,QB,22,0,1,3,31,14,62,991,1578,11199,64,48,226,1067,9,1,13,0,1,,
Brian Winters,G,22,0,0,7,31,27,107,0,0,0,0,0,0,0,0,0,0,0,,,
Jeremy Chinn,S,22,0,0,3,30,30,42,0,0,0,0,0,2,29,0,0,0,0,194,2,3
Jaire Alexander,CB,21,0,2,4,30,30,64,0,0,0,0,0,0,0,0,0,0,0,203,10,1.5
Jerome Baker,OLB,21,0,0,5,30,30,81,0,0,0,0,0,0,0,0,0,0,0,331,3,21
Sam Hubbard,DE,23,0,0,4,30,30,75,0,0,0,0,0,0,0,0,0,0,0,173,,30.5
Dan Feeney,G,23,0,0,4,30,27,96,0,0,0,0,0,0,0,0,0,0,0,,,
Deatrich Wise Jr.,DE,23,0,0,2,30,30,95,0,0,0,0,0,0,0,0,0,0,0,139,,24.5
Ronald Darby,CB,21,0,0,7,30,9,89,0,0,0,0,0,0,0,0,0,0,0,321,8,
Russell Bodine,C,22,0,0,5,30,28,74,0,0,0,0,0,0,0,0,0,0,0,,,
Cameron Fleming,T,22,0,0,2,30,13,111,0,0,0,0,0,0,0,0,0,0,0,2,,
Ed Oliver,DT,21,0,0,3,29,29,62,0,0,0,0,0,0,0,0,0,0,0,96,,14.5
Brian Burns,DE,21,0,2,3,29,29,64,0,0,0,0,0,0,0,0,0,0,0,119,,38
Marquise Brown,WR,22,0,0,3,29,24,58,0,0,0,0,0,3,7,0,262,3070,24,3,,
Miles Sanders,RB,22,0,1,4,29,29,57,0,0,0,0,0,739,3708,20,124,942,3,,,
Bradley Chubb,DE,22,0,2,2,29,26,57,0,0,0,0,0,0,0,0,0,0,0,112,1,28.5
Bilal Nichols,DT,21,0,0,4,29,23,77,0,0,0,0,0,0,0,0,0,0,0,93,1,12.5
Wyatt Teller,G,23,0,2,4,29,2,66,0,0,0,0,0,0,0,0,1,-5,0,1,,
D.J. Jones,DT,22,0,0,4,29,22,76,0,0,0,0,0,0,0,0,0,0,0,114,,9
Chris Carson,RB,22,0,0,3,29,29,49,0,0,0,0,0,769,3502,24,107,804,7,,,
Nick Martin,G,23,0,0,4,29,27,83,0,0,0,0,0,0,0,0,0,0,0,,,
Jordan Jenkins,OLB,22,0,0,5,29,28,83,0,0,0,0,0,0,0,0,0,0,0,124,,25
Brandon Shell,T,24,0,0,5,29,13,83,0,0,0,0,0,0,0,0,0,0,0,2,,
Eric Ebron,TE,21,0,1,4,29,15,106,0,1,0,0,0,5,-6,3,351,3837,33,,,
Laurent Duvernay-Tardif,OL,23,0,0,4,29,27,73,0,0,0,0,0,0,0,0,0,0,0,1,,
Sylvester Williams,DT,24,0,0,4,29,22,102,0,0,0,0,0,0,0,0,0,0,0,93,,5.5
Duron Harmon,DB,22,0,0,3,29,16,161,0,0,0,0,0,0,0,0,0,0,0,298,23,
Alex Okafor,DE,22,0,0,5,29,14,106,0,0,0,0,0,0,0,0,0,0,0,147,1,31.5
Kaleb McGary,T,24,0,0,4,28,28,63,0,0,0,0,0,0,0,0,1,-3,0,,,
Diontae Johnson,WR,23,0,1,4,28,28,64,0,0,0,0,0,19,134,0,340,3646,20,2,,
David Montgomery,RB,22,0,0,3,28,28,60,0,1,0,0,1,915,3609,26,155,1240,4,,,
Devin Singletary,RB,22,0,0,4,28,28,61,0,0,0,0,0,672,3151,16,145,971,4,3,,
Denzel Ward,CB,21,0,2,5,28,28,66,0,0,0,0,0,0,0,0,0,0,0,193,13,0.5
Will Hernandez,G,23,0,0,4,28,22,75,0,0,0,0,0,0,0,0,0,0,0,,,
Harold Landry,OLB,22,0,1,3,28,28,64,0,0,0,0,0,0,0,0,0,0,0,164,2,31
Connor Williams,T,21,0,0,5,28,20,74,0,0,0,0,0,0,0,0,0,0,0,,,
Ja'Whaun Bentley,ILB,22,0,0,3,28,28,65,0,0,0,0,0,0,0,0,0,0,0,218,2,5.5
Grover Stewart,DT,23,0,0,4,28,28,96,0,0,0,0,0,0,0,0,0,0,0,141,,8.5
A'Shawn Robinson,DT,21,0,0,4,28,18,93,0,0,0,0,0,0,0,0,0,0,0,181,1,7
Connor McGovern,G,23,0,0,5,28,14,95,0,0,0,0,0,0,0,0,0,0,0,5,,
Duke Johnson,RB,21,0,0,0,28,18,97,0,1,0,0,0,532,2265,11,311,2870,12,2,,
Bobby McCain,CB,22,0,0,6,28,17,121,0,0,0,0,0,0,0,0,0,0,0,301,11,4
Darren Waller,WR,22,0,1,3,28,1,74,0,0,0,0,0,3,26,0,298,3572,19,10,,
Tre Boston,DB,22,0,0,4,28,17,104,0,0,0,0,0,0,0,0,0,0,0,313,15,3
D.J. Swearinger,DB,22,0,0,5,28,8,110,0,0,0,0,0,0,0,0,0,0,0,327,14,4.5
Bennie Logan,DT,23,0,0,5,28,22,89,0,0,0,0,0,0,0,0,0,0,0,161,,7
Trevon Diggs,CB,21,1,2,3,27,27,45,0,0,0,0,0,0,0,0,0,0,0,142,17,1
Christian Wilkins,DT,23,0,0,4,27,27,64,0,0,0,0,0,0,0,0,2,2,2,166,1,11.5
Montez Sweat,DE,23,0,0,3,27,27,59,0,0,0,0,0,0,0,0,0,0,0,99,1,29
Germaine Pratt,LB,23,0,0,4,27,27,62,0,0,0,0,0,0,0,0,0,0,0,212,3,1.5
Derrick Nnadi,DT,22,0,0,4,27,27,81,0,0,0,0,0,0,0,0,0,0,0,90,1,4
Bradley Bozeman,C,23,0,0,4,27,24,79,0,0,0,0,0,0,0,0,0,0,0,1,,
Marcus Williams,S,20,0,0,6,27,24,86,0,0,0,0,0,0,0,0,0,0,0,283,19,1
Pat Elflein,C,23,0,0,3,27,21,65,0,0,0,0,0,0,0,0,0,0,0,1,,
Kenny Golladay,WR,23,0,1,4,27,23,73,0,0,0,0,0,2,17,0,226,3670,22,,,
Anthony Walker,LB,22,0,0,4,27,22,73,0,0,0,0,0,0,0,0,0,0,0,305,3,4.5
Chuck Clark,DB,22,0,0,4,27,27,96,0,0,0,0,0,0,0,0,0,0,0,240,5,3.5
Xavier Woods,S,22,0,0,5,27,16,92,0,0,0,0,0,0,0,0,0,0,0,297,8,1
Eli Apple,CB,21,0,0,5,27,9,88,0,0,0,0,0,0,0,0,0,0,0,273,5,
Sterling Shepard,WR,23,0,0,5,27,27,75,0,0,0,0,0,23,180,1,362,4038,22,3,,
Austin Hooper,TE,21,0,2,3,27,18,105,0,0,0,0,0,0,0,0,339,3468,25,3,,
Kendall Fuller,CB,21,0,0,4,27,22,102,0,0,0,0,0,0,0,0,0,0,0,311,14,2
Jordan Howard,RB,21,0,1,3,27,22,73,0,0,0,0,0,1019,4362,37,85,653,2,1,,
Wes Schweitzer,G,22,0,0,3,27,19,80,0,0,0,0,0,0,0,0,0,0,0,,,
Cameron Erving,C,23,0,0,3,27,6,95,0,0,0,0,0,0,0,0,0,0,0,,,
Jordan Phillips,NT,22,0,0,4,27,10,106,0,0,0,0,0,0,0,0,0,0,0,110,1,21.5
Bobby Hart,G,21,0,0,4,27,8,98,0,0,0,0,0,0,0,0,0,0,0,,,
Ryan Shazier,LB,22,0,2,3,27,27,46,0,0,0,0,0,0,0,0,0,0,0,202,7,7
Ja'Wuan James,T,22,0,0,4,27,26,66,0,0,0,0,0,0,0,0,0,0,0,,,
Kevin Minter,LB,22,0,0,3,27,19,123,0,0,0,0,0,0,0,0,0,0,0,255,,7
Terrance Williams,WR,23,0,0,4,27,27,83,0,0,0,0,0,5,19,0,232,3377,20,,,
Akeem Spence,DT,21,0,0,4,27,14,117,0,0,0,0,0,0,0,0,0,0,0,127,,10.5
Patrick Queen,LB,21,0,0,3,26,26,50,0,0,0,0,0,0,0,0,0,0,0,213,3,10
Tee Higgins,WR,21,0,0,3,26,26,46,0,0,0,0,0,5,28,0,215,3028,19,1,,
Chris Lindstrom,G,22,0,1,3,26,26,55,0,0,0,0,0,0,0,0,0,0,0,2,,
Jawaan Taylor,T,21,0,0,4,26,26,66,0,0,0,0,0,0,0,0,0,0,0,1,,
Calvin Ridley,WR,23,0,0,2,26,26,49,0,0,0,0,0,13,62,0,248,3342,28,1,,
Michael Gallup,WR,22,0,0,4,26,26,69,0,0,0,0,0,0,0,0,232,3326,19,1,,
Sebastian Joseph-Day,DT,23,0,0,2,26,18,55,0,0,0,0,0,0,0,0,0,0,0,110,1,8
Foyesade Oluokun,S,23,0,0,3,26,18,81,0,0,0,0,0,0,0,0,0,0,0,400,5,7
Evan Engram,TE,23,0,1,6,26,19,82,0,0,0,0,0,16,93,1,335,3594,20,2,,
Shaquill Griffin,DB,22,0,1,5,26,22,76,0,0,0,0,0,0,0,0,0,0,0,262,6,1
John Johnson,S,21,0,0,5,26,16,86,0,0,0,0,0,0,0,0,0,0,0,342,12,1
Desmond King,S,22,1,0,4,26,16,95,0,0,0,0,0,0,0,0,0,0,0,320,9,8.5
Jayon Brown,LB,22,0,0,3,26,23,74,0,0,0,0,0,0,0,0,0,0,0,280,4,9.5
Hunter Henry,TE,21,0,0,5,26,17,89,0,0,0,0,0,0,0,0,287,3434,32,2,,
Jalen Mills,S,22,0,0,6,26,18,89,0,0,0,0,0,0,0,0,0,0,0,288,7,1.5
Jimmie Ward,DB,23,0,0,5,26,26,106,0,0,0,0,0,0,0,0,0,0,0,341,7,3
Lamarcus Joyner,DB,23,0,0,4,26,15,110,0,0,0,0,0,0,0,0,0,0,0,361,7,5
Tavon Austin,WR,23,0,0,4,26,22,113,0,1,0,0,0,199,1361,10,244,2239,16,3,,
Robert Alford,DB,24,0,0,5,26,24,101,0,0,0,0,0,0,0,0,0,0,0,280,11,
Tony Pollard,RB,22,0,1,0,25,25,62,0,0,0,0,0,510,2616,17,121,1008,5,6,,
Sam Darnold,QB,21,0,0,4,25,16,56,1054,1765,11767,61,55,188,745,12,0,0,0,,,
Terrell Edmunds,S,21,0,0,5,25,25,79,0,0,0,0,0,0,0,0,0,0,0,276,5,5
Dallas Goedert,TE,23,0,0,5,25,25,69,0,0,0,0,0,0,0,0,248,2997,19,5,,
Nyheim Hines,RB,21,0,0,0,25,22,81,0,0,0,0,0,306,1202,10,240,1778,8,3,,
Jordan Whitehead,S,21,0,0,5,25,19,76,0,0,0,0,0,0,0,0,0,0,0,280,7,2
Marcus Maye,S,24,0,0,5,25,21,70,0,0,0,0,0,0,0,0,0,0,0,261,6,3.5
Sheldon Rankins,DT,22,0,0,3,25,17,94,0,0,0,0,0,0,0,0,0,0,0,117,1,23.5
Isaac Seumalo,G,22,0,0,4,25,25,81,0,0,0,0,0,0,0,0,0,0,0,,,
Nick Vigil,ILB,23,0,0,4,25,17,89,0,0,0,0,0,0,0,0,0,0,0,263,3,5
Tyler Higbee,TE,23,0,0,7,25,25,110,0,0,0,0,0,1,1,0,306,3107,20,4,,
Matthew Ioannidis,DT,22,0,0,3,25,19,86,0,0,0,0,0,0,0,0,0,0,0,122,,25.5
Max Garcia,C,23,0,0,3,25,16,105,0,0,0,0,0,0,0,0,0,0,0,2,,
Bradley Roby,DB,22,0,0,4,25,15,126,0,0,0,0,0,0,0,0,0,0,0,327,11,5
Timmy Jernigan,DT,21,0,0,4,25,14,76,0,0,0,0,0,0,0,0,0,0,0,70,1,17.5
Justin Ellis,DT,23,0,0,3,25,19,117,0,0,0,0,0,0,0,0,0,0,0,100,,1.5
Ricardo Allen,DB,22,0,0,5,25,24,91,0,0,0,0,0,0,0,0,0,0,0,256,11,1
Johnathan Cyprien,DB,23,0,0,5,25,21,79,0,0,0,0,0,0,0,0,0,0,0,381,2,3
Shawn Williams,DB,22,0,0,4,25,24,125,0,0,0,0,0,2,46,0,0,0,0,318,12,3
Jordan Reed,TE,23,0,1,3,25,24,75,0,0,0,0,0,1,18,0,355,3602,28,,,
Erik McCoy,C,22,0,0,4,24,24,57,0,0,0,0,0,0,0,0,0,0,0,1,,
Derwin James,S,22,1,3,3,24,24,50,0,0,0,0,0,0,0,0,0,0,0,237,7,9.5
Austin Corbett,C,23,0,0,4,24,1,72,0,0,0,0,0,0,0,0,0,0,0,3,,
James Daniels,C,20,0,0,5,24,17,71,0,0,0,0,0,0,0,0,0,0,0,1,,
Courtland Sutton,WR,22,0,1,3,24,24,65,2,2,54,0,0,5,21,0,239,3487,14,5,,
Lorenzo Carter,DE,22,0,0,4,24,17,66,0,0,0,0,0,0,0,0,0,0,0,123,2,18.5
Marquez Valdes-Scantling,WR,23,0,0,4,24,18,76,0,0,0,0,0,9,48,0,165,2840,15,4,,
Jabrill Peppers,S,21,0,0,4,24,12,78,0,0,0,0,0,0,0,0,0,0,0,259,4,4.5
Ethan Pocic,C,22,0,0,2,24,19,70,0,0,0,0,0,0,0,0,0,0,0,,,
Chase Roullier,C,24,0,0,4,24,24,69,0,0,0,0,0,0,0,0,0,0,0,,,
Will Fuller,WR,22,0,0,5,24,24,55,0,0,0,0,0,4,6,0,213,3136,24,,,
Adam Gotsis,DT,23,0,0,3,24,15,104,0,0,0,0,0,0,0,0,0,0,0,117,,9.5
Halapoulivaati Vaitai,T,23,0,0,3,24,12,80,0,0,0,0,0,0,0,0,0,0,0,,,
Dante Fowler,OLB,21,0,0,2,24,5,108,0,0,0,0,0,0,0,0,0,0,0,159,,41
Greg Robinson,T,21,0,0,5,24,13,83,0,0,0,0,0,0,0,0,0,0,0,,,
Xavier Su'a-Filo,G,23,0,0,3,24,17,83,0,0,0,0,0,0,0,0,0,0,0,,,
Barkevious Mingo,LB,22,0,0,2,24,10,126,0,0,0,0,0,1,11,0,0,0,0,179,1,12.5
T.J. McDonald,DB,22,0,0,6,24,17,75,0,0,0,0,0,0,0,0,0,0,0,312,8,5
Theo Riddick,RB,22,0,0,1,24,24,88,0,0,0,0,0,294,1037,5,290,2281,14,15,,
Ja'Marr Chase,WR,21,0,2,2,23,23,29,0,0,0,0,0,12,29,0,168,2501,22,6,,
DeVonta Smith,WR,22,0,0,2,23,23,34,0,0,0,0,0,0,0,0,159,2112,12,1,,
Tua Tagovailoa,QB,22,0,0,3,23,23,36,708,1078,8015,52,23,101,307,6,0,0,0,,,
Brandon Aiyuk,WR,22,0,0,3,23,23,46,0,0,0,0,0,13,117,2,194,2589,18,3,,
Michael Pittman Jr.,WR,22,0,0,3,23,23,46,0,0,0,0,0,11,100,0,227,2510,11,5,,
Josh Allen,LB,22,0,1,3,23,23,57,0,0,0,0,0,0,0,0,0,0,0,119,1,27.5
Devin Bush Jr.,LB,21,0,0,2,23,23,52,0,0,0,0,0,0,0,0,0,0,0,173,2,4
Jonah Williams,G,21,0,0,3,23,23,42,0,0,0,0,0,0,0,0,0,0,0,,,
Garrett Bradbury,C,24,0,0,4,23,23,57,0,0,0,0,0,0,0,0,2,17,0,1,,
Tytus Howard,T,23,0,0,4,23,23,54,0,0,0,0,0,0,0,0,0,0,0,,,
Nate Davis,G,22,0,0,4,23,23,55,0,0,0,0,0,0,0,0,0,0,0,1,,
David Edwards,T,22,0,0,2,23,23,53,0,0,0,0,0,0,0,0,0,0,0,1,,
Chukwuma Okorafor,T,21,0,0,3,23,23,63,0,0,0,0,0,0,0,0,0,0,0,,,
Josey Jewell,ILB,23,0,0,3,23,23,62,0,0,0,0,0,0,0,0,0,0,0,203,2,6
Curtis Samuel,WR,21,0,0,4,23,18,75,0,0,0,0,0,114,676,6,255,2770,18,7,,
Sam Tevi,T,22,0,0,3,23,23,58,0,0,0,0,0,0,0,0,0,0,0,,,
Keanu Neal,S,21,0,1,3,23,17,80,0,0,0,0,0,0,0,0,0,0,0,328,3,2.5
Anthony Brown,CB,22,0,0,4,23,23,94,0,0,0,0,0,0,0,0,0,0,0,260,9,4
Jon Feliciano,G,23,0,0,2,23,4,97,0,0,0,0,0,0,0,0,0,0,0,,,
Dee Ford,LB,23,0,1,2,23,21,85,0,0,0,0,0,0,0,0,0,0,0,117,,40
Jordan Matthews,WR,22,0,0,3,23,21,76,0,0,0,0,0,0,0,0,274,3288,22,,,
Travis Swanson,C,23,0,0,4,23,20,65,0,0,0,0,0,0,0,0,0,0,0,1,,
Marquise Goodwin,WR,22,0,0,3,23,5,102,0,0,0,0,0,19,93,0,187,3023,18,,,
Justin Fields,QB,22,0,0,1,22,22,27,351,588,4112,24,21,232,1563,10,0,0,0,,,
Mac Jones,QB,23,0,1,2,22,22,31,640,963,6798,36,24,91,231,1,0,0,0,1,,
Creed Humphrey,OL,22,0,1,2,22,22,34,0,0,0,0,0,0,0,0,0,0,0,1,,
Andrew Thomas,T,21,0,0,3,22,22,45,0,0,0,0,0,0,0,0,1,2,1,7,,
Mecole Hardman,WR,21,0,1,0,22,22,57,0,0,0,0,0,20,125,2,151,2088,16,1,,
Bobby Okereke,LB,23,0,0,4,22,22,64,0,0,0,0,0,0,0,0,0,0,0,293,3,2
Dre Greenlaw,LB,22,0,0,3,22,22,47,0,0,0,0,0,0,0,0,0,0,0,217,3,2
Cole Holcomb,LB,23,0,0,3,22,22,50,0,0,0,0,0,0,0,0,0,0,0,239,3,4.5
Carlton Davis,CB,21,0,0,4,22,22,64,0,0,0,0,0,0,0,0,0,0,0,228,7,
Justin Jones,DT,22,0,0,4,22,15,68,0,0,0,0,0,0,0,0,0,0,0,91,,7.5
Derek Barnett,DE,21,0,0,3,22,22,65,0,0,0,0,0,0,0,0,0,0,0,95,,21.5
Adoree' Jackson,CB,21,0,0,5,22,15,69,0,0,0,0,0,5,55,0,0,0,0,263,3,
Jarrad Davis,LB,22,0,0,3,22,20,68,0,0,0,0,0,0,0,0,0,0,0,226,1,11
Zay Jones,WR,22,0,0,3,22,8,95,1,2,29,0,0,8,24,0,253,2707,16,3,,
Chidobe Awuzie,CB,22,0,0,4,22,15,71,0,0,0,0,0,0,0,0,0,0,0,230,6,
Rayshawn Jenkins,S,23,0,0,4,22,12,92,0,0,0,0,0,0,0,0,0,0,0,244,8,2.5
Shaq Lawson,DE,22,0,0,1,22,14,93,0,0,0,0,0,0,0,0,0,0,0,114,1,25
Reggie Ragland,ILB,22,0,0,3,22,,79,0,0,0,0,0,0,0,0,0,0,0,175,1,3.5
Quinton Jefferson,DT,23,0,0,3,22,13,89,0,0,0,0,0,0,0,0,0,0,0,83,,20.5
Joe Haeg,T,23,0,0,2,22,19,80,0,0,0,0,0,0,0,0,0,0,0,1,,
Rakeem Nunez-Roches,DT,22,0,0,3,22,8,102,0,0,0,0,0,0,0,0,0,0,0,69,,3.5
Kelvin Benjamin,WR,23,0,0,4,22,18,61,0,0,0,0,0,0,0,0,209,3021,20,,,
Jack Mewhort,T,23,0,0,4,22,22,45,0,0,0,0,0,0,0,0,0,0,0,,,
Spencer Long,G,23,0,0,3,22,16,67,0,0,0,0,0,0,0,0,0,0,0,,,
Nevin Lawson,DB,23,0,0,5,22,17,100,0,0,0,0,0,0,0,0,0,0,0,260,1,2
T.J. Carrie,DB,24,0,0,3,22,13,125,0,0,0,0,0,0,0,0,0,0,0,320,7,2
Chance Warmack,G,21,0,0,3,22,20,68,0,0,0,0,0,0,0,0,0,0,0,,,
Trevor Lawrence,QB,21,0,1,2,21,21,34,746,1186,7754,37,25,135,625,7,0,0,0,4,,
Patrick Surtain II,DB,21,1,1,2,21,21,33,0,0,0,0,0,0,0,0,0,0,0,91,6,
Amon-Ra St. Brown,WR,21,0,1,1,21,21,33,0,0,0,0,0,16,156,1,196,2073,11,1,,
Jedrick Wills Jr.,T,21,0,0,3,21,21,45,0,0,0,0,0,0,0,0,0,0,0,1,,
Jonah Jackson,G,23,0,1,3,21,21,45,0,0,0,0,0,0,0,0,0,0,0,1,,
T.J. Hockenson,TE,22,0,2,2,21,17,57,0,0,0,0,0,1,0,0,246,2587,18,2,,
Dalton Risner,T,24,0,0,4,21,21,62,0,0,0,0,0,0,0,0,0,0,0,,,
Sony Michel,RB,23,0,0,2,21,15,65,0,0,0,0,0,779,3243,18,56,439,2,1,,
Uchenna Nwosu,OLB,21,0,0,2,21,13,79,0,0,0,0,0,0,0,0,0,0,0,127,1,24.5
Donte Jackson,CB,22,0,0,5,21,21,64,0,0,0,0,0,0,0,0,0,0,0,199,14,1
Justin Reid,S,21,0,0,5,21,16,74,0,0,0,0,0,0,0,0,0,0,0,289,7,3
Kyzir White,S,22,0,0,2,21,18,64,0,0,0,0,0,0,0,0,0,0,0,243,4,3
Josh Sweat,DE,21,0,1,2,21,21,71,0,0,0,0,0,0,0,0,0,0,0,91,1,28.5
Alex Anzalone,LB,22,0,0,2,21,10,69,0,0,0,0,0,0,0,0,0,0,0,211,3,6.5
Tarik Cohen,RB,22,1,1,2,21,21,51,2,3,22,2,0,264,1101,5,209,1575,9,1,,
Austin Johnson,NT,22,0,0,2,21,9,99,0,0,0,0,0,0,0,0,0,0,0,101,,8
Kamu Grugier-Hill,OLB,22,0,0,3,21,,98,0,0,0,0,0,0,0,0,1,4,0,206,2,5
Damarious Randall,S,23,0,0,5,21,11,75,0,0,0,0,0,0,0,0,0,0,0,244,14,2.5
Jaquiski Tartt,S,23,0,0,4,21,21,80,0,0,0,0,0,0,0,0,0,0,0,265,4,4
Eric Rowe,CB,22,0,0,2,21,2,100,0,0,0,0,0,0,0,0,0,0,0,272,5,2
Jamon Brown,T,22,0,0,3,21,13,62,0,0,0,0,0,0,0,0,0,0,0,,,
Chris Conley,WR,22,0,0,3,21,11,109,0,0,0,0,0,1,3,0,217,2853,15,4,,
Henry Anderson,DE,24,0,0,4,21,8,89,0,0,0,0,0,0,0,0,0,0,0,110,,11.5
Angelo Blackson,DT,22,0,0,1,21,1,117,0,0,0,0,0,0,0,0,0,0,0,98,1,8.5
Denzelle Good,T,24,0,0,2,21,10,62,0,0,0,0,0,0,0,0,0,0,0,,,
Jeremy Hill,RB,21,0,0,3,21,21,55,0,0,0,0,0,708,2898,29,68,490,1,,,
Luke Joeckel,T,21,0,0,3,21,16,50,0,0,0,0,0,0,0,0,0,0,0,1,,
Oday Aboushi,T,22,0,0,3,21,5,85,0,0,0,0,0,0,0,0,0,0,0,,,
Rex Burkhead,RB,23,0,0,0,21,4,115,0,2,0,0,0,488,1908,17,192,1534,9,27,,
Penei Sewell,OL,20,0,1,2,20,20,33,0,0,0,0,0,0,0,0,1,9,0,,,
D'Andre Swift,RB,21,0,0,0,20,20,40,0,1,0,0,0,364,1680,18,156,1198,7,,,
Damien Lewis,G,23,0,0,3,20,20,45,0,0,0,0,0,0,0,0,0,0,0,2,,
Darnell Mooney,WR,22,0,0,2,20,20,45,0,0,0,0,0,11,54,1,182,2179,10,6,,
Hunter Renfrow,WR,23,0,1,0,20,20,56,0,0,0,0,0,3,3,0,244,2629,17,6,,
Darius Slayton,WR,22,0,0,3,20,20,59,0,0,0,0,0,3,-14,0,170,2554,15,4,,
Gardner Minshew II,QB,23,0,0,2,20,17,32,586,933,6632,44,15,112,521,2,1,0,0,1,,
B.J. Hill,DT,23,0,0,3,20,8,80,0,0,0,0,0,0,0,0,0,0,0,121,,16
Mason Cole,C,22,0,0,3,20,11,77,0,0,0,0,0,0,0,0,0,0,0,,,
Chase Edmonds,RB,22,0,0,1,20,17,70,0,0,0,0,0,401,1796,11,144,1078,6,13,,
Russell Gage,WR,22,0,0,0,20,17,74,1,2,39,1,0,6,21,0,244,2491,14,10,,
