Player,Position,Age,AP1,PB,St,wAV,DrAV,Games,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Tackles,Int,Sk
Odell Beckham Jr.,WR,21,0,3,6,55,41,96,4,6,144,2,0,23,170,1,531,7367,56,3,,
Xavien Howard,CB,23,1,4,6,54,54,87,0,0,0,0,0,0,0,0,0,0,0,222,28,2
Marcus Mariota,QB,21,0,0,5,54,43,87,1312,2095,15656,92,54,349,2012,17,2,62,1,1,,
Todd Gurley,RB,21,2,3,6,54,50,88,0,0,0,0,0,1460,6082,67,243,2254,12,,,
Roquan Smith,ILB,21,1,1,5,53,40,78,0,0,0,0,0,0,0,0,0,0,0,451,8,18.5
Jack Conklin,T,22,2,0,6,53,30,93,0,0,0,0,0,0,0,0,0,0,0,2,,
Brandon Scherff,T,23,1,5,8,53,47,106,0,0,0,0,0,0,0,0,0,0,0,1,,
Donovan Smith,T,22,0,0,8,53,53,124,0,0,0,0,0,0,0,0,0,0,0,,,
Danielle Hunter,DE,20,0,3,4,53,53,102,0,0,0,0,0,0,0,0,0,0,0,262,,71
Jadeveon Clowney,DE,21,0,3,8,53,39,109,0,0,0,0,0,0,0,0,0,0,0,224,1,43
Orlando Brown Jr.,T,22,0,4,5,52,28,81,0,0,0,0,0,0,0,0,0,0,0,,,
Dalvin Cook,RB,22,0,4,5,52,52,73,0,0,0,0,0,1282,5993,47,221,1794,5,2,,
Cooper Kupp,WR,24,1,1,5,52,52,80,0,4,0,0,0,23,132,1,508,6329,46,3,,
Leonard Williams,DE,21,0,1,7,52,32,124,0,0,0,0,0,0,0,0,0,0,0,224,1,38
Alec Ogletree,LB,21,0,0,7,52,37,111,0,0,0,0,0,0,0,0,0,0,0,531,12,7.5
Larry Warford,G,22,0,3,7,52,22,101,0,0,0,0,0,0,0,0,0,0,0,,,
Micah Hyde,DB,22,0,1,7,52,13,144,0,0,0,0,0,0,0,0,0,0,0,445,22,5
Kyler Murray,QB,22,0,2,4,51,51,57,1316,1971,13848,84,41,381,2204,23,0,7,0,,,
Aaron Jones,RB,22,0,1,5,51,51,86,0,0,0,0,0,1035,5284,43,242,1843,17,,,
Kevin Byard,S,23,2,2,6,51,51,114,1,1,66,1,0,0,0,0,1,11,0,434,27,4
Kyle Van Noy,LB,23,0,0,6,51,4,128,0,0,0,0,0,0,0,0,0,0,0,318,3,33.5
Trai Turner,OL,21,0,5,9,51,41,126,0,0,0,0,0,0,0,0,0,0,0,,,
Brandon Williams,DT,24,0,1,8,51,51,128,0,0,0,0,0,0,0,0,0,0,0,184,,7
Matt Milano,LB,23,1,1,4,50,50,85,0,0,0,0,0,0,0,0,0,0,0,313,8,10.5
Justin Simmons,S,22,0,1,6,50,50,103,0,0,0,0,0,0,0,0,0,0,0,390,27,3.5
Melvin Gordon,RB,22,0,2,7,50,38,108,0,0,0,0,0,1567,6462,55,309,2467,14,,,
Rob Havenstein,T,23,0,0,8,50,50,116,0,0,0,0,0,0,0,0,0,0,0,1,,
Morgan Moses,OL,23,0,0,8,50,39,138,0,0,0,0,0,0,0,0,0,0,0,1,,
DaQuan Jones,DT,22,0,0,8,50,35,132,0,0,0,0,0,0,0,0,0,0,0,177,,12
Joey Bosa,DE,21,0,4,6,49,49,84,0,0,0,0,0,0,0,0,0,0,0,221,,60.5
Andrus Peat,T,21,0,3,6,49,49,95,0,0,0,0,0,0,0,0,0,0,0,,,
Frank Clark,DE,22,0,3,6,49,20,120,0,0,0,0,0,0,0,0,0,0,0,180,2,58.5
Grady Jarrett,NT,22,0,2,7,49,49,127,0,0,0,0,0,0,0,0,0,0,0,228,,32.5
Teddy Bridgewater,QB,21,0,1,4,49,22,78,1372,2067,15120,75,47,219,846,11,0,0,0,,,
Devonta Freeman,RB,22,0,2,4,49,45,98,0,0,0,0,0,1138,4720,38,298,2263,12,4,,
Charles Leno Jr.,T,22,0,1,8,49,37,136,0,0,0,0,0,0,0,0,0,0,0,,,
Zach Ertz,TE,22,0,3,7,49,42,144,0,0,0,0,0,1,4,0,682,7247,45,,,
Minkah Fitzpatrick,S,21,3,3,4,48,4,79,0,0,0,0,0,0,0,0,0,0,0,295,19,
Leonard Floyd,OLB,23,0,0,7,48,22,104,0,0,0,0,0,0,0,0,0,0,0,207,2,47.5
Laken Tomlinson,G,23,0,1,8,48,11,129,0,0,0,0,0,0,0,0,0,0,0,,,
Preston Smith,DE,22,0,0,7,48,22,129,0,0,0,0,0,0,0,0,0,0,0,235,5,58
Taylor Lewan,T,23,0,3,7,48,48,105,0,0,0,0,0,0,0,0,1,10,1,,,
Kyle Fuller,DB,22,1,2,5,48,45,113,0,0,0,0,0,0,0,0,0,0,0,371,19,
Star Lotulelei,DT,23,0,0,7,48,28,119,0,0,0,0,0,0,0,0,0,0,0,116,1,16.5
Xavier Rhodes,DB,23,1,3,8,48,42,135,0,0,0,0,0,0,0,0,0,0,0,388,13,
Jordan Poyer,DB,22,1,1,6,48,0,139,0,0,0,0,0,1,10,0,0,0,0,500,24,11
Budda Baker,S,21,2,5,5,47,47,93,0,0,0,0,0,0,0,0,0,0,0,468,7,7.5
Ryan Kelly,C,23,0,3,7,47,47,97,0,0,0,0,0,0,0,0,1,-4,0,,,
Mitch Morse,G,23,0,1,7,47,20,109,0,0,0,0,0,0,0,0,0,0,0,,,
Shaq Mason,C,22,0,0,8,47,43,120,0,0,0,0,0,0,0,0,0,0,0,,,
Allen Robinson,WR,21,0,1,7,47,18,110,0,0,0,0,0,3,10,0,528,6748,43,2,,
Gabe Jackson,G,23,0,0,9,47,36,131,0,0,0,0,0,0,0,0,2,-5,0,,,
Baker Mayfield,QB,23,0,0,4,46,40,72,1386,2259,16288,102,64,189,660,6,1,17,0,1,,
Marlon Humphrey,CB,21,1,3,5,46,46,90,0,0,0,0,0,0,0,0,0,0,0,281,12,5.5
Tre'Davious White,CB,22,1,2,5,46,46,78,0,0,0,0,0,0,0,0,0,0,0,232,17,3
Kenny Clark,DT,20,0,2,6,46,46,106,0,0,0,0,0,0,0,0,0,0,0,194,,26.5
Yannick Ngakoue,DE,21,0,1,7,46,32,110,0,0,0,0,0,0,0,0,0,0,0,163,2,65
De'Vondre Campbell,OLB,23,1,0,7,46,20,104,0,0,0,0,0,0,0,0,0,0,0,461,7,9.5
Jimmy Garoppolo,QB,22,0,0,3,46,2,74,1167,1726,14289,87,42,165,225,7,2,-3,0,,,
Tremaine Edmunds,ILB,20,0,2,5,45,45,74,0,0,0,0,0,0,0,0,0,0,0,359,5,6.5
Nick Chubb,RB,22,0,4,5,45,45,75,0,0,0,0,0,1210,6341,48,119,990,4,2,,
Dion Dawkins,G,23,0,2,6,45,45,95,0,0,0,0,0,0,0,0,2,8,2,2,,
Javon Hargrave,DT,23,0,1,7,45,23,111,0,0,0,0,0,0,0,0,0,0,0,186,,37.5
Jordan Hicks,OLB,23,0,0,7,45,19,109,0,0,0,0,0,0,0,0,0,0,0,513,12,13.5
Za'Darius Smith,DE,22,0,3,3,45,11,107,0,0,0,0,0,0,0,0,0,0,0,180,,54.5
Justin Pugh,T,23,0,0,9,45,22,120,0,0,0,0,0,0,0,0,0,0,0,2,,
A.J. Brown,WR,22,0,2,4,44,28,60,0,2,0,0,0,5,70,1,273,4491,35,4,,
Jonathan Allen,DE,22,0,2,5,44,44,85,0,0,0,0,0,0,0,0,0,0,0,195,1,33.5
Benardrick McKinney,ILB,22,0,1,5,44,42,91,0,0,0,0,0,0,0,0,0,0,0,331,1,11.5
Blake Bortles,QB,22,0,0,5,44,44,78,1562,2634,17649,103,75,283,1766,8,1,20,1,,,
Johnathan Hankins,DT,21,0,0,8,44,17,138,0,0,0,0,0,0,0,0,0,0,0,211,,14.5
Justin Herbert,QB,22,0,1,3,43,43,49,1316,1966,14089,94,35,172,683,8,2,-10,0,2,,
Kareem Hunt,RB,22,0,1,2,43,25,76,0,0,0,0,0,895,4025,31,211,1806,17,,,
Ronnie Stanley,T,22,1,1,5,43,43,74,0,0,0,0,0,0,0,0,0,0,0,1,,
Laremy Tunsil,T,22,0,3,6,43,14,94,0,0,0,0,0,0,0,0,0,0,0,,,
James Bradberry,CB,23,0,1,7,43,16,109,0,0,0,0,0,0,0,0,0,0,0,342,18,3
Malcom Brown,DT,21,0,0,6,43,27,106,0,0,0,0,0,0,0,0,0,0,0,160,,13.5
Ali Marpet,C,22,0,1,7,43,43,101,0,0,0,0,0,0,0,0,0,0,0,1,,
Sammy Watkins,WR,21,0,0,6,43,20,111,0,1,0,0,1,11,76,0,364,5384,34,1,,
D.J. Fluker,T,22,0,0,7,43,29,108,0,0,0,0,0,0,0,0,0,0,0,,,
Ryan Jensen,T,22,0,1,5,43,11,100,0,0,0,0,0,0,0,0,0,0,0,1,,
Jamal Adams,S,21,1,3,5,42,29,71,0,0,0,0,0,0,0,0,0,0,0,328,4,21.5
Joe Mixon,RB,21,0,1,4,42,42,80,0,0,0,0,0,1314,5378,40,231,1763,10,1,,
Eddie Jackson,S,23,1,2,6,42,42,88,0,0,0,0,0,0,0,0,0,0,0,323,14,2
George Kittle,TE,23,1,4,5,42,42,82,0,0,0,0,0,11,69,0,395,5254,31,3,,
Tyler Boyd,WR,21,0,0,3,42,42,103,3,5,85,0,0,17,155,0,446,5333,29,1,,
Landon Collins,S,21,1,3,6,42,32,100,0,0,0,0,0,0,0,0,0,0,0,489,12,11
David Johnson,RB,23,1,1,3,42,33,92,0,0,0,0,0,1007,4071,39,277,2805,18,3,,
Telvin Smith,LB,23,0,1,5,42,42,76,0,0,0,0,0,0,0,0,0,0,0,446,9,7.5
Giovani Bernard,RB,21,0,0,2,42,41,135,0,0,0,0,0,937,3783,22,367,2989,14,3,,
Latavius Murray,RB,23,0,1,3,42,17,135,0,0,0,0,0,1481,6252,55,222,1501,2,3,,
Nick Bosa,DE,21,1,3,3,41,41,51,0,0,0,0,0,0,0,0,0,0,0,116,1,43
Taylor Decker,T,23,0,0,6,41,41,97,0,0,0,0,0,0,0,0,3,15,2,,,
Myles Jack,OLB,21,0,0,7,41,36,103,0,0,0,0,0,0,0,0,0,0,0,396,3,6.5
Deion Jones,OLB,21,0,1,5,41,39,96,0,0,0,0,0,0,0,0,0,0,0,453,12,11
Justin Britt,T,23,0,0,7,41,39,99,0,0,0,0,0,0,0,0,0,0,0,,,
Anthony Hitchens,LB,22,0,0,7,41,21,119,0,0,0,0,0,0,0,0,0,0,0,410,2,5.5
Kawann Short,DT,24,0,2,5,41,41,99,0,0,0,0,0,0,0,0,0,0,0,167,,32.5
Logan Ryan,DB,22,0,0,7,41,14,149,0,0,0,0,0,0,0,0,0,0,0,536,19,13
Ricky Wagner,T,23,0,0,6,41,22,118,0,0,0,0,0,0,0,0,0,0,0,,,
Jalen Hurts,QB,22,0,1,2,40,40,45,648,1040,7906,44,19,367,1898,26,1,3,0,2,,
Devin White,LB,21,0,1,4,40,40,62,0,0,0,0,0,0,0,0,0,0,0,315,1,20.5
Chris Godwin,WR,21,0,1,4,40,40,87,0,0,0,0,0,8,34,1,446,5666,32,8,,
Cody Whitehair,G,24,0,1,7,40,40,107,0,0,0,0,0,0,0,0,0,0,0,1,,
Shaq Thompson,OLB,21,0,0,8,40,40,117,0,0,0,0,0,0,0,0,0,0,0,445,3,12
Kwon Alexander,OLB,21,0,1,6,40,22,95,0,0,0,0,0,0,0,0,0,0,0,413,8,12.5
Christian Kirksey,LB,22,0,0,5,40,22,114,0,0,0,0,0,0,0,0,0,0,0,487,7,16.5
Kyle Long,G,24,0,3,6,40,40,77,0,0,0,0,0,0,0,0,1,-1,0,,,
