"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Kaylon Geiger","TB","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Treylon Burks","TEN","1","WR","2","1","0","13","0","0","0","1","50","11.5","6.5","13","5","1","1","0","50","100","0","0","0","0","0","0","1","0","8","0","0","0","8","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2.6","0.07","1.3"
"Drake London","ATL","1","WR","6","3","0","54","0","1","0","0","50","15.67","9","18","7.33","3","1","1","50","33.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.9","0.27","4.3"
"Romeo Doubs","GB","1","WR","8","8","0","73","0","1","0","0","100","3","9.13","9.13","6.13","2","2","1","25","25","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","17.3","0.31","2.16"
"Elijah Moore","NYJ","1","WR","9","4","0","49","0","0","0","0","44.4","19.22","5.44","12.25","0.25","4","1","0","44.4","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.9","0.09","1.73"
"Rashod Bateman","BLT","1","WR","4","2","0","59","0","0","0","0","50","22.25","14.75","29.5","11.5","1","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","6.9","0.19","3.45"
"Ja'Marr Chase","CIN","1","WR","10","6","0","29","0","1","0","0","60","12.6","2.9","4.83","1.5","4","1","1","40","16.7","100","2","1","20","16.7","100","2","0","-2","0","0","0","-1","1.5","0","0","1","1","0","50","0","0","0","0","0","0","0","11.7","0.2","1.46"
"Anthony Schwartz","CLV","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Brandon Aiyuk","SF","1","WR","8","3","0","39","0","1","0","0","37.5","14.13","4.88","13","4.33","2","1","1","25","33.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.4","0.23","3.8"
"Tutu Atwell","LA","1","WR","1","0","0","0","0","0","0","0","0","51","0","0","0","1","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Tim Jones","JAX","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"KJ Hamler","DEN","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Marquise Brown","ARZ","1","WR","17","14","0","140","1","0","0","0","82.4","8","8.24","10","4.43","2","0","0","11.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0.27","1.5"
"Jaelon Darden","TB","1","WR","1","1","0","25","0","0","0","0","100","15","25","25","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0.17","3"
"Nico Collins","HST","1","WR","4","2","0","41","0","0","0","0","50","13","10.25","20.5","8.5","2","1","0","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.1","0.13","2.55"
"Donovan Peoples-Jones","CLV","1","WR","2","1","0","10","0","0","0","0","50","10","5","10","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5","0.02","1.5"
"Justin Jefferson","MIN","1","WR","5","3","0","14","0","0","0","1","60","4.4","2.8","4.67","2.33","1","1","0","20","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.9","0.04","0.97"
"Ihmir Smith-Marsette","CHI","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Laviska Shenault Jr.","CAR","1","WR","2","2","1","90","0","1","1","0","100","0","45","45","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","1.45","8"
"A.J. Brown","PHI","1","WR","9","5","0","85","0","1","0","0","55.6","14.89","9.44","17","6.6","4","1","1","44.4","20","100","1","0","11.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0.3","3.4"
"Terry McLaurin","WAS","1","WR","9","6","1","102","1","0","0","1","66.7","16.22","11.33","17","2.17","3","2","0","33.3","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.2","0.19","2.2"
"Cedrick Wilson Jr.","MIA","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Courtland Sutton","DEN","1","WR","10","8","0","97","0","0","0","1","80","10.4","9.7","12.13","2.63","1","1","0","10","12.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.7","0.21","1.71"
"Dante Pettis","CHI","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Cam Sims","WAS","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"D.K. Metcalf","SEA","1","WR","12","5","0","64","0","1","0","0","41.7","14.08","5.33","12.8","2.2","5","1","1","41.7","20","100","4","1","33.3","20","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.9","0.23","2.98"
"Nick Westbrook-Ikhine","TEN","1","WR","3","3","0","40","0","0","0","0","100","12","13.33","13.33","1.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.5","0.17","1.83"
"Marquez Valdes-Scantling","KC","1","WR","6","4","0","48","0","0","0","0","66.7","13.17","8","12","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.8","0.14","1.7"
"DJ Chark Jr.","DET","1","WR","6","3","0","46","0","0","0","0","50","19.33","7.67","15.33","2","2","0","0","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.1","0.1","2.03"
"River Cracraft","MIA","1","WR","1","1","0","11","0","1","0","0","100","12","11","11","0","1","1","1","100","100","100","1","1","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.6","0.84","7.6"
"Olamide Zaccheaus","ATL","1","WR","2","2","0","49","0","0","0","0","100","24.5","24.5","24.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.9","0.16","2.95"
"Mecole Hardman Jr.","KC","1","WR","1","1","0","2","0","0","0","0","100","-4","2","2","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7","0.02","0.7"
"Marquez Callaway","NO","1","WR","1","1","0","4","0","1","0","0","100","10","4","4","0","1","1","1","100","100","100","1","1","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.9","0.53","6.9"
"Frank Darby","ATL","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"David Sills V","NYG","1","WR","4","2","0","20","0","0","0","0","50","12","5","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0.07","1.5"
"Diontae Johnson","PIT","1","WR","12","8","0","84","0","0","0","1","66.7","14.42","7","10.5","0.5","1","0","0","8.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.4","0.21","1.55"
"Quintez Cephus","DET","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"D'Wayne Eskridge","SEA","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
