Player,ADP
Keenan Allen,27.4
Kadarius Toney,243.8
Sammy Watkins,236
A.J. Brown,23.8
Marquez Valdes-Scantling,230
Allen Lazard,227.8
Tre'Quan Smith,215.8
Rashod Bateman,214.3
T.Y. Hilton,210.5
Jamison Crowder,228.2
Christian Kirk,209.3
Parris Campbell,223.6
Amon-Ra St.,198.5
Bryan Edwards,207.4
Justin Jefferson,23.4
Gabriel Davis,204.6
Randall Cobb,199.6
A.J. Green,197
Emmanuel Sanders,195.4
Terrace Marshall,191
Tyrell Williams,188.4
Jalen Reagor,187.4
Rondale Moore,177
Nelson Agholor,176.2
Sterling Shepard,172.4
D.K. Metcalf,18.8
Russell Gage,148.8
Elijah Moore,145.6
Jakobi Meyers,145
Cole Beasley,143.8
DeVante Parker,134.2
Mecole Hardman,132.8
Henry Ruggs,129
Darnell Mooney,128.6
Marquise Brown,123.2
Mike Williams,123
Calvin Ridley,18.4
Marquez Callaway,123
Marvin Jones,122.4
Curtis Samuel,118.2
Michael Gallup,118
William Fuller,109.8
Jaylen Waddle,107.4
Michael Pittman,106.4
Jarvis Landry,103.4
D.J. Chark,102
Corey Davis,95.6
DeAndre Hopkins,17.2
Antonio Brown,94.6
Brandin Cooks,92.8
Laviska Shenault,91.8
Tyler Boyd,91.2
Deebo Samuel,88
Courtland Sutton,79.6
Michael Thomas,79.2
Robbie Anderson,77.4
DeVonta Smith,77
Kenny Golladay,74.8
Stefon Diggs,14
Ja'Marr Chase,74.4
Jerry Jeudy,72.4
JuJu Smith-Schuster,70.8
Chase Claypool,69.2
Odell Beckham,67.8
Tee Higgins,64.8
Brandon Aiyuk,60.8
D.J. Moore,53.4
Diontae Johnson,51.8
Adam Thielen,50.6
Tyreek Hill,10.6
Tyler Lockett,49.2
Julio Jones,46.2
Cooper Kupp,46
Chris Godwin,42.4
Amari Cooper,41.2
Robert Woods,38.4
Mike Evans,35.4
CeeDee Lamb,32.8
Allen Robinson,32
Terry McLaurin,29.6
Davante Adams,6.6
