Player,Age,GS,TD%,Int%,Lng,AY/A,Y/C,Y/G,QBR,NY/A,ANY/A,4QC,GWD,Player-additional
Deshaun Watson,25,16,6.1,1.3,77,9.5,12.6,301.4,63.7,7.64,8.22,,,WatsDe00
Patrick Mahomes,25,15,6.5,1.0,75,8.9,12.2,316.0,78.1,7.53,8.33,3,3,MahoPa00
Tom Brady,43,16,6.6,2.0,50,8.0,11.6,289.6,66.0,7.12,7.53,3,3,BradTo00
Matt Ryan,35,16,4.2,1.8,63,7.4,11.3,286.3,59.8,6.48,6.52,,,RyanMa00
Josh Allen,24,16,6.5,1.7,55,8.5,11.5,284.0,76.6,7.33,7.82,2,3,AlleJo02
Justin Herbert,22,15,5.2,1.7,72,7.6,10.9,289.1,62.6,6.57,6.84,1,3,HerbJu00
Aaron Rodgers,37,16,9.1,1.0,78,9.6,11.6,268.7,79.8,7.54,8.89,1,2,RodgAa00
Kirk Cousins,32,16,6.8,2.5,71,8.5,12.2,266.6,55.8,7.22,7.43,1,3,CousKi00
Russell Wilson,32,16,7.2,2.3,62,7.9,11.0,263.3,67.1,6.46,6.82,3,3,WilsRu00
Philip Rivers,39,16,4.4,2.0,55,7.7,11.3,260.6,55.0,7.21,7.18,2,3,RivePh00
Derek Carr,29,16,5.2,1.7,85,8.2,11.8,256.4,64.3,7.28,7.53,3,5,CarrDe02
Matthew Stafford,32,16,4.9,1.9,73,7.9,12.0,255.3,61.3,6.77,6.89,3,4,StafMa00
Kyler Murray,23,16,4.7,2.2,80,7.1,10.6,248.2,61.9,6.49,6.45,3,4,MurrKy00
Jared Goff,26,15,3.6,2.4,56,6.8,10.7,263.5,50.8,6.59,6.27,0,1,GoffJa00
Ryan Tannehill,32,16,6.9,1.5,75,8.7,12.1,238.7,72.6,7.22,7.90,5,6,TannRy00
Ben Roethlisberger,38,15,5.4,1.6,84,6.6,9.5,253.5,52.5,5.93,6.27,4,4,RoetBe00
Teddy Bridgewater,28,15,3.0,2.2,75,7.2,11.0,248.9,56.8,6.75,6.37,,,BridTe00
Baker Mayfield,25,16,5.3,1.6,75,7.7,11.7,222.7,65.5,6.64,6.96,2,2,MayfBa00
Daniel Jones,23,14,2.5,2.2,53,6.1,10.5,210.2,54.0,5.39,4.92,0,0,JoneDa05
Drew Brees,41,12,6.2,1.5,52,8.1,10.7,245.2,68.3,7.08,7.60,1,3,BreeDr00
Drew Lock,24,13,3.6,3.4,92,5.8,11.5,225.6,41.2,6.08,5.31,1,1,LockDr00
Lamar Jackson,23,15,6.9,2.4,47,7.6,11.4,183.8,67.3,6.41,6.70,1,1,JackLa00
Joe Burrow,24,10,3.2,1.2,67,6.7,10.2,268.8,48.5,5.64,5.72,,,BurrJo01
Cam Newton,31,15,2.2,2.7,50,6.4,11.0,177.1,39.4,6.17,5.44,1,3,NewtCa00
Carson Wentz,28,12,3.7,3.4,59,5.2,10.4,218.3,41.9,4.71,3.98,3,2,WentCa00
Nick Mullens,25,8,3.7,3.7,49,6.6,11.5,243.7,36.3,6.66,5.79,1,1,MullNi00
Gardner Minshew II,24,8,4.9,1.5,51,7.2,10.5,251.0,44.0,5.97,6.23,1,1,MinsGa00
Sam Darnold,23,12,2.5,3.0,69,5.2,10.2,184.0,32.9,4.95,4.16,,,DarnSa00
