Player,ADP
Tony Romo,82.8
Tom Brady,80.5
Matt Ryan,72.5
Ben Roethlisberger,60.8
Russell Wilson,59.8
Drew Brees,54.5
Peyton Manning,52.3
Robert Griffin,230.3
Blake Bortles,204.7
Alex Smith,198.3
Nick Foles,196
Tyrod Taylor,216.8
Jameis Winston,162.7
Andy Dalton,162.3
Marcus Mariota,182.3
Derek Carr,178.3
Jay Cutler,159
Aaron Rodgers,21.8
Carson Palmer,148.8
Colin Kaepernick,144.5
Joe Flacco,143
Teddy Bridgewater,124.5
Philip Rivers,110.8
Cam Newton,109
Sam Bradford,108
Eli Manning,97
Ryan Tannehill,87.8
Matthew Stafford,87.5
Andrew Luck,18.3
