Player,ADP
Ezekiel Elliott,15
Jay Ajayi,15
Zach Zenner,215
Kyle Juszczyk,234
Kenyan Drake,207
Branden Oliver,230
Matt Breida,229
Tarik Cohen,226
Devontae Booker,225
De'Angelo Henderson,218
T.J. Yeldon,215
DeMarco Murray,14
Chris Carson,212
Joe Williams,175
Jalen Richard,210
Spencer Ware,217
Jonathan Williams,172
Charcandrick West,219
James Conner,196
DeAndre Washington,195
Dion Lewis,193
D'Onta Foreman,186
Jordan Howard,14
Marlon Mack,183
Charles Sims,206
Chris Thompson,192
Shane Vereen,178
Wendell Smallwood,172
Latavius Murray,157
Giovani Bernard,146
Alvin Kamara,167
Jamaal Williams,135
Samaje Perine,130
Melvin Gordon,10
Jeremy Hill,150
Rex Burkhead,145
Jamaal Charles,140
Jacquizz Rodgers,131
C.J. Prosise,129
Darren Sproles,122
Matt Forte,121
Jonathan Stewart,118
Thomas Rawls,114
James White,108
Devonta Freeman,9
Darren McFadden,103
LeGarrette Blount,103
Eddie Lacy,102
Terrance West,95
Duke Johnson,93
Derrick Henry,90
Paul Perkins,85
Robert Kelley,84
Theo Riddick,83
Frank Gore,81
LeSean McCoy,6
Mike Gillislee,78
Doug Martin,76
Adrian Peterson,75
Tevin Coleman,71
Danny Woodhead,68
Ameer Abdullah,64
C.J. Anderson,61
Bilal Powell,59
Mark Ingram,56
Joe Mixon,44
Le'Veon Bell,2
Ty Montgomery,42
Carlos Hyde,41
Kareem Hunt,38
Marshawn Lynch,36
Dalvin Cook,34
Isaiah Crowell,34
Lamar Miller,31
Christian McCaffrey,27
Leonard Fournette,25
Todd Gurley,19
David Johnson,1
