Player,ADP
Aaron Rodgers,4
Peyton Manning,66.7
Tony Romo,71.3
Robert Griffin III,80.7
Ben Roethlisberger,91.3
Jay Cutler,95
Matt Schaub,103.7
Andrew Luck,106.7
Joe Flacco,123.3
Carson Palmer,125.3
Josh Freeman,133.3
Tom Brady,7.7
Andy Dalton,135.3
Jake Locker,150.7
Ryan Fitzpatrick,156
Russell Wilson,167.3
Sam Bradford,178.3
Alex Smith,165
Mark Sanchez,197.5
Matt Flynn,185
Christian Ponder,205
Matt Cassel,215
Drew Brees,9
Ryan Tannehill,216
Cam Newton,18.7
Matthew Stafford,20.7
Michael Vick,49.7
Matt Ryan,51.3
Eli Manning,55
Philip Rivers,66.7
