"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"George Kittle","SF","TE","10.5","9.2","1.3000000000000007","10.5","9.2","1.3","1","5","4.36","78","66.57","0","0","2","4.067","0","0"
"Blake Bell","KC","TE","1.2","1.4","-0.19999999999999996","1.2","1.4","-0.2","1","1","0.77","7","7.51","0","0.048","0","0","0","0"
"DeeJay Dallas","SEA","RB","0.5","1","-0.5","0.5","1","-0.5","1","1","1","0","4.75","0","0","0","0","0","0"
"KhaDarel Hodge","ATL","WR","2.4","1.6","0.7999999999999998","2.4","1.6","0.8","1","1","0.72","19","11.39","0","0.0096","0","0","0","0"
"Patrick Ricard","BLT","RB","4.1","2.8","1.2999999999999998","4.1","2.8","1.3","1","2","1.66","31","18.92","0","0.0096","0","0","0","0"
"Travis Kelce","KC","TE","29.9","21.6","8.299999999999997","29.9","21.6","8.3","1","12","9.49","179","132.18","1","0.6144","0","0","0","0"
"Darrynton Evans","CHI","RB","5.9","9.7","-3.799999999999999","5.9","9.7","-3.8","1","1","1.95","6","8.07","0","0.0288","48","59.7702","0","0.29"
"Marvin Mims Jr.","DEN","WR","-1.1","3.2","-4.300000000000001","-1.1","3.2","-4.3","1","0","0.31","0","7.44","0","0.2976","-11","4.851","0","0"
"Cordarrelle Patterson","ATL","RB","5.6","6.4","-0.8000000000000007","5.6","6.4","-0.8","1","0","0","0","0","0","0","56","41.5814","0","0.38"
"Pierre Strong Jr.","CLV","RB","2.5","3.9","-1.4","2.5","3.9","-1.4","1","0","0","0","0","0","0","25","36.1522","0","0.05"
"Jalen Reagor","NE","WR","1.6","1.4","0.20000000000000018","1.6","1.4","0.2","1","1","0.77","11","10.4","0","0","0","0","0","0"
"Chris Rodriguez Jr.","WAS","RB","3.1","3.5","-0.3999999999999999","3.1","3.5","-0.4","1","0","0","0","0","0","0","31","27.4988","0","0.13"
"Mike Evans","TB","WR","17.2","12.4","4.799999999999999","17.2","12.4","4.8","1","6","5.18","82","64.39","1","0.5664","0","0","0","0"
"Kareem Hunt","CLV","RB","15.1","12.5","2.5999999999999996","15.1","12.5","2.6","1","0","0.93","0","4.57","0","0","31","35.937","2","1.33"
"Josh Downs","IND","WR","21","8.7","12.3","21","8.7","12.3","1","5","3.74","125","65.97","1","0.0384","0","0","0","0"
"Jerry Jeudy","DEN","WR","8.9","6.7","2.2","8.9","6.7","2.2","1","5","3.62","64","49.04","0","0","0","0","0","0"
"Gerald Everett","LAC","TE","10.1","9.4","0.6999999999999993","10.1","9.4","0.7","1","3","2.61","26","23.06","1","0.96","0","0","0","0"
"Jauan Jennings","SF","WR","7.9","9.4","-1.5","7.9","9.4","-1.5","1","5","5.2","54","61.3","0","0.1056","0","0","0","0"
"Dalton Kincaid","BUF","TE","11.5","11.2","0.3000000000000007","11.5","11.2","0.3","1","8","6.4","75","62.81","0","0.288","0","0","0","0"
"Jayden Reed","GB","WR","9.6","8.2","1.4000000000000004","9.6","8.2","1.4","1","3","2.74","21","27.08","1","0.6816","0","0","0","0"
"Diontae Johnson","PIT","WR","10.4","7.3","3.1000000000000005","10.4","7.3","3.1","1","5","3.95","79","49.02","0","0.0672","0","0","0","0"
"Evan Engram","JAX","TE","7","8.3","-1.3000000000000007","7","8.3","-1.3","1","5","5.58","45","50.63","0","0.0768","0","0","0","0"
"Austin Ekeler","LAC","RB","5.1","9.1","-4","5.1","9.1","-4","1","1","0.87","1","7.01","0","0","45","61.3284","0","0.3"
"Tyler Lockett","SEA","WR","5.8","6.3","-0.5","5.8","6.3","-0.5","1","4","3.17","38","43.97","0","0.0576","0","0","0","0"
"Tank Bigsby","JAX","RB","0.2","0.9","-0.7","0.2","0.9","-0.7","1","0","0","0","0","0","0","2","8.6142","0","0"
"Rashod Bateman","BLT","WR","4.6","4.2","0.39999999999999947","4.6","4.2","0.4","1","2","1.74","36","33.35","0","0","0","0","0","0"
"Braxton Berrios","MIA","WR","1.2","2.4","-1.2","1.2","2.4","-1.2","1","1","1.67","7","15.2","0","0","0","0","0","0"
"Mark Andrews","BLT","TE","20.3","14.3","6","20.3","14.3","6","1","4","3.96","63","33.6","2","1.4976","0","0","0","0"
