"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"472","Rams DST","LA","dst","10","@SEA","6.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5165","0.0395","1.0982","0.8809","0.4405","0.0823","75.2712","0.0571","0.0134","0.0368","0.1143","0.214","0.261","0.2075","0.153","0","0","0","0","0","0","0","0","0","0"
"473","Bears DST","CHI","dst","13","GB","6.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9907","0.0333","1.1051","0.998","0.499","0.0543","126.0683","0.0717","0.0156","0.0444","0.1363","0.2421","0.2687","0.1863","0.1066","0","0","0","0","0","0","0","0","0","0"
"474","49ers DST","SF","dst","9","@PIT","6.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4316","0.0365","1.0435","0.8145","0.4073","0.0361","87.1023","0.0644","0.0177","0.0449","0.1305","0.2277","0.2589","0.1918","0.1285","0","0","0","0","0","0","0","0","0","0"
"475","Cardinals DST","ARZ","dst","14","@WAS","6.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.668","0.0445","0.8389","1.0968","0.5484","0.0725","42.2945","0.034","0.0141","0.0381","0.117","0.2165","0.2609","0.2049","0.1485","0","0","0","0","0","0","0","0","0","0"
"476","Jets DST","NYJ","dst","7","BUF","6.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4378","0.0325","0.9245","1.0358","0.5179","0.0884","78.8816","0.0511","0.0098","0.0316","0.109","0.2185","0.2736","0.2141","0.1434","0","0","0","0","0","0","0","0","0","0"
"477","Chargers DST","LAC","dst","5","MIA","6.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2876","0.0327","0.8802","0.9677","0.4838","0.1142","59.9824","0.0463","0.013","0.039","0.1254","0.2335","0.2716","0.1974","0.12","0","0","0","0","0","0","0","0","0","0"
"460","Ka'imi Fairbairn","HST","k","7","@BLT","6.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2978","0.2978","0.3404","0.3687","0.4254","0.5318","0.2553","0.3063","1.6029","1.7329","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"479","Saints DST","NO","dst","11","TEN","6.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.7326","0.0331","0.7671","0.8352","0.4176","0.0248","84.1712","0.0602","0.0164","0.046","0.1395","0.2444","0.2677","0.1831","0.1029","0","0","0","0","0","0","0","0","0","0"
"480","Broncos DST","DEN","dst","9","LV","6.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2402","0.0328","0.9665","0.7079","0.354","0.0614","63.8007","0.0526","0.013","0.039","0.1254","0.2335","0.2716","0.1974","0.12","0","0","0","0","0","0","0","0","0","0"
"481","Dolphins DST","MIA","dst","10","@LAC","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.092","0.0396","0.7323","0.9214","0.4607","0.2031","46.5488","0.0288","0.0099","0.0295","0.0983","0.1981","0.2601","0.2225","0.1815","0","0","0","0","0","0","0","0","0","0"
