Player,ADP
Aaron Rodgers,22
Robert Griffin III,70.8
Tony Romo,75
Russell Wilson,76.3
Eli Manning,98
Michael Vick,102.5
Andy Dalton,110
Ben Roethlisberger,126.8
Carson Palmer,141.8
Joe Flacco,142.8
Jay Cutler,143.8
Drew Brees,22
Matt Schaub,152.3
Sam Bradford,152.8
Josh Freeman,155
Alex Smith,175
Philip Rivers,178
Ryan Tannehill,197.5
E.J. Manuel,202
Brandon Weeden,221.3
Peyton Manning,34
Tom Brady,45.5
Cam Newton,48.5
Matt Ryan,50.5
Colin Kaepernick,61.3
Matthew Stafford,64.5
Andrew Luck,68
