"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Jalin Hyatt","NYG","1","WR","5","2","0","19","0","0","0","0","40","29","3.8","9.5","2.5","2","0","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2.9","0.08","1.45"
"Tyler Scott","CHI","1","WR","1","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-5","0","0","0","-5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","-0.01","-0.5"
"Jordan Addison","MIN","1","WR","7","5","0","52","0","0","0","0","71.4","10.43","7.43","10.4","0.8","1","1","0","14.3","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.7","0.11","1.54"
"George Pickens","PIT","1","WR","5","2","0","-1","0","0","0","0","40","4.6","-0.2","-0.5","0.5","2","1","0","40","50","0","1","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9","0.02","0.45"
"Rashee Rice","KC","1","WR","2","2","0","17","0","1","0","0","100","1","8.5","8.5","7.5","1","1","1","50","50","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.7","0.21","4.35"
"Garrett Wilson","NYJ","1","WR","12","7","0","80","0","0","0","0","58.3","13.25","6.67","11.43","3.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","11.5","0.15","1.64"
"Zay Flowers","BLT","1","WR","1","1","0","11","0","0","0","0","100","6","11","11","5","1","1","0","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6","0.03","1.6"
"Malik Taylor","NYJ","1","WR","2","1","0","7","0","0","0","0","50","23","3.5","7","0","1","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2","0.07","1.2"
"Deven Thompkins","TB","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Cedric Tillman","CLV","1","WR","1","1","0","3","0","0","0","0","100","-2","3","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8","0.01","0.8"
"Simi Fehoko","LAC","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Romeo Doubs","GB","1","WR","3","3","0","36","0","0","0","0","100","12","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.1","0.08","1.7"
"Elijah Moore","CLV","1","WR","2","2","0","14","0","0","0","0","100","4","7","7","3","1","1","0","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4","0.05","1.2"
"Terrace Marshall Jr.","CAR","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jaylen Waddle","MIA","1","WR","6","3","0","42","0","0","0","0","50","15.83","7","14","2","1","0","0","16.7","0","0","0","0","0","0","0","1","0","12","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.9","0.2","1.73"
"A.T. Perry","NO","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Justin Watson","KC","1","WR","5","2","0","15","0","0","0","0","40","16","3","7.5","2","1","0","0","20","0","0","1","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5","0.07","1.25"
"Jalen Reagor","NE","1","WR","5","1","0","11","0","0","0","1","20","23.2","2.2","11","4","2","0","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6","0.03","1.6"
"Jalen Tolbert","DAL","1","WR","5","3","0","49","0","1","0","0","60","16.8","9.8","16.33","2.67","4","2","1","80","66.7","100","2","1","40","33.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.4","0.4","4.13"
"Nico Collins","HST","1","WR","5","3","0","54","0","1","0","1","60","10.4","10.8","18","9.33","2","1","1","40","33.3","100","1","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.9","0.23","4.3"
"Lynn Bowden","NO","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Tee Higgins","CIN","1","WR","9","8","0","110","1","0","0","0","88.9","9.11","12.22","13.75","4.88","3","2","0","33.3","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0.26","1.88"
"DeVonta Smith","PHI","1","WR","3","3","0","51","0","1","0","0","100","15.67","17","17","3","1","1","1","33.3","33.3","100","1","1","33.3","33.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.6","0.22","4.2"
"Isaiah Hodgins","NYG","1","WR","1","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"N'Keal Harry","MIN","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Terry McLaurin","WAS","1","WR","6","5","0","73","0","0","0","0","83.3","11","12.17","14.6","9","1","0","0","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.8","0.15","1.96"
"Cedrick Wilson Jr.","MIA","1","WR","5","1","0","31","0","1","0","0","20","18.2","6.2","31","0","2","1","1","40","100","100","1","1","20","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.6","0.23","9.6"
"Trent Sherfield","BUF","1","WR","2","1","0","9","0","0","0","0","50","8","4.5","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4","0.07","1.4"
"Braxton Berrios","MIA","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Andre Baccellia","ARZ","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"D.K. Metcalf","SEA","1","WR","3","1","1","50","0","0","0","0","33.3","24","16.67","50","27","2","0","0","66.7","0","0","2","0","66.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.5","0.13","5.5"
"DJ Chark Jr.","CAR","1","WR","3","2","0","9","0","1","0","0","66.7","5","3","4.5","1","1","1","1","33.3","50","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.9","0.19","3.95"
"DJ Turner","LV","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Scott Miller","ATL","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jakobi Meyers","LV","1","WR","5","2","0","38","0","0","0","2","40","8.8","7.6","19","13","0","0","0","0","0","0","0","0","0","0","0","1","0","17","0","1","0","17","0","0","0","0","1","1","100","100","0","0","0","0","0","0","12.5","0.26","4.17"
"Trishton Jackson","MIN","1","WR","3","1","0","2","0","0","0","0","33.3","3.33","0.67","2","5","2","0","0","66.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0.7","0.01","0.7"
"Velus Jones Jr.","CHI","1","WR","1","0","0","0","0","0","0","0","0","-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jalen Guyton","LAC","1","WR","2","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Michael Pittman Jr.","IND","1","WR","8","8","0","64","0","0","0","0","100","5","8","8","3","1","1","0","12.5","12.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.4","0.19","1.3"
"Irvin Charles","NYJ","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Ben Skowronek","LA","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-2","0","0","0","-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","-0.01","-0.2"
"KhaDarel Hodge","ATL","1","WR","6","3","0","60","0","0","0","0","50","21.33","10","20","5.67","2","0","0","33.3","0","0","1","0","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.5","0.16","2.5"
"Michael Gallup","DAL","1","WR","3","2","0","19","0","0","0","1","66.7","7.33","6.33","9.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.9","0.08","1.45"
"K.J. Osborn","MIN","1","WR","2","2","0","17","0","0","0","0","100","7","8.5","8.5","1.5","1","1","0","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.7","0.14","1.35"
"Zach Pascal","ARZ","1","WR","1","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Cooper Kupp","LA","1","WR","6","2","0","48","0","0","0","0","33.3","19.83","8","24","8","1","0","0","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.8","0.12","2.9"
"JuJu Smith-Schuster","NE","1","WR","7","6","0","51","0","0","0","1","85.7","5","7.29","8.5","4.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.1","0.35","1.35"
"Demarcus Robinson","LA","1","WR","1","1","0","15","0","0","0","0","100","6","15","15","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0.22","2"
"Michael Thomas","NO","1","WR","1","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Damiere Byrd","ATL","1","WR","2","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Stefon Diggs","BUF","1","WR","7","6","0","86","0","1","0","0","85.7","8","12.29","14.33","6.83","1","1","1","14.3","16.7","100","1","1","14.3","16.7","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","17.6","0.32","2.93"
"Amari Cooper","CLV","1","WR","5","5","2","139","1","1","0","0","100","21.6","27.8","27.8","6.6","2","2","1","40","40","100","1","1","20","20","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.4","0.39","4.48"
"Davante Adams","LV","1","WR","7","4","0","34","0","0","0","0","57.1","9.86","4.86","8.5","4.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.4","0.1","1.35"
"Brandin Cooks","DAL","1","WR","2","1","0","7","0","0","0","0","50","8","3.5","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2","0.02","1.2"
"Odell Beckham Jr.","BLT","1","WR","7","5","0","56","0","1","0","1","71.4","10.43","8","11.2","2.6","2","1","1","28.6","20","100","2","1","28.6","20","100","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","14.1","0.4","2.82"
"Mike Evans","TB","1","WR","5","4","1","87","0","0","0","0","80","15.8","17.4","21.75","2.75","2","1","0","40","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.7","0.19","2.67"
"DeAndre Hopkins","TEN","1","WR","11","4","0","60","0","0","0","1","36.4","14.18","5.45","15","8","1","0","0","9.1","0","0","1","0","9.1","0","0","1","0","5","0","0","0","5","8","3","3","0","1","0","100","0","0","0","0","0","0","0","8.5","0.17","1.7"
"Julio Jones","PHI","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Xavier Gipson","NYJ","1","WR","2","2","0","32","0","0","0","0","100","13.5","16","16","2.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.2","0.09","2.1"
"Trey Palmer","TB","1","WR","4","3","0","51","0","0","0","0","75","13.75","12.75","17","6.67","2","1","0","50","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","6.6","0.14","2.2"
"Kyle Philips","TEN","1","WR","5","4","0","68","0","0","0","0","80","14.2","13.6","17","2.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.8","0.4","2.2"
"Khalil Shakir","BUF","1","WR","4","4","0","57","0","0","0","0","100","9.25","14.25","14.25","5","1","1","0","25","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.7","0.19","1.93"
"Rondale Moore","ARZ","1","WR","1","1","0","5","0","0","0","0","100","-5","5","5","10","0","0","0","0","0","0","0","0","0","0","0","4","0","3","0","0","0","0.75","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3","0.04","0.26"
"CeeDee Lamb","DAL","1","WR","16","11","0","191","1","0","0","0","68.8","14.31","11.94","17.36","5.09","7","5","0","43.8","45.5","0","1","0","6.3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","24.6","0.35","2.24"
"Austin Trammell","LA","1","WR","1","1","0","6","0","0","0","0","100","5","6","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1","0.37","1.1"
"Darnell Mooney","CHI","1","WR","6","5","0","82","0","0","0","0","83.3","4.5","13.67","16.4","13.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.7","0.18","2.14"
"Brandon Powell","MIN","1","WR","3","2","0","15","0","1","0","0","66.7","4.33","5","7.5","3","2","2","1","66.7","100","100","1","1","33.3","50","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.5","0.16","4.25"
"KaVontae Turpin","DAL","1","WR","1","1","0","5","0","1","0","0","100","6","5","5","0","1","1","1","100","100","100","1","1","100","100","100","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","7","0.54","3.5"
"Hunter Renfrow","LV","1","WR","3","2","0","32","0","0","0","1","66.7","2.33","10.67","16","11","1","1","0","33.3","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.2","0.32","2.1"
"Olamide Zaccheaus","PHI","1","WR","2","1","0","8","0","0","0","0","50","3","4","8","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3","0.05","1.3"
"Mecole Hardman Jr.","KC","1","WR","3","3","0","10","0","0","0","0","100","-3","3.33","3.33","6.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5","0.19","0.83"
"Isaiah McKenzie","IND","1","WR","3","2","0","12","0","0","0","0","66.7","5.33","4","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2","0.08","1.1"
"Tyreek Hill","MIA","1","WR","10","8","0","62","0","0","0","2","80","7.9","6.2","7.75","3","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","3","3","0","0","1","0","0","0","0","0","0","0","0","0","0","10.5","0.18","1.17"
"DeAndre Carter","LV","1","WR","1","1","0","15","0","0","0","0","100","-4","15","15","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0.22","2"
"Adam Thielen","CAR","1","WR","6","5","0","29","0","0","0","0","83.3","5","4.83","5.8","2","2","1","0","33.3","20","0","1","0","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.4","0.08","1.08"
"Jaxon Smith-Njigba","SEA","1","WR","7","6","0","63","0","0","0","0","85.7","6.43","9","10.5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.3","0.23","1.55"
"Josh Downs","IND","1","WR","1","1","0","10","0","0","0","0","100","5","10","10","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5","0.13","1.5"
"Wan'Dale Robinson","NYG","1","WR","5","4","0","35","0","1","0","0","80","7.4","7","8.75","4","1","1","1","20","25","100","1","1","20","25","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.5","0.34","2.88"
"Derius Davis","LAC","1","WR","1","1","0","0","0","0","0","0","100","-5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.06","0.5"
"Jayden Reed","GB","1","WR","3","3","0","19","0","0","0","0","100","5","6.33","6.33","1.33","0","0","0","0","0","0","0","0","0","0","0","1","0","21","0","0","0","21","1","0","0","0","0","0","0","0","0","0","0","0","0","0","5.5","0.2","1.38"
"Tutu Atwell","LA","1","WR","7","4","0","13","0","0","0","0","57.1","8.43","1.86","3.25","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.3","0.08","0.82"
"Calvin Austin III","PIT","1","WR","1","0","0","0","0","0","0","0","0","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","10","0","0","0","5","1.5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.06","0.5"
"Kadarius Toney","KC","1","WR","1","1","0","18","0","0","0","0","100","5","18","18","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.3","0.33","2.3"
"Trenton Irwin","CIN","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Parris Campbell","NYG","1","WR","2","2","0","15","0","0","0","0","100","-1.5","7.5","7.5","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5","0.18","1.25"
"Byron Pringle","WAS","1","WR","4","3","0","55","0","0","0","0","75","12.5","13.75","18.33","6.33","1","1","0","25","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0.39","2.33"
