Player,ADP
Delanie Walker,110
Zach Ertz,109.5
Jason Witten,94
Jordan Cameron,89.8
Martellus Bennett,65.3
Travis Kelce,51.5
Greg Olsen,50.5
Jared Cook,252.7
Maxx Williams,238.7
Heath Miller,199.7
Ladarius Green,196.3
Charles Clay,191.3
Larry Donnell,186
Eric Ebron,167
Coby Fleener,142.3
Richard Rodgers,192.5
Jimmy Graham,30.3
Jordan Reed,181.8
Josh Hill,167.3
Vernon Davis,167.3
Austin Seferian-Jenkins,150.8
Dwayne Allen,144.3
Antonio Gates,144
Owen Daniels,137.8
Kyle Rudolph,134.5
Tyler Eifert,120.3
Julius Thomas,118.8
Rob Gronkowski,9.0
