"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Mike Strachan","IND","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Gunner Olszewski","NE","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Ashton Dulin","IND","1","WR","2","2","0","23","0","0","0","0","100","11.5","11.5","11.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.3","0.14","1.65"
"Elijah Moore","NYJ","1","WR","8","7","0","84","0","2","0","0","87.5","11.5","10.5","12","1.86","2","2","2","25","28.6","100","1","1","12.5","14.3","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.9","0.52","3.41"
"Rashod Bateman","BLT","1","WR","8","5","0","52","0","0","0","1","62.5","13.5","6.5","10.4","2.6","2","1","0","25","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.7","0.12","1.54"
"Ja'Marr Chase","CIN","1","WR","13","6","0","49","0","0","0","1","46.2","13.46","3.77","8.17","4.67","6","2","0","46.2","33.3","0","2","0","15.4","0","0","2","0","0","0","0","0","0","2","0","0","1","1","0","50","0","0","0","0","0","0","0","7.9","0.11","0.99"
"Anthony Schwartz","CLV","1","WR","1","1","0","15","0","0","0","0","100","13","15","15","2","1","1","0","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0.07","2"
"Brandon Aiyuk","SF","1","WR","8","6","0","89","0","1","0","0","75","13.25","11.13","14.83","3.17","3","3","1","37.5","50","100","1","1","12.5","16.7","100","1","0","-2","0","0","0","-2","10","2","2","1","0","0","0","0","0","0","0","0","0","0","17.7","0.32","2.53"
"CeeDee Lamb","DAL","1","WR","8","2","0","23","0","0","0","0","25","23.63","2.88","11.5","0","2","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.3","0.07","1.65"
"Nico Collins","HST","1","WR","3","3","0","25","0","0","0","0","100","5","8.33","8.33","3.33","1","1","0","33.3","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0.08","1.33"
"Donovan Peoples-Jones","CLV","1","WR","3","2","1","86","0","1","1","0","66.7","28.67","28.67","43","9","2","2","1","66.7","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.6","0.54","7.8"
"Justin Jefferson","MIN","1","WR","5","3","1","69","0","1","1","0","60","16.4","13.8","23","4.33","4","3","1","80","100","100","0","0","0","0","0","1","0","11","0","0","0","11","5","0","0","0","0","0","0","0","0","0","0","0","0","0","15.5","0.36","3.88"
"Keelan Cole Sr.","NYJ","1","WR","8","5","0","66","0","0","0","0","62.5","11.88","8.25","13.2","1.2","3","1","0","37.5","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.1","0.24","1.82"
"Miles Boykin","BLT","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Courtland Sutton","DEN","1","WR","2","1","0","9","0","0","0","0","50","13","4.5","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1.4","0.02","1.4"
"Nick Westbrook-Ikhine","TEN","1","WR","1","1","0","14","0","0","0","0","100","9","14","14","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9","0.09","1.9"
"Marquez Valdes-Scantling","GB","1","WR","2","2","0","19","0","0","0","0","100","8.5","9.5","9.5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.9","0.09","1.45"
"Van Jefferson","LA","1","WR","6","3","0","41","0","0","0","1","50","10.83","6.83","13.67","5.67","3","1","0","50","33.3","0","2","0","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.6","0.07","1.87"
"Russell Gage","ATL","1","WR","8","7","0","64","0","0","0","0","87.5","8.5","8","9.14","3","1","1","0","12.5","14.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.9","0.21","1.41"
