Player,ADP
Josh Allen,20.8
Aaron Rodgers,80.3
Dak Prescott,82
Matthew Stafford,92
Trey Lance,101.5
Derek Carr,113.3
Kirk Cousins,125.3
Tua Tagovailoa,140.5
Justin Fields,148
Trevor Lawrence,155
Jameis Winston,166.3
Patrick Mahomes,29.8
Matt Ryan,172.3
Ryan Tannehill,185.3
Mac Jones,188
Deshaun Watson,194.5
Baker Mayfield,195.3
Daniel Jones,213.8
Jared Goff,214.8
Kenny Pickett,225.3
Carson Wentz,208.3
Marcus Mariota,235.5
Justin Herbert,34.5
Zach Wilson,239
Jimmy Garoppolo,233
Lamar Jackson,43.5
Kyler Murray,53.8
Jalen Hurts,55.3
Joe Burrow,60.3
Tom Brady,72
Russell Wilson,77.5
