Player,Age,GS,TD%,Int%,Lng,AY/A,Y/C,Y/G,QBR,NY/A,ANY/A,4QC,GWD,Player-additional
Jameis Winston,25,16,5.3,4.8,71,7.1,13.4,319.3,55.7,7.17,6.15,2,2,WinsJa00
Dak Prescott,26,16,5.0,1.8,62,8.4,12.6,306.4,71.9,7.68,7.84,,,PresDa01
Jared Goff,25,16,3.5,2.6,66,7.0,11.8,289.9,50.6,6.90,6.46,1,2,GoffJa00
Philip Rivers,38,16,3.9,3.4,84,7.1,11.8,288.4,50.5,7.03,6.32,1,2,RivePh00
Matt Ryan,34,15,4.2,2.3,93,7.1,10.9,297.7,59.6,6.25,6.08,3,2,RyanMa00
Russell Wilson,31,16,6.0,1.0,60,8.7,12.1,256.9,71.5,6.72,7.42,4,5,WilsRu00
Tom Brady,42,16,3.9,1.3,59,6.8,10.9,253.6,55.7,6.05,6.24,1,1,BradTo00
Derek Carr,28,16,4.1,1.6,75,8.0,11.2,253.4,64.1,7.14,7.25,2,3,CarrDe02
Carson Wentz,27,16,4.4,1.2,53,7.0,10.4,252.4,62.8,5.91,6.26,2,4,WentCa00
Patrick Mahomes,24,14,5.4,1.0,83,8.9,12.6,287.9,77.7,7.79,8.38,1,1,MahoPa00
Aaron Rodgers,36,16,4.6,0.7,74,7.6,11.3,250.1,52.5,6.15,6.71,2,3,RodgAa00
Jimmy Garoppolo,28,16,5.7,2.7,75,8.3,12.1,248.6,60.8,7.31,7.22,4,4,GaroJi00
Deshaun Watson,24,15,5.3,2.4,54,7.7,11.6,256.8,70.5,6.67,6.63,3,5,WatsDe00
Baker Mayfield,24,16,4.1,3.9,89,6.2,12.1,239.2,54.4,6.17,5.29,1,1,MayfBa00
Kyler Murray,22,16,3.7,2.2,88,6.6,10.7,232.6,57.7,5.78,5.55,1,2,MurrKy00
Kirk Cousins,31,15,5.9,1.4,66,8.7,11.7,240.2,60.4,7.20,7.73,1,1,CousKi00
Ryan Fitzpatrick,37,13,4.0,2.6,51,6.7,11.3,235.3,68.3,6.13,5.78,3,4,FitzRy00
Andy Dalton,32,13,3.0,2.7,66,6.0,11.1,268.8,42.1,5.74,5.19,,,DaltAn00
Kyle Allen,23,12,3.5,3.3,52,6.0,11.0,255.5,38.3,5.47,4.76,0,1,AlleKy00
Gardner Minshew II,23,12,4.5,1.3,70,7.3,11.5,233.6,44.6,6.14,6.44,3,3,MinsGa00
Mitchell Trubisky,25,15,3.3,1.9,53,5.9,9.6,209.2,41.5,5.24,5.04,3,3,TrubMi00
Lamar Jackson,22,15,9.0,1.5,83,8.9,11.8,208.5,83.0,7.13,8.19,1,2,JackLa00
Josh Allen,23,16,4.3,2.0,53,6.7,11.4,193.1,49.4,5.72,5.71,4,5,AlleJo02
Daniel Jones,22,12,5.2,2.6,75,6.5,10.7,232.8,55.7,5.50,5.38,1,2,JoneDa05
Sam Darnold,22,13,4.3,2.9,92,6.4,11.1,232.6,45.6,5.93,5.50,2,3,DarnSa00
Drew Brees,40,11,7.1,1.1,61,8.8,10.6,270.8,73.3,7.41,8.33,1,2,BreeDr00
Jacoby Brissett,27,15,4.0,1.3,50,6.8,10.8,196.1,52.1,5.87,6.06,2,2,BrisJa00
Ryan Tannehill,31,10,7.7,2.1,91,10.2,13.6,228.5,64.2,7.98,8.52,2,3,TannRy00
Matthew Stafford,31,8,6.5,1.7,66,9.1,13.4,312.4,71.3,7.64,8.15,2,1,StafMa00
Joe Flacco,34,8,2.3,1.9,70,6.6,10.7,227.8,50.8,5.65,5.29,,,FlacJo00
Mason Rudolph,24,8,4.6,3.2,76,5.7,10.0,176.5,36.2,5.51,5.02,1,1,RudoMa00
Case Keenum,31,8,4.5,2.0,69,6.9,10.7,170.7,45.6,5.96,5.94,,,KeenCa00
Teddy Bridgewater,27,5,4.6,1.0,45,7.5,10.4,153.8,50.9,6.23,6.66,1,2,BridTe00
Dwayne Haskins,22,7,3.4,3.4,75,5.9,11.5,151.7,28.0,5.00,4.25,1,1,HaskDw00
Marcus Mariota,26,6,4.4,1.3,75,7.8,12.7,171.9,35.5,5.63,5.90,,,MariMa01
Devlin Hodges,23,6,3.1,5.0,79,5.0,10.6,132.9,31.8,5.49,4.01,0,1,HodgDe00
