"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"Trent Sherfield","BUF","WR","2.8","3.6","-0.8000000000000003","2.8","3.6","-0.8","1","2","2.18","18","25.58","0","0","0","0","0","0"
"Hunter Renfrow","LV","WR","2.7","2.7","0","2.7","2.7","0","1","2","1.6","17","18.66","0","0","0","0","0","0"
"Rhamondre Stevenson","NE","RB","6.7","12.6","-5.8999999999999995","6.7","12.6","-5.9","1","1","2.66","3","20.31","0","0.0096","59","87.1906","0","0.07"
"Christian McCaffrey","SF","RB","20.4","19.1","1.2999999999999972","20.4","19.1","1.3","1","5","4.47","34","24.65","0","0.2304","85","68.4236","1","1.03"
"T.J. Hockenson","MIN","TE","11.8","17.4","-5.599999999999998","11.8","17.4","-5.6","1","8","7.74","78","82.75","0","0.8736","0","0","0","0"
"Alec Pierce","IND","WR","5.8","10.1","-4.3","5.8","10.1","-4.3","1","3","3.33","43","75.56","0","0.1536","0","0","0","0"
"Mike Williams","LAC","WR","21.6","10.6","11.000000000000002","21.6","10.6","11","1","7","5.04","121","78.98","1","0.0384","0","0","0","0"
"Devin Singletary","HST","RB","5.5","7.2","-1.7000000000000002","5.5","7.2","-1.7","1","2","1.84","4","8.2","0","0","41","37.6614","0","0.28"
"Josh Jacobs","LV","RB","9.5","16.7","-7.199999999999999","9.5","16.7","-7.2","1","3","3.85","18","32.82","0","0.192","62","70.3644","0","0.55"
"Trey McBride","ARZ","TE","0.7","1","-0.30000000000000004","0.7","1","-0.3","1","1","0.84","2","5.86","0","0","0","0","0","0"
"Nico Collins","HST","WR","4.4","3.8","0.6000000000000005","4.4","3.8","0.6","1","2","2.41","34","25.53","0","0","0","0","0","0"
"Chris Manhertz","DEN","TE","0","3.2","-3.2","0","3.2","-3.2","1","0","0.44","0","4.52","0","0.4224","0","0","0","0"
"Damien Harris","BUF","RB","1.5","2","-0.5","1.5","2","-0.5","1","0","0","0","0","0","0","15","19.7862","0","0"
"Ameer Abdullah","LV","RB","2.6","3.7","-1.1","2.6","3.7","-1.1","1","2","2.19","16","25.86","0","0","0","0","0","0"
"Chigoziem Okonkwo","TEN","TE","2.2","4.4","-2.2","2.2","4.4","-2.2","1","3","3.48","7","24.08","0","0.048","0","0","0","0"
"Samaje Perine","DEN","RB","3.4","6","-2.6","3.4","6","-2.6","1","2","2.61","15","14.32","0","0.2112","9","12.4558","0","0.13"
"Andrew Ogletree","IND","TE","1.6","2.3","-0.6999999999999997","1.6","2.3","-0.7","1","1","1.33","11","16.06","0","0","0","0","0","0"
"Antonio Gibson","WAS","RB","3.9","4.9","-1.0000000000000004","3.9","4.9","-1","1","3","3.59","7","21.74","0","0","17","9.0748","0","0.01"
"Randall Cobb","NYJ","WR","1.7","2.9","-1.2","1.7","2.9","-1.2","1","1","1.63","12","12.82","0","0.1344","0","0","0","0"
"MyCole Pruitt","ATL","TE","1.5","1.2","0.30000000000000004","1.5","1.2","0.3","1","1","0.85","10","8.16","0","0","0","0","0","0"
"Connor Heyward","PIT","TE","0","1.5","-1.5","0","1.5","-1.5","1","0","0.77","0","7.15","0","0","0","4.067","0","0"
"Zach Charbonnet","SEA","RB","5","8.6","-3.5999999999999996","5","8.6","-3.6","1","1","1.82","-1","9.72","0","0","46","34.2216","0","0.55"
"Durham Smythe","MIA","TE","2","1.7","0.30000000000000004","2","1.7","0.3","1","1","0.78","15","12.75","0","0.0096","0","0","0","0"
"Gabe Davis","BUF","WR","9.8","10","-0.1999999999999993","9.8","10","-0.2","1","1","1.77","35","47.28","1","0.6432","-2","4.8706","0","0"
"De'Von Achane","MIA","RB","49.3","19.7","29.599999999999998","49.3","19.7","29.6","1","4","3.59","30","16.11","2","0.5568","203","71.442","2","0.97"
"Ian Thomas","CAR","TE","1.3","1.1","0.19999999999999996","1.3","1.1","0.2","1","1","0.9","8","6.55","0","0","0","0","0","0"
"Jordan Mason","SF","RB","1.1","1.5","-0.3999999999999999","1.1","1.5","-0.4","1","0","0","0","0","0","0","11","13.4358","0","0.02"
"Jahmyr Gibbs","DET","RB","8.7","12.6","-3.9000000000000004","8.7","12.6","-3.9","1","1","0.5","2","1.64","0","0","80","72.1966","0","0.82"
"Clyde Edwards-Helaire","KC","RB","12.2","10.5","1.6999999999999993","12.2","10.5","1.7","1","1","0.92","2","3.8","0","0","55","65.19","1","0.53"
"Deebo Samuel","SF","WR","22.1","19.7","2.400000000000002","22.1","19.7","2.4","1","6","7.62","129","77.07","1","1.248","2","2.9596","0","0.06"
"Brevin Jordan","HST","TE","8.3","4.6","3.700000000000001","8.3","4.6","3.7","1","2","1.4","13","6.31","1","0.5472","0","0","0","0"
"Jaylen Warren","PIT","RB","6.7","8.5","-1.7999999999999998","6.7","8.5","-1.8","1","3","3.43","23","27.56","0","0","29","36.9264","0","0.05"
"Adam Trautman","DEN","TE","0","1.8","-1.8","0","1.8","-1.8","1","0","1.31","0","11.15","0","0","0","0","0","0"
"Tyler Scott","CHI","WR","1.1","6.8","-5.699999999999999","1.1","6.8","-5.7","1","1","1.68","6","22.3","0","0.6144","0","0","0","0"
"Joshua Palmer","LAC","WR","14.6","9.1","5.5","14.6","9.1","5.5","1","4","3.79","66","50.02","1","0.3648","0","0","0","0"
"Noah Gray","KC","TE","1.4","2.1","-0.7000000000000002","1.4","2.1","-0.7","1","1","1.28","9","15.08","0","0","0","0","0","0"
"Chris Olave","NO","WR","14.4","16.3","-1.9000000000000004","14.4","16.3","-1.9","1","8","7.39","104","89.27","0","0.6144","0","0","0","0"
"Ronnie Bell","SF","WR","9.4","4.1","5.300000000000001","9.4","4.1","5.3","1","2","0.92","24","10.16","1","0.4416","0","0","0","0"
"Tim Jones","JAX","WR","2.1","3.5","-1.4","2.1","3.5","-1.4","1","2","2.08","11","19.97","0","0.0768","0","0","0","0"
"Rico Dowdle","DAL","RB","12.1","5.6","6.5","12.1","5.6","6.5","1","3","2.74","25","13.2","1","0.1632","21","12.9164","0","0.1"
"Isaiah Spiller","LAC","RB","0.7","0.9","-0.20000000000000007","0.7","0.9","-0.2","1","0","0","0","0","0","0","7","9.408","0","0"
"Isaiah Hodgins","NYG","WR","0","1.1","-1.1","0","1.1","-1.1","1","0","0.57","0","8.11","0","0","0","0","0","0"
"Devin Duvernay","BLT","WR","0","1.7","-1.7","0","1.7","-1.7","1","0","0.57","0","14.05","0","0","0","0","0","0"
"Rashid Shaheed","NO","WR","0","2.1","-2.1","0","2.1","-2.1","1","0","0.19","0","13.3","0","0.0384","0","4.2728","0","0"
"Marquise Goodwin","CLV","WR","0.1","0.5","-0.4","0.1","0.5","-0.4","1","0","0","0","0","0","0","1","3.9004","0","0.01"
"Justin Jefferson","MIN","WR","24.4","18.5","5.899999999999999","24.4","18.5","5.9","1","7","7.2","149","102.11","1","0.7872","0","0","0","0"
